model_label,testing_period_start,testing_period_end,L1_neurons,L2_neurons,L1_activation,dropout,L1_regularisation,KGE,linear_correlation_coefficient
2-nwi_L1_100_L2_20_dropout_0.2_testPeriod_1902_1912,1902,1911,100,20,relu,0.2,0.01,-0.7067669828421996,0.09884536938578412
2-nwi_L1_100_L2_20_dropout_0.0_testPeriod_1902_1912,1902,1911,100,20,relu,0.0,0.05,-0.9705428487901804,0.1934138961696712
2-nwi_L1_100_L2_20_dropout_0.2_testPeriod_1902_1912,1902,1911,100,20,linear,0.2,0.01,-1.9391279089434716,0.2982863936694498
2-nwi_L1_20_L2_5_dropout_0.1_testPeriod_1902_1912,1902,1911,20,5,relu,0.1,0.01,-2.6327105716591688,0.29347455379012455
2-nwi_L1_100_L2_10_dropout_0.2_testPeriod_1902_1912,1902,1911,100,10,linear,0.2,0.001,-2.017436470460455,0.3193705131005075
2-nwi_L1_50_L2_5_dropout_0.2_testPeriod_1902_1912,1902,1911,50,5,linear,0.2,0.01,-2.9303305726382765,0.29958494041642886
2-nwi_L1_100_L2_20_dropout_0.2_testPeriod_1904_1914,1904,1913,100,20,relu,0.2,0.01,0.13233317913414355,0.21523213244092906
2-nwi_L1_100_L2_20_dropout_0.0_testPeriod_1904_1914,1904,1913,100,20,relu,0.0,0.05,-0.15999035842026732,0.38600281175107765
2-nwi_L1_100_L2_20_dropout_0.2_testPeriod_1904_1914,1904,1913,100,20,linear,0.2,0.01,-0.30350580208495836,0.04017744145153638
2-nwi_L1_20_L2_5_dropout_0.1_testPeriod_1904_1914,1904,1913,20,5,relu,0.1,0.01,-0.006903246982252753,0.01865579061801825
2-nwi_L1_100_L2_10_dropout_0.2_testPeriod_1904_1914,1904,1913,100,10,linear,0.2,0.001,-1.6370272465221856,0.826659291888963
2-nwi_L1_50_L2_5_dropout_0.2_testPeriod_1904_1914,1904,1913,50,5,linear,0.2,0.01,-0.41623471853505944,0.15834089582474017
2-nwi_L1_50_L2_5_dropout_0.2_testPeriod_1904_1914,1904,1913,50,5,relu,0.2,0.01,0.10603953346837669,0.28265617344214794
2-nwi_L1_100_L2_20_dropout_0.2_testPeriod_1906_1916,1906,1915,100,20,relu,0.2,0.01,-0.7718476334939663,0.03093713232161289
2-nwi_L1_100_L2_20_dropout_0.2_testPeriod_1906_1916,1906,1915,100,20,linear,0.2,0.01,-0.02565330684503886,0.022447893761447006
2-nwi_L1_50_L2_5_dropout_0.2_testPeriod_1906_1916,1906,1915,50,5,linear,0.2,0.01,-0.014609893393510598,0.023443821257885713
2-nwi_L1_100_L2_20_dropout_0.2_testPeriod_1910_1920,1910,1919,100,20,linear,0.2,0.01,-1.6010567108844342,0.0062011106698331335
2-nwi_L1_100_L2_10_dropout_0.2_testPeriod_1910_1920,1910,1919,100,10,linear,0.2,0.001,-0.08269820478467715,0.23765016908378817
2-nwi_L1_100_L2_10_dropout_0.2_testPeriod_1914_1924,1914,1923,100,10,linear,0.2,0.001,-1.433684719178446,0.004888267086590411
2-nwi_L1_100_L2_10_dropout_0.2_testPeriod_1916_1926,1916,1925,100,10,linear,0.2,0.001,-5.338270197439072,0.1491921051064551
2-nwi_L1_100_L2_20_dropout_0.2_testPeriod_1918_1928,1918,1927,100,20,linear,0.2,0.01,-4.133918096422442,0.06125791261116991
2-nwi_L1_50_L2_5_dropout_0.2_testPeriod_1918_1928,1918,1927,50,5,linear,0.2,0.01,-1.9791986330682074,0.0804886229230232
2-nwi_L1_50_L2_5_dropout_0.2_testPeriod_1918_1928,1918,1927,50,5,relu,0.2,0.01,-1.5925178315241992,0.08399090967444602
2-nwi_L1_100_L2_20_dropout_0.2_testPeriod_1920_1930,1920,1929,100,20,linear,0.2,0.01,-2.5377313491761893,0.26560678501522306
2-nwi_L1_100_L2_10_dropout_0.2_testPeriod_1920_1930,1920,1929,100,10,linear,0.2,0.001,0.1409087064962009,0.17554293589488928
