model_label,testing_period_start,testing_period_end,L1_neurons,L2_neurons,L1_activation,dropout,L1_regularisation,KGE,linear_correlation_coefficient
4-nei_L1_100_L2_20_dropout_0.2_testPeriod_1902_1912,1902,1911,100,20,relu,0.2,0.01,-0.9727679844220951,0.3012841986639585
4-nei_L1_100_L2_20_dropout_0.0_testPeriod_1902_1912,1902,1911,100,20,relu,0.0,0.05,-1.1425729433409781,0.16218017648835248
4-nei_L1_100_L2_20_dropout_0.2_testPeriod_1902_1912,1902,1911,100,20,linear,0.2,0.01,0.22713087854016178,0.2466029574506903
4-nei_L1_20_L2_5_dropout_0.1_testPeriod_1902_1912,1902,1911,20,5,relu,0.1,0.01,-1.1527156862467969,0.10222126873335387
4-nei_L1_100_L2_10_dropout_0.2_testPeriod_1902_1912,1902,1911,100,10,linear,0.2,0.001,-0.13303061672949767,0.12384486025194702
4-nei_L1_50_L2_5_dropout_0.2_testPeriod_1902_1912,1902,1911,50,5,linear,0.2,0.01,0.10956101148487285,0.2455422239403366
4-nei_L1_50_L2_5_dropout_0.2_testPeriod_1902_1912,1902,1911,50,5,relu,0.2,0.01,-0.42376362100171927,0.18656549052748986
4-nei_L1_20_L2_5_dropout_0.1_testPeriod_1904_1914,1904,1913,20,5,relu,0.1,0.01,-0.4467663817121923,0.1501187145837428
4-nei_L1_100_L2_20_dropout_0.0_testPeriod_1908_1918,1908,1917,100,20,relu,0.0,0.05,-6.041898310373742,0.11795965074936712
4-nei_L1_50_L2_5_dropout_0.2_testPeriod_1908_1918,1908,1917,50,5,relu,0.2,0.01,-4.38395288526103,0.17671103670315627
4-nei_L1_100_L2_20_dropout_0.0_testPeriod_1910_1920,1910,1919,100,20,relu,0.0,0.05,-0.1502015381536368,0.10622712457566054
4-nei_L1_100_L2_20_dropout_0.2_testPeriod_1910_1920,1910,1919,100,20,linear,0.2,0.01,-0.8780912991435017,0.38176391027076206
4-nei_L1_50_L2_5_dropout_0.2_testPeriod_1910_1920,1910,1919,50,5,linear,0.2,0.01,-0.5317453235395322,0.13938211770491188
4-nei_L1_50_L2_5_dropout_0.2_testPeriod_1910_1920,1910,1919,50,5,relu,0.2,0.01,-0.6562527030173588,0.11058206929246156
4-nei_L1_100_L2_20_dropout_0.0_testPeriod_1912_1922,1912,1921,100,20,relu,0.0,0.05,-2.151647400464431,0.2259366268173553
4-nei_L1_100_L2_20_dropout_0.2_testPeriod_1912_1922,1912,1921,100,20,linear,0.2,0.01,0.006305832527007338,0.3283863288316479
4-nei_L1_20_L2_5_dropout_0.1_testPeriod_1912_1922,1912,1921,20,5,relu,0.1,0.01,-0.26525807801501133,0.021041073598010537
4-nei_L1_100_L2_10_dropout_0.2_testPeriod_1912_1922,1912,1921,100,10,linear,0.2,0.001,0.00020196197963118223,0.5411661141884403
4-nei_L1_50_L2_5_dropout_0.2_testPeriod_1912_1922,1912,1921,50,5,linear,0.2,0.01,-0.09551059568371545,0.2973815037860536
4-nei_L1_100_L2_20_dropout_0.0_testPeriod_1914_1924,1914,1923,100,20,relu,0.0,0.05,-0.27739866339065533,0.2820844221293954
4-nei_L1_100_L2_20_dropout_0.2_testPeriod_1914_1924,1914,1923,100,20,linear,0.2,0.01,0.019999631324897016,0.05940899543486863
4-nei_L1_50_L2_5_dropout_0.2_testPeriod_1914_1924,1914,1923,50,5,linear,0.2,0.01,-0.21849640884044663,0.03314072791137105
4-nei_L1_100_L2_20_dropout_0.2_testPeriod_1916_1926,1916,1925,100,20,linear,0.2,0.01,-0.8835632965872415,0.2389739541736242
4-nei_L1_20_L2_5_dropout_0.1_testPeriod_1916_1926,1916,1925,20,5,relu,0.1,0.01,0.03319054309166458,0.32045824349826
4-nei_L1_50_L2_5_dropout_0.2_testPeriod_1916_1926,1916,1925,50,5,linear,0.2,0.01,0.23434327731781213,0.32239855999420713
4-nei_L1_100_L2_20_dropout_0.2_testPeriod_1918_1928,1918,1927,100,20,relu,0.2,0.01,-0.20878330517226762,0.058890492437124756
4-nei_L1_100_L2_20_dropout_0.2_testPeriod_1918_1928,1918,1927,100,20,linear,0.2,0.01,0.14468858532996254,0.23410296429035318
4-nei_L1_20_L2_5_dropout_0.1_testPeriod_1918_1928,1918,1927,20,5,relu,0.1,0.01,0.01791819045084886,0.2470211751492217
4-nei_L1_100_L2_10_dropout_0.2_testPeriod_1918_1928,1918,1927,100,10,linear,0.2,0.001,-0.30797316638331096,0.005425251773863415
4-nei_L1_50_L2_5_dropout_0.2_testPeriod_1918_1928,1918,1927,50,5,linear,0.2,0.01,-0.005773099256027203,0.28870160548264767
4-nei_L1_100_L2_20_dropout_0.2_testPeriod_1920_1930,1920,1929,100,20,relu,0.2,0.01,-0.4515567205415585,0.13048299984968442
4-nei_L1_100_L2_20_dropout_0.0_testPeriod_1920_1930,1920,1929,100,20,relu,0.0,0.05,-0.9667983920503747,0.256309441243247
4-nei_L1_100_L2_20_dropout_0.2_testPeriod_1920_1930,1920,1929,100,20,linear,0.2,0.01,-0.04895236144093151,0.3711063624779642
4-nei_L1_20_L2_5_dropout_0.1_testPeriod_1920_1930,1920,1929,20,5,relu,0.1,0.01,-0.5929998377703791,0.14379960683585336
4-nei_L1_100_L2_10_dropout_0.2_testPeriod_1920_1930,1920,1929,100,10,linear,0.2,0.001,-3.31648447608033,0.4336546251147376
4-nei_L1_50_L2_5_dropout_0.2_testPeriod_1920_1930,1920,1929,50,5,linear,0.2,0.01,-1.8138562521793662,0.5376573794304588
4-nei_L1_50_L2_5_dropout_0.2_testPeriod_1920_1930,1920,1929,50,5,relu,0.2,0.01,0.30812579244473326,0.4808480450615476
4-nei_L1_100_L2_20_dropout_0.2_testPeriod_1922_1932,1922,1931,100,20,relu,0.2,0.01,-1.3024011886300904,0.1985646505551304
4-nei_L1_100_L2_20_dropout_0.0_testPeriod_1922_1932,1922,1931,100,20,relu,0.0,0.05,-1.594813866588534,0.569047793727573
4-nei_L1_100_L2_20_dropout_0.2_testPeriod_1922_1932,1922,1931,100,20,linear,0.2,0.01,-7.157743502282921,0.5088776915908677
4-nei_L1_100_L2_10_dropout_0.2_testPeriod_1922_1932,1922,1931,100,10,linear,0.2,0.001,-3.309367222920348,0.528635699076654
4-nei_L1_50_L2_5_dropout_0.2_testPeriod_1922_1932,1922,1931,50,5,linear,0.2,0.01,-2.3025212557677848,0.5211915560760346
4-nei_L1_50_L2_5_dropout_0.2_testPeriod_1922_1932,1922,1931,50,5,relu,0.2,0.01,0.28903148597402795,0.554327438608522
4-nei_L1_100_L2_20_dropout_0.0_testPeriod_1924_1934,1924,1933,100,20,relu,0.0,0.05,-0.8186756887213782,0.45916320333859467
4-nei_L1_50_L2_5_dropout_0.2_testPeriod_1924_1934,1924,1933,50,5,relu,0.2,0.01,-7.013718256215874,0.2123821540488202
4-nei_L1_100_L2_20_dropout_0.2_testPeriod_1926_1936,1926,1935,100,20,relu,0.2,0.01,-5.449090944562754,0.5022592468031356
4-nei_L1_100_L2_20_dropout_0.2_testPeriod_1926_1936,1926,1935,100,20,linear,0.2,0.01,-8.720771162067697,0.4276650763641351
4-nei_L1_100_L2_10_dropout_0.2_testPeriod_1926_1936,1926,1935,100,10,linear,0.2,0.001,-3.9406465006446485,0.00013724217637499722
4-nei_L1_50_L2_5_dropout_0.2_testPeriod_1926_1936,1926,1935,50,5,linear,0.2,0.01,-3.398414134713562,0.32003658181572936
4-nei_L1_50_L2_5_dropout_0.2_testPeriod_1926_1936,1926,1935,50,5,relu,0.2,0.01,-3.5003817715384518,0.33025040835553404
4-nei_L1_100_L2_20_dropout_0.0_testPeriod_1928_1938,1928,1937,100,20,relu,0.0,0.05,-0.6499240335974348,0.2050059960155626
4-nei_L1_100_L2_20_dropout_0.2_testPeriod_1928_1938,1928,1937,100,20,linear,0.2,0.01,-3.823245867339459,0.19910268459813626
4-nei_L1_20_L2_5_dropout_0.1_testPeriod_1928_1938,1928,1937,20,5,relu,0.1,0.01,-7.524331505022461,0.2960215884610036
4-nei_L1_100_L2_10_dropout_0.2_testPeriod_1928_1938,1928,1937,100,10,linear,0.2,0.001,-9.991743367376142,0.25745191745197155
4-nei_L1_50_L2_5_dropout_0.2_testPeriod_1928_1938,1928,1937,50,5,relu,0.2,0.01,-9.875410858487953,0.13244257869989273
4-nei_L1_100_L2_20_dropout_0.2_testPeriod_1930_1940,1930,1939,100,20,relu,0.2,0.01,0.26594961652058635,0.2811942026043924
4-nei_L1_100_L2_20_dropout_0.0_testPeriod_1930_1940,1930,1939,100,20,relu,0.0,0.05,-1.341326687780041,0.21387430463767723
4-nei_L1_20_L2_5_dropout_0.1_testPeriod_1930_1940,1930,1939,20,5,relu,0.1,0.01,0.03169435102773899,0.4185555761238485
4-nei_L1_100_L2_10_dropout_0.2_testPeriod_1930_1940,1930,1939,100,10,linear,0.2,0.001,-0.8039168813345827,0.3263055292417018
4-nei_L1_50_L2_5_dropout_0.2_testPeriod_1930_1940,1930,1939,50,5,linear,0.2,0.01,-1.0522323611339086,0.1526144940712271
4-nei_L1_50_L2_5_dropout_0.2_testPeriod_1930_1940,1930,1939,50,5,relu,0.2,0.01,-0.022813326252302035,0.22498183219592016
4-nei_L1_100_L2_20_dropout_0.2_testPeriod_1932_1942,1932,1941,100,20,relu,0.2,0.01,-0.2924521332124248,0.17758666658618882
4-nei_L1_20_L2_5_dropout_0.1_testPeriod_1932_1942,1932,1941,20,5,relu,0.1,0.01,-0.06345403378287706,0.16009965195581133
4-nei_L1_100_L2_10_dropout_0.2_testPeriod_1932_1942,1932,1941,100,10,linear,0.2,0.001,0.029825325966647,0.41535061491162445
4-nei_L1_50_L2_5_dropout_0.2_testPeriod_1932_1942,1932,1941,50,5,relu,0.2,0.01,0.03675197600114155,0.10107885677073473
4-nei_L1_100_L2_20_dropout_0.2_testPeriod_1936_1946,1936,1945,100,20,relu,0.2,0.01,-7.217831851428244,0.37899369421078133
4-nei_L1_100_L2_20_dropout_0.0_testPeriod_1936_1946,1936,1945,100,20,relu,0.0,0.05,-8.210227258999934,0.17364249855224342
4-nei_L1_20_L2_5_dropout_0.1_testPeriod_1936_1946,1936,1945,20,5,relu,0.1,0.01,-6.600266756664844,0.28216820736481496
4-nei_L1_50_L2_5_dropout_0.2_testPeriod_1936_1946,1936,1945,50,5,relu,0.2,0.01,-7.76000079203563,0.1964362154279466
4-nei_L1_20_L2_5_dropout_0.1_testPeriod_1942_1952,1942,1951,20,5,relu,0.1,0.01,-8.18172165248306,0.14330348766887105
4-nei_L1_100_L2_20_dropout_0.2_testPeriod_1948_1958,1948,1957,100,20,relu,0.2,0.01,-2.113532118835088,0.2713476989746816
4-nei_L1_100_L2_20_dropout_0.0_testPeriod_1948_1958,1948,1957,100,20,relu,0.0,0.05,-2.2604141291938897,0.29646329650906716
4-nei_L1_100_L2_20_dropout_0.2_testPeriod_1948_1958,1948,1957,100,20,linear,0.2,0.01,-3.806187498273628,0.34771941539444445
4-nei_L1_100_L2_10_dropout_0.2_testPeriod_1948_1958,1948,1957,100,10,linear,0.2,0.001,-1.781970137429095,0.2259944055891425
4-nei_L1_50_L2_5_dropout_0.2_testPeriod_1948_1958,1948,1957,50,5,linear,0.2,0.01,-0.2872687539911354,0.41302681252659434
4-nei_L1_50_L2_5_dropout_0.2_testPeriod_1948_1958,1948,1957,50,5,relu,0.2,0.01,0.14531391201588462,0.227044535989107
4-nei_L1_100_L2_20_dropout_0.2_testPeriod_1950_1960,1950,1959,100,20,relu,0.2,0.01,-0.1722669351430577,0.33461796699779944
4-nei_L1_100_L2_20_dropout_0.0_testPeriod_1950_1960,1950,1959,100,20,relu,0.0,0.05,-1.295653990161688,0.526316345413525
4-nei_L1_100_L2_20_dropout_0.2_testPeriod_1950_1960,1950,1959,100,20,linear,0.2,0.01,-2.497218441731497,0.4896243519711873
4-nei_L1_20_L2_5_dropout_0.1_testPeriod_1950_1960,1950,1959,20,5,relu,0.1,0.01,0.21807374007414682,0.33828947872653325
4-nei_L1_100_L2_10_dropout_0.2_testPeriod_1950_1960,1950,1959,100,10,linear,0.2,0.001,-2.340931258397779,0.5128603141119444
4-nei_L1_50_L2_5_dropout_0.2_testPeriod_1950_1960,1950,1959,50,5,linear,0.2,0.01,-1.1446168107732446,0.5346571395877326
4-nei_L1_50_L2_5_dropout_0.2_testPeriod_1950_1960,1950,1959,50,5,relu,0.2,0.01,0.12631821034892987,0.5744893158869707
4-nei_L1_100_L2_20_dropout_0.2_testPeriod_1952_1962,1952,1961,100,20,relu,0.2,0.01,-0.3739145058291702,0.5421962239874204
4-nei_L1_100_L2_20_dropout_0.0_testPeriod_1952_1962,1952,1961,100,20,relu,0.0,0.05,0.3439801834692613,0.4920338699338955
4-nei_L1_100_L2_20_dropout_0.2_testPeriod_1952_1962,1952,1961,100,20,linear,0.2,0.01,-0.7521950941165771,0.6006736143803127
4-nei_L1_20_L2_5_dropout_0.1_testPeriod_1952_1962,1952,1961,20,5,relu,0.1,0.01,0.19623000144838798,0.5492226207517698
4-nei_L1_100_L2_10_dropout_0.2_testPeriod_1952_1962,1952,1961,100,10,linear,0.2,0.001,-0.4735792275231998,0.6588901707617981
4-nei_L1_50_L2_5_dropout_0.2_testPeriod_1952_1962,1952,1961,50,5,linear,0.2,0.01,-1.9366841714005205,0.5324650486059838
4-nei_L1_50_L2_5_dropout_0.2_testPeriod_1952_1962,1952,1961,50,5,relu,0.2,0.01,0.45837409192037026,0.542733825112665
4-nei_L1_100_L2_20_dropout_0.2_testPeriod_1954_1964,1954,1963,100,20,relu,0.2,0.01,-0.19772418712547313,0.18591466289154868
4-nei_L1_100_L2_20_dropout_0.0_testPeriod_1954_1964,1954,1963,100,20,relu,0.0,0.05,-0.9536072142186562,0.5740889659293696
4-nei_L1_100_L2_20_dropout_0.2_testPeriod_1954_1964,1954,1963,100,20,linear,0.2,0.01,0.1356556461154943,0.41042656753631246
4-nei_L1_20_L2_5_dropout_0.1_testPeriod_1954_1964,1954,1963,20,5,relu,0.1,0.01,-0.32020509840876166,0.09321648333756781
4-nei_L1_100_L2_10_dropout_0.2_testPeriod_1954_1964,1954,1963,100,10,linear,0.2,0.001,-0.30477928010704547,0.287342253052684
4-nei_L1_50_L2_5_dropout_0.2_testPeriod_1954_1964,1954,1963,50,5,linear,0.2,0.01,-0.36464396061715876,0.3831965275302632
