model_label,testing_period_start,testing_period_end,L1_neurons,L2_neurons,L1_activation,dropout,L1_regularisation,KGE,linear_correlation_coefficient
1-nmi_L1_50_L2_5_dropout_0.2_testPeriod_1902_1912,1902,1911,50,5,relu,0.2,0.01,0.005776494222353934,0.573597385800038
1-nmi_L1_100_L2_20_dropout_0.2_testPeriod_1904_1914,1904,1913,100,20,relu,0.2,0.01,0.2772838554296455,0.34983153253326227
1-nmi_L1_100_L2_20_dropout_0.0_testPeriod_1904_1914,1904,1913,100,20,relu,0.0,0.05,0.1555460320588965,0.31561314958318515
1-nmi_L1_100_L2_20_dropout_0.2_testPeriod_1920_1930,1920,1929,100,20,relu,0.2,0.01,0.14996549239136836,0.3835853932565164
1-nmi_L1_100_L2_20_dropout_0.2_testPeriod_1920_1930,1920,1929,100,20,linear,0.2,0.01,0.4049172770255095,0.551267711249457
1-nmi_L1_100_L2_20_dropout_0.0_testPeriod_1922_1932,1922,1931,100,20,relu,0.0,0.05,0.29719281381646323,0.684401476618647
1-nmi_L1_20_L2_5_dropout_0.1_testPeriod_1922_1932,1922,1931,20,5,relu,0.1,0.01,0.4217700267884138,0.8556762445127009
1-nmi_L1_50_L2_5_dropout_0.2_testPeriod_1922_1932,1922,1931,50,5,relu,0.2,0.01,0.23600367270302613,0.6347236901583768
1-nmi_L1_100_L2_20_dropout_0.2_testPeriod_1924_1934,1924,1933,100,20,relu,0.2,0.01,0.140643573671006,0.7576802759821983
1-nmi_L1_100_L2_20_dropout_0.0_testPeriod_1924_1934,1924,1933,100,20,relu,0.0,0.05,0.2591334028940381,0.7633230745099259
1-nmi_L1_50_L2_5_dropout_0.2_testPeriod_1924_1934,1924,1933,50,5,relu,0.2,0.01,0.035293130910745374,0.7602005581300523
1-nmi_L1_20_L2_5_dropout_0.1_testPeriod_1928_1938,1928,1937,20,5,relu,0.1,0.01,0.33856854539288517,0.6134439680397548
1-nmi_L1_100_L2_20_dropout_0.2_testPeriod_1930_1940,1930,1939,100,20,relu,0.2,0.01,0.07078934171983353,0.5727115706085462
1-nmi_L1_100_L2_20_dropout_0.2_testPeriod_1930_1940,1930,1939,100,20,linear,0.2,0.01,0.6750517207512557,0.679402570289274
1-nmi_L1_20_L2_5_dropout_0.1_testPeriod_1930_1940,1930,1939,20,5,relu,0.1,0.01,0.049523574792875724,0.7002111674764929
1-nmi_L1_100_L2_20_dropout_0.2_testPeriod_1932_1942,1932,1941,100,20,relu,0.2,0.01,0.17769843029292132,0.4918280629403482
1-nmi_L1_100_L2_10_dropout_0.2_testPeriod_1932_1942,1932,1941,100,10,linear,0.2,0.001,0.27217356924130365,0.3570097140852292
1-nmi_L1_50_L2_5_dropout_0.2_testPeriod_1934_1944,1934,1943,50,5,relu,0.2,0.01,0.3125302219270233,0.6128747095886435
1-nmi_L1_100_L2_20_dropout_0.2_testPeriod_1936_1946,1936,1945,100,20,relu,0.2,0.01,0.10669849035094248,0.6080584199990751
1-nmi_L1_100_L2_10_dropout_0.2_testPeriod_1936_1946,1936,1945,100,10,linear,0.2,0.001,0.3323761346627022,0.3988051810754273
1-nmi_L1_20_L2_5_dropout_0.1_testPeriod_1960_1970,1960,1969,20,5,relu,0.1,0.01,0.20513692449923415,0.5500971424331429
1-nmi_L1_100_L2_20_dropout_0.2_testPeriod_1962_1972,1962,1971,100,20,linear,0.2,0.01,0.01611362915320591,0.36142120001331424
1-nmi_L1_100_L2_20_dropout_0.2_testPeriod_1974_1984,1974,1983,100,20,relu,0.2,0.01,0.13981967368509118,0.3378134824376027
1-nmi_L1_50_L2_5_dropout_0.2_testPeriod_1974_1984,1974,1983,50,5,relu,0.2,0.01,0.10874701800173348,0.3434547871535837
1-nmi_L1_100_L2_10_dropout_0.2_testPeriod_1976_1986,1976,1985,100,10,linear,0.2,0.001,0.12090477852473835,0.4258799572749244
1-nmi_L1_100_L2_20_dropout_0.2_testPeriod_1980_1990,1980,1989,100,20,relu,0.2,0.01,0.2775535803898601,0.3932026060306977
1-nmi_L1_100_L2_20_dropout_0.0_testPeriod_1980_1990,1980,1989,100,20,relu,0.0,0.05,0.2920981085045019,0.5295166325046763
1-nmi_L1_20_L2_5_dropout_0.1_testPeriod_1980_1990,1980,1989,20,5,relu,0.1,0.01,0.567672728448219,0.648756169144782
1-nmi_L1_100_L2_20_dropout_0.2_testPeriod_1982_1992,1982,1991,100,20,relu,0.2,0.01,0.014286373374695405,0.3848693711027141
1-nmi_L1_20_L2_5_dropout_0.1_testPeriod_1982_1992,1982,1991,20,5,relu,0.1,0.01,0.34270238536290043,0.4337480058842424
1-nmi_L1_50_L2_5_dropout_0.2_testPeriod_1982_1992,1982,1991,50,5,relu,0.2,0.01,0.19361229713683903,0.4893383707490228
1-nmi_L1_50_L2_5_dropout_0.2_testPeriod_1984_1994,1984,1993,50,5,relu,0.2,0.01,0.40880297130272136,0.49453206211250267
