model_label,testing_period_start,testing_period_end,L1_neurons,L2_neurons,L1_activation,dropout,L1_regularisation,KGE,linear_correlation_coefficient
2-nwi_L1_100_L2_20_dropout_0.0_testPeriod_1904_1914,1904,1913,100,20,relu,0.0,0.05,0.11180300658200581,0.32555291264209335
2-nwi_L1_100_L2_10_dropout_0.2_testPeriod_1940_1950,1940,1949,100,10,linear,0.2,0.001,0.029889457041309853,0.5488942417229231
2-nwi_L1_100_L2_20_dropout_0.2_testPeriod_1950_1960,1950,1959,100,20,relu,0.2,0.01,0.2638669029455757,0.46095932615473806
2-nwi_L1_100_L2_20_dropout_0.0_testPeriod_1956_1966,1956,1965,100,20,relu,0.0,0.05,0.39914044827835904,0.40258461100027054
2-nwi_L1_100_L2_20_dropout_0.2_testPeriod_1958_1968,1958,1967,100,20,relu,0.2,0.01,0.30323003286558514,0.5422131819266844
2-nwi_L1_100_L2_20_dropout_0.0_testPeriod_1958_1968,1958,1967,100,20,relu,0.0,0.05,0.3622845257243613,0.39048785583444545
2-nwi_L1_20_L2_5_dropout_0.1_testPeriod_1958_1968,1958,1967,20,5,relu,0.1,0.01,0.3098435403547083,0.5844303571369607
2-nwi_L1_100_L2_10_dropout_0.2_testPeriod_1958_1968,1958,1967,100,10,linear,0.2,0.001,0.3450582302548614,0.5918199500658262
2-nwi_L1_50_L2_5_dropout_0.2_testPeriod_1958_1968,1958,1967,50,5,linear,0.2,0.01,0.21776565471203402,0.5004088097401614
2-nwi_L1_50_L2_5_dropout_0.2_testPeriod_1958_1968,1958,1967,50,5,relu,0.2,0.01,0.022046735783021965,0.3784886896743525
2-nwi_L1_100_L2_20_dropout_0.2_testPeriod_1962_1972,1962,1971,100,20,relu,0.2,0.01,0.1952906220983418,0.5369326505166382
2-nwi_L1_100_L2_20_dropout_0.2_testPeriod_1962_1972,1962,1971,100,20,linear,0.2,0.01,0.16970469971276692,0.328858383552601
2-nwi_L1_50_L2_5_dropout_0.2_testPeriod_1962_1972,1962,1971,50,5,relu,0.2,0.01,0.23002744745254933,0.38625645180401874
2-nwi_L1_100_L2_10_dropout_0.2_testPeriod_1966_1976,1966,1975,100,10,linear,0.2,0.001,0.20534149950539538,0.5043697129102896
2-nwi_L1_100_L2_20_dropout_0.2_testPeriod_1968_1978,1968,1977,100,20,linear,0.2,0.01,0.14320323188379347,0.495551177207171
2-nwi_L1_20_L2_5_dropout_0.1_testPeriod_1968_1978,1968,1977,20,5,relu,0.1,0.01,0.31408982766752946,0.40421671350069593
2-nwi_L1_50_L2_5_dropout_0.2_testPeriod_1968_1978,1968,1977,50,5,linear,0.2,0.01,0.27102755086311003,0.4973346202929057
2-nwi_L1_100_L2_20_dropout_0.0_testPeriod_1970_1980,1970,1979,100,20,relu,0.0,0.05,0.14086469700937632,0.5571722252739026
2-nwi_L1_50_L2_5_dropout_0.2_testPeriod_1972_1982,1972,1981,50,5,relu,0.2,0.01,0.15150015980570908,0.5891456599556618
2-nwi_L1_20_L2_5_dropout_0.1_testPeriod_1982_1992,1982,1991,20,5,relu,0.1,0.01,0.029771364564687652,0.5324836389443919
2-nwi_L1_50_L2_5_dropout_0.2_testPeriod_1982_1992,1982,1991,50,5,relu,0.2,0.01,0.0010753093504833888,0.44449229255719064
