model_label,testing_period_start,testing_period_end,L1_neurons,L2_neurons,L1_activation,dropout,L1_regularisation,KGE,linear_correlation_coefficient
6-epi_L1_100_L2_10_dropout_0.2_testPeriod_1912_1922,1912,1921,100,10,linear,0.2,0.001,0.24775901062525674,0.4604486747752547
6-epi_L1_50_L2_5_dropout_0.2_testPeriod_1914_1924,1914,1923,50,5,relu,0.2,0.01,0.04074494373015147,0.32701446859552485
6-epi_L1_100_L2_20_dropout_0.0_testPeriod_1916_1926,1916,1925,100,20,relu,0.0,0.05,0.004983435411365256,0.3072849601988612
6-epi_L1_50_L2_5_dropout_0.2_testPeriod_1916_1926,1916,1925,50,5,linear,0.2,0.01,0.2303979082034795,0.592980911086858
6-epi_L1_100_L2_20_dropout_0.0_testPeriod_1918_1928,1918,1927,100,20,relu,0.0,0.05,0.4743066080922711,0.6422137228344753
6-epi_L1_100_L2_20_dropout_0.2_testPeriod_1918_1928,1918,1927,100,20,linear,0.2,0.01,0.015563127374320085,0.596633569249522
6-epi_L1_20_L2_5_dropout_0.1_testPeriod_1918_1928,1918,1927,20,5,relu,0.1,0.01,0.08471808103718426,0.635285130389737
6-epi_L1_100_L2_10_dropout_0.2_testPeriod_1918_1928,1918,1927,100,10,linear,0.2,0.001,0.042129271906493404,0.6022498805395553
6-epi_L1_100_L2_20_dropout_0.0_testPeriod_1924_1934,1924,1933,100,20,relu,0.0,0.05,0.46341999907550013,0.5336378536193498
6-epi_L1_100_L2_20_dropout_0.2_testPeriod_1924_1934,1924,1933,100,20,linear,0.2,0.01,0.23114877436964898,0.30657224783773424
6-epi_L1_100_L2_20_dropout_0.0_testPeriod_1926_1936,1926,1935,100,20,relu,0.0,0.05,0.19919277287457526,0.35566974606124213
6-epi_L1_20_L2_5_dropout_0.1_testPeriod_1926_1936,1926,1935,20,5,relu,0.1,0.01,0.1141953209166916,0.41099325981815793
6-epi_L1_100_L2_20_dropout_0.2_testPeriod_1928_1938,1928,1937,100,20,relu,0.2,0.01,0.04496128526370713,0.33725223830174456
6-epi_L1_100_L2_20_dropout_0.2_testPeriod_1934_1944,1934,1943,100,20,relu,0.2,0.01,0.09280406961660892,0.30744065100060475
6-epi_L1_100_L2_20_dropout_0.0_testPeriod_1934_1944,1934,1943,100,20,relu,0.0,0.05,0.18348888705596256,0.3101637010868457
6-epi_L1_20_L2_5_dropout_0.1_testPeriod_1936_1946,1936,1945,20,5,relu,0.1,0.01,0.05196275509066739,0.42711319103088446
6-epi_L1_20_L2_5_dropout_0.1_testPeriod_1938_1948,1938,1947,20,5,relu,0.1,0.01,0.26888376062968866,0.30941294334011255
6-epi_L1_100_L2_20_dropout_0.0_testPeriod_1948_1958,1948,1957,100,20,relu,0.0,0.05,0.20380456154102777,0.4131433621446558
6-epi_L1_100_L2_10_dropout_0.2_testPeriod_1948_1958,1948,1957,100,10,linear,0.2,0.001,0.399264277245009,0.45432759022475305
6-epi_L1_50_L2_5_dropout_0.2_testPeriod_1948_1958,1948,1957,50,5,relu,0.2,0.01,0.14290282697301449,0.3833715185118796
6-epi_L1_20_L2_5_dropout_0.1_testPeriod_1950_1960,1950,1959,20,5,relu,0.1,0.01,0.05641097102939363,0.43728393528953113
6-epi_L1_50_L2_5_dropout_0.2_testPeriod_1950_1960,1950,1959,50,5,linear,0.2,0.01,0.6123358484693034,0.6215074945010235
6-epi_L1_50_L2_5_dropout_0.2_testPeriod_1950_1960,1950,1959,50,5,relu,0.2,0.01,0.08829186215194151,0.5542092256886458
