model_label,testing_period_start,testing_period_end,L1_neurons,L2_neurons,L1_activation,dropout,L1_regularisation,KGE,linear_correlation_coefficient
ERA5_L1_50_L2_5_dropout_0.2_testPeriod_1944_1954,1944,1953,50,5,relu,0.2,0.01,0.06788089592655677,0.34506142269877893
ERA5_L1_100_L2_20_dropout_0.2_testPeriod_1950_1960,1950,1959,100,20,relu,0.2,0.01,0.5844423535914944,0.7537833816267121
ERA5_L1_100_L2_20_dropout_0.2_testPeriod_1950_1960,1950,1959,100,20,linear,0.2,0.01,0.19071311068071006,0.5842002688200234
ERA5_L1_20_L2_5_dropout_0.1_testPeriod_1952_1962,1952,1961,20,5,relu,0.1,0.01,0.17376826237770382,0.397522648147113
ERA5_L1_20_L2_5_dropout_0.1_testPeriod_1954_1964,1954,1963,20,5,relu,0.1,0.01,0.0854476538648199,0.32546015325636496
ERA5_L1_100_L2_20_dropout_0.2_testPeriod_1956_1966,1956,1965,100,20,relu,0.2,0.01,0.009435375003034152,0.47109175620023086
ERA5_L1_20_L2_5_dropout_0.1_testPeriod_1956_1966,1956,1965,20,5,relu,0.1,0.01,0.15262236863964218,0.3157705720498221
ERA5_L1_100_L2_20_dropout_0.2_testPeriod_1958_1968,1958,1967,100,20,relu,0.2,0.01,0.5262362197676261,0.6185518832022157
ERA5_L1_100_L2_20_dropout_0.0_testPeriod_1958_1968,1958,1967,100,20,relu,0.0,0.05,0.28745358513581654,0.5484899292362732
ERA5_L1_100_L2_20_dropout_0.2_testPeriod_1958_1968,1958,1967,100,20,linear,0.2,0.01,0.3053610624728167,0.5344525746788885
ERA5_L1_20_L2_5_dropout_0.1_testPeriod_1958_1968,1958,1967,20,5,relu,0.1,0.01,0.2895830012020856,0.491498571804626
ERA5_L1_50_L2_5_dropout_0.2_testPeriod_1958_1968,1958,1967,50,5,linear,0.2,0.01,0.3444729013115766,0.5068842763955466
ERA5_L1_50_L2_5_dropout_0.2_testPeriod_1958_1968,1958,1967,50,5,relu,0.2,0.01,0.3703998222121595,0.45541582165338873
ERA5_L1_100_L2_10_dropout_0.2_testPeriod_1962_1972,1962,1971,100,10,linear,0.2,0.001,0.004891814619835122,0.39622083217168097
ERA5_L1_50_L2_5_dropout_0.2_testPeriod_1962_1972,1962,1971,50,5,relu,0.2,0.01,0.20654822415635166,0.357379261454916
ERA5_L1_20_L2_5_dropout_0.1_testPeriod_1966_1976,1966,1975,20,5,relu,0.1,0.01,0.06670170457415969,0.38866072023121667
ERA5_L1_100_L2_20_dropout_0.2_testPeriod_1970_1980,1970,1979,100,20,relu,0.2,0.01,0.13559857771480177,0.5541457860478253
ERA5_L1_20_L2_5_dropout_0.1_testPeriod_1972_1982,1972,1981,20,5,relu,0.1,0.01,0.07956245817507024,0.5776719003149882
ERA5_L1_100_L2_10_dropout_0.2_testPeriod_1974_1984,1974,1983,100,10,linear,0.2,0.001,0.22988756203716432,0.6200153031459775
ERA5_L1_100_L2_20_dropout_0.0_testPeriod_1976_1986,1976,1985,100,20,relu,0.0,0.05,0.17487557287850042,0.5429056219056365
ERA5_L1_100_L2_20_dropout_0.0_testPeriod_1978_1988,1978,1987,100,20,relu,0.0,0.05,0.16971985256541022,0.6041836621102036
ERA5_L1_50_L2_5_dropout_0.2_testPeriod_1978_1988,1978,1987,50,5,linear,0.2,0.01,0.05926814631462629,0.49971483308225817
ERA5_L1_100_L2_20_dropout_0.2_testPeriod_1982_1992,1982,1991,100,20,linear,0.2,0.01,0.1231230484958864,0.33954802513065974
ERA5_L1_50_L2_5_dropout_0.2_testPeriod_1982_1992,1982,1991,50,5,linear,0.2,0.01,0.02437858797622061,0.34347891510843737
ERA5_L1_50_L2_5_dropout_0.2_testPeriod_1982_1992,1982,1991,50,5,relu,0.2,0.01,0.03674531862041064,0.3509548962265403
ERA5_L1_100_L2_20_dropout_0.0_testPeriod_1984_1994,1984,1993,100,20,relu,0.0,0.05,0.1759179930333855,0.5484884645261126
ERA5_L1_100_L2_10_dropout_0.2_testPeriod_1984_1994,1984,1993,100,10,linear,0.2,0.001,0.26785453891076605,0.48945799892991226
ERA5_L1_50_L2_5_dropout_0.2_testPeriod_1984_1994,1984,1993,50,5,relu,0.2,0.01,0.10208981003251627,0.657433622541241
