model_label,testing_period_start,testing_period_end,L1_neurons,L2_neurons,L1_activation,dropout,L1_regularisation,KGE,linear_correlation_coefficient
IMD_L1_100_L2_20_dropout_0.2_testPeriod_1902_1912,1902,1911,100,20,relu,0.2,0.01,0.1712430427811833,0.42164629929680636
IMD_L1_20_L2_5_dropout_0.1_testPeriod_1922_1932,1922,1931,20,5,relu,0.1,0.01,0.03777941029335319,0.5141113029978461
IMD_L1_50_L2_5_dropout_0.2_testPeriod_1922_1932,1922,1931,50,5,relu,0.2,0.01,0.38624735192633386,0.44541479147500546
IMD_L1_100_L2_20_dropout_0.2_testPeriod_1926_1936,1926,1935,100,20,relu,0.2,0.01,0.5457928817464113,0.8096115989490741
IMD_L1_20_L2_5_dropout_0.1_testPeriod_1926_1936,1926,1935,20,5,relu,0.1,0.01,0.26337508898781703,0.369186022142691
IMD_L1_100_L2_20_dropout_0.2_testPeriod_1934_1944,1934,1943,100,20,relu,0.2,0.01,0.11021097443189909,0.5231561062061252
IMD_L1_20_L2_5_dropout_0.1_testPeriod_1934_1944,1934,1943,20,5,relu,0.1,0.01,0.39645195952178813,0.6189017069514537
IMD_L1_100_L2_10_dropout_0.2_testPeriod_1938_1948,1938,1947,100,10,linear,0.2,0.001,0.15660958240056178,0.41033659063259986
IMD_L1_100_L2_20_dropout_0.2_testPeriod_1942_1952,1942,1951,100,20,relu,0.2,0.01,0.11984648364055384,0.41185559128538635
IMD_L1_100_L2_10_dropout_0.2_testPeriod_1962_1972,1962,1971,100,10,linear,0.2,0.001,0.18229857081584044,0.7619573815577906
IMD_L1_50_L2_5_dropout_0.2_testPeriod_1964_1974,1964,1973,50,5,linear,0.2,0.01,0.3126927618307668,0.5778646198759702
IMD_L1_100_L2_20_dropout_0.2_testPeriod_1966_1976,1966,1975,100,20,relu,0.2,0.01,0.18005216523840917,0.5070557155192651
IMD_L1_100_L2_20_dropout_0.2_testPeriod_1966_1976,1966,1975,100,20,linear,0.2,0.01,0.3986676690934312,0.43910386745808183
IMD_L1_100_L2_10_dropout_0.2_testPeriod_1966_1976,1966,1975,100,10,linear,0.2,0.001,0.18188111835392207,0.49069462689317955
IMD_L1_50_L2_5_dropout_0.2_testPeriod_1966_1976,1966,1975,50,5,linear,0.2,0.01,0.24069422566383014,0.39546940000384856
IMD_L1_100_L2_20_dropout_0.2_testPeriod_1968_1978,1968,1977,100,20,linear,0.2,0.01,0.3815391323606351,0.41297943146104477
IMD_L1_100_L2_20_dropout_0.2_testPeriod_1972_1982,1972,1981,100,20,linear,0.2,0.01,0.20771311366091227,0.5064470472760115
IMD_L1_100_L2_20_dropout_0.2_testPeriod_1974_1984,1974,1983,100,20,relu,0.2,0.01,0.17719872396204706,0.41881403624189967
IMD_L1_100_L2_20_dropout_0.0_testPeriod_1980_1990,1980,1989,100,20,relu,0.0,0.05,0.06645919908099263,0.3406031412198414
IMD_L1_100_L2_20_dropout_0.2_testPeriod_1982_1992,1982,1991,100,20,relu,0.2,0.01,0.32871756388781326,0.33464621607220957
