year,OverGunnarsfjorden,Farewell_Lake,Over_Gunnarsfjorden,Lomonosovfonna,Holsteinsborg_Dyb,SO90_39KG,CaribbeanSea,Lake_C2,DeBilt_summer,NorthGRIP,Grimsey,MD95_2011,CampCentury,Hani,GeoB95015,Yamal,DeBilt_winter,Teletskoe_Lake,Crete,MD99-2275_45,Braya_So,Lake_Anterne,KuroshioExtension,Clear_Pond,Albania,Western_Himalaya,Forfjorddalen,Lake_Korttajarv,Lower_Murray_Lake,Hells_Kitchen_Lake,Donard_Lake,Gulf_of_Alaska,AkademiiNauk,GISP2_d18O,Khibiny,East_China,Feni_Drift,Gulf_of_Taranto,SouthernAltai,Dye_3,SG95,Tibet,Gahai_Lake,ODP_Hole_1202B,Agassiz,Polar_Urals,Tornetrask,Tien_Shan,Conroy_Lake,Iceberg_Lake,Indigirka,Haukadalsvatn,Pigmy_Basin,MD99-2275,Lake_Pieni-Kauro,ColumbiaIceField,CentralEurope,Kongressvatnet,Moose_Lake,SouthernSierraNevada,B18,Dunde,Blue_Lake,LoneSprucePond,Screaming_Lynx_Lake,GeoB6008_1,Qamdo,Qigai_Nuur,Lake_of_the_Clouds,Alps,NorthernSpain,Avam_Taimyr,RAPiD213K,Prince_of_Wales,Lake_Lehmilampi,Lake_Redon,Sol_Dav,Chesapeake_Bay,Yakushima_Island,Finnish_Lapland,MSM05_5_712_1,Hallet_Lake,BorealPlateau,Sugan_Lake,FM3,Renland,Guliya,UpperWrightLakes,North_Pacific_Gyre,NorwegianSea,Spannagel_Cave,GreatBasin,Iceland,Caribbean_Sea,CariacoBasin,Pescadero_Basin,GISP2,Big_Round_Lake,Jones_Lake,Cariaco_Basin,ShiHua_Cave,North_Iceland_Shelf_SUM,Vallee_des_Merveilles,North_Iceland_Shelf_WIN,GRIP,Indo_Pacific_Warm_Pool,NINO4_region,Coast_of_Porto,Yangtze_Delta,Devon_Ice_Cap,RAPiD-35-25B,NorthernScandinavia,Basin_Pond,Buddha_Cave,Lake_Neuchatel,Karakorum_Mts,Jamtland,Bermuda_Rise,Lake_Nautajarvi,Southern_Colorado_Plateau,Laanila,Penido_Vello,Karakorum_Mountains,PennyIceCap,Nadas_Lake,IndonesianThroughflow,EasternCarpathians,ColombiaIcefield_Win
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
