# Thamban.Coastal_DML.2012
#-----------------------------------------------------------------------            
#                World Data Service for Paleoclimatology, Boulder            
#                                  and            
#                     NOAA Paleoclimatology Program            
#             National Centers for Environmental Information (NCEI)            
#-----------------------------------------------------------------------            
# Template Version 3.0            
# Encoding: UTF-8            
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.             
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Ant-CoastalDML.Thamban.2012.txt
#     Online_Resource_Description:  This file.  NOAA WDS Paleo formatted metadata and data for version 2.0.0 of this dataset.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Ant-CoastalDML.Thamban.2012.lpd
#     Online_Resource_Description:  Linked Paleo Data (LiPD) formatted file containing the same metadata and data as this file, for version 2.0.0 of this dataset.
#
# Original_Source_URL: this study
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: glacier ice
# Parameter_Keywords: 
# Dataset_DOI: 
#
#------------------
# Contribution_Date
#     Date: 
#------------------
# File_Last_Modified_Date
#     Modified_Date: 2017-05-19
#------------------
# Title
#     Study_Name: Thamban.Coastal_DML.2012
#------------------
# Investigators
#     Investigators: Thamban, Meloth;Naik, Sushant S.;Laluraj, C. M.;Chaturvedi, Arun;Ravindra, Rasik
#------------------
# Description_Notes_and_Keywords
#     Description: 
#------------------
# Publication
#     Authors: Thamban, Meloth;Naik, Sushant S.;Laluraj, C. M.;Chaturvedi, Arun;Ravindra, Rasik
#     Published_Date_or_Year: 2012
#     Published_Title: Antarctic climate variability during the past few centuries based on ice core records from coastal Dronning Maud Land and its implications on the recent warming
#     Journal_Name: Society of Earth Scientists Series
#     Volume: 6
#     Edition: 
#     Issue: 5
#     Pages: 51-66
#     Report: 
#     DOI: 10.1007/978-3-642-28845-6_5
#     Online_Resource: doi.org
#     Full_Citation: 
#     Abstract: 
#------------------
# Funding_Agency
#     Funding_Agency_Name: 
#     Grant: 
#------------------
# Site_Information
#     Site_Name: Coastal DML
#     Location: 
#     Country: 
#     Northernmost_Latitude: -70.86
#     Southernmost_Latitude: -70.86
#     Easternmost_Longitude: 11.54
#     Westernmost_Longitude: 11.54
#     Elevation: 500
#------------------
# Data_Collection
#     Collection_Name: 
#     Earliest_Year: 1533.0
#     Most_Recent_Year: 1994.0
#     Time_Unit: AD
#     Core_Length: 
#     Notes: 
#------------------
# Species
#     Species_Name: 
#     Species_Code: 
#     Common_Name: 
#------------------
# Chronology:        

#------------------
# Variables        
#
# Data variables follow that are preceded by "##" in columns one and two.        
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components ( 10 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data, additional_information)
#
##year	Year AD, ,,AD, , glacier ice, ,,N,   
##d18O	,oxygen isotope ratio of O16:O18 in H2O from melted ice compared to standard mean ocean water, ,permil, 1 2 3 4 5 6 7 8 9 10 11 12, glacier ice, deviation of oxygen isotope ratio 18O:16O in H2O sample compared to standard mean ocean water (V-SMOW), mass spectrometer, N,  ; climateInterpretation_seasonality changed - was originally Mean annual values; archiveType changed - was originally ice core;  
#
#------------------
# Data:        
# Data lines follow (have no #)        
# Data line format - tab-delimited text, variable short name as header)        
# Missing_Values: nan
#
year           d18O	
1994.0	-25.06943897	
1993.0	-25.2054	
1992.0	-24.6096	
1991.0	-24.0049	
1990.0	-23.4002	
1989.0	-23.2743	
1988.0	-23.6629	
1987.0	-24.0515	
1986.0	-24.4401	
1985.0	-24.6471	
1984.0	-24.8499	
1983.0	-25.0527	
1982.0	-25.1823	
1981.0	-25.2296	
1980.0	-25.277	
1979.0	-25.3243	
1978.0	-25.2935	
1977.0	-25.2599	
1976.0	-25.2262	
1975.0	-25.2507	
1974.0	-25.3437	
1973.0	-25.4366	
1972.0	-25.5296	
1971.0	-25.2801	
1970.0	-25.0137	
1969.0	-24.7473	
1968.0	-24.6479	
1967.0	-24.7549	
1966.0	-24.862	
1965.0	-24.969	
1964.0	-24.3363	
1963.0	-23.6752	
1962.0	-23.5935	
1961.0	-23.7176	
1960.0	-22.9334	
1959.0	-22.5306	
1958.0	-22.4951	
1957.0	-22.4323	
1956.0	-22.3469	
1955.0	-22.7162	
1954.0	-24.043	
1953.0	-25.2328	
1952.0	-25.1488	
1951.0	-25.0647	
1950.0	-25.1356	
1949.0	-25.2291	
1948.0	-25.2483	
1947.0	-25.2272	
1946.0	-25.3832	
1945.0	-25.781	
1944.0	-26.1686	
1943.0	-26.5148	
1942.0	-26.861	
1941.0	-27.0521	
1940.0	-27.2391	
1939.0	-27.2352	
1938.0	-27.1673	
1937.0	-26.8967	
1936.0	-26.4418	
1935.0	-26.0473	
1934.0	-25.794	
1933.0	-25.5407	
1932.0	-25.2874	
1931.0	-28.3689	
1930.0	-28.137	
1929.0	-27.5816	
1928.0	-26.4656	
1927.0	-25.4449	
1926.0	-23.4492	
1925.0	-22.3709	
1924.0	-22.6451	
1923.0	-23.4172	
1922.0	-23.6139	
1921.0	-23.5795	
1920.0	-23.6393	
1919.0	-23.699	
1918.0	-24.1953	
1917.0	-24.6987	
1916.0	-24.5315	
1915.0	-24.1514	
1914.0	-23.7713	
1913.0	-23.6676	
1912.0	-23.6451	
1911.0	-23.6457	
1910.0	-23.7051	
1909.0	-23.934	
1908.0	-24.4037	
1907.0	-24.8734	
1906.0	-24.7131	
1905.0	-24.4772	
1904.0	-23.8508	
1903.0	-23.3327	
1902.0	-23.2881	
1901.0	-23.5544	
1900.0	-24.013	
1899.0	-24.4717	
1898.0	-24.3239	
1897.0	-24.0493	
1896.0	-24.1554	
1895.0	-24.2779	
1894.0	-24.6661	
1893.0	-25.3565	
1892.0	-26.1597	
1891.0	-27.6071	
1890.0	-29.0546	
1889.0	-27.5208	
1888.0	-25.8948	
1887.0	-25.7159	
1886.0	-25.9192	
1885.0	-26.0553	
1884.0	-25.2544	
1883.0	-24.4535	
1882.0	-24.8201	
1881.0	-25.401	
1880.0	-26.1757	
1879.0	-26.891	
1878.0	-26.8641	
1877.0	-25.3698	
1876.0	-25.1991	
1875.0	-25.4038	
1874.0	-25.6084	
1873.0	-25.813	
1872.0	-26.3124	
1871.0	-27.0669	
1870.0	-27.2351	
1869.0	-26.3474	
1868.0	-25.4598	
1867.0	-24.4336	
1866.0	-23.3271	
1865.0	-23.2149	
1864.0	-24.2984	
1863.0	-24.4013	
1862.0	-24.388	
1861.0	-25.2879	
1860.0	-26.0981	
1859.0	-26.8351	
1858.0	-26.3249	
1857.0	-25.7003	
1856.0	-25.2473	
1855.0	-24.8556	
1854.0	-24.4744	
1853.0	-24.8869	
1852.0	-25.2995	
1851.0	-24.7935	
1850.0	-24.1047	
