# Plummer.DSS.2012
#-----------------------------------------------------------------------            
#                World Data Service for Paleoclimatology, Boulder            
#                                  and            
#                     NOAA Paleoclimatology Program            
#             National Centers for Environmental Information (NCEI)            
#-----------------------------------------------------------------------            
# Template Version 3.0            
# Encoding: UTF-8            
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.             
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Ant-DSS.Moy.2012.txt
#     Online_Resource_Description:  This file.  NOAA WDS Paleo formatted metadata and data for version 2.0.0 of this dataset.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Ant-DSS.Moy.2012.lpd
#     Online_Resource_Description:  Linked Paleo Data (LiPD) formatted file containing the same metadata and data as this file, for version 2.0.0 of this dataset.
#
# Original_Source_URL: https://data.aad.gov.au/metadata/records/LD2012-d18O-Native-age
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: glacier ice
# Parameter_Keywords: 
# Dataset_DOI: 
#
#------------------
# Contribution_Date
#     Date: 
#------------------
# File_Last_Modified_Date
#     Modified_Date: 2017-05-19
#------------------
# Title
#     Study_Name: Plummer.DSS.2012
#------------------
# Investigators
#     Investigators: Plummer, C. T.;Curran, M. A. J.;van Ommen, T D.;Rasmussen, S. O.;Moy, A. D.;Vance, T. R.;Clausen, H. B.;Vinther, B. M.;Mayewski, P. A.
#------------------
# Description_Notes_and_Keywords
#     Description: 
#------------------
# Publication
#     Authors: Plummer, C. T.;Curran, M. A. J.;van Ommen, T D.;Rasmussen, S. O.;Moy, A. D.;Vance, T. R.;Clausen, H. B.;Vinther, B. M.;Mayewski, P. A.
#     Published_Date_or_Year: 2012
#     Published_Title: An independently dated 2000-yr volcanic record from Law Dome, East Antarctica, including a new perspective on the dating of the 1450s CE eruption of Kuwae, Vanuatu
#     Journal_Name: Climate of the Past
#     Volume: 8
#     Edition: 
#     Issue: 
#     Pages: 1929-1940
#     Report: 
#     DOI: 10.5194/cp-8-1929-2012
#     Online_Resource: doi.org
#     Full_Citation: 
#     Abstract: 
#------------------
# Funding_Agency
#     Funding_Agency_Name: 
#     Grant: 
#------------------
# Site_Information
#     Site_Name: DSS
#     Location: 
#     Country: 
#     Northernmost_Latitude: -66.77
#     Southernmost_Latitude: -66.77
#     Easternmost_Longitude: 112.807
#     Westernmost_Longitude: 112.807
#     Elevation: 1370
#------------------
# Data_Collection
#     Collection_Name: 
#     Earliest_Year: 173.0
#     Most_Recent_Year: 1995.0
#     Time_Unit: AD
#     Core_Length: 
#     Notes: 
#------------------
# Species
#     Species_Name: 
#     Species_Code: 
#     Common_Name: 
#------------------
# Chronology:        

#------------------
# Variables        
#
# Data variables follow that are preceded by "##" in columns one and two.        
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components ( 10 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data, additional_information)
#
##year	Year AD, ,,AD, , glacier ice, ,,N,   
##d18O	,oxygen isotope ratio of O16:O18 in H2O from melted ice compared to standard mean ocean water, ,permil, 1 2 3 4 5 6 7 8 9 10 11 12, glacier ice, deviation of oxygen isotope ratio 18O:16O in H2O sample compared to standard mean ocean water (V-SMOW), mass spectrometer, N,  ; climateInterpretation_seasonality changed - was originally Mean annual values; archiveType changed - was originally ice core;  
#
#------------------
# Data:        
# Data lines follow (have no #)        
# Data line format - tab-delimited text, variable short name as header)        
# Missing_Values: nan
#
year           d18O	
1995.0	-21.55998657	
1994.0	-22.8213	
1993.0	-23.256	
1992.0	-21.6846	
1991.0	-22.2671	
1990.0	-23.2596	
1989.0	-22.0303	
1988.0	-21.4405	
1987.0	-23.1244	
1986.0	-23.1415	
1985.0	-22.7624	
1984.0	-21.0634	
1983.0	-21.8824	
1982.0	-21.8581	
1981.0	-21.5915	
1980.0	-22.0825	
1979.0	-22.6951	
1978.0	-23.0347	
1977.0	-21.2044	
1976.0	-22.7876	
1975.0	-20.6479	
1974.0	-21.5058	
1973.0	-23.3331	
1972.0	-22.0923	
1971.0	-21.9223	
1970.0	-22.6167	
1969.0	-22.9148	
1968.0	-22.5017	
1967.0	-22.0465	
1966.0	-23.9	
1965.0	-22.2701	
1964.0	-22.221	
1963.0	-22.1518	
1962.0	-22.592	
1961.0	-22.7673	
1960.0	-22.9944	
1959.0	-23.1659	
1958.0	-21.5289	
1957.0	-23.0646	
1956.0	-21.8099	
1955.0	-22.309	
1954.0	-21.9265	
1953.0	-21.5128	
1952.0	-22.9906	
1951.0	-22.1041	
1950.0	-21.3597	
1949.0	-22.252	
1948.0	-21.8949	
1947.0	-22.6933	
1946.0	-23.2407	
1945.0	-22.8317	
1944.0	-22.7046	
1943.0	-22.0262	
1942.0	-21.6228	
1941.0	-22.3035	
1940.0	-22.9746	
1939.0	-21.7469	
1938.0	-23.1844	
1937.0	-21.946	
1936.0	-23.3035	
1935.0	-22.5538	
1934.0	-23.0833	
1933.0	-22.5867	
1932.0	-21.6193	
1931.0	-21.1342	
1930.0	-22.4982	
1929.0	-22.5082	
1928.0	-21.5651	
1927.0	-22.8367	
1926.0	-22.2605	
1925.0	-22.8908	
1924.0	-22.6067	
1923.0	-22.2861	
1922.0	-22.2194	
1921.0	-23.0225	
1920.0	-22.5877	
1919.0	-21.8157	
1918.0	-22.2586	
1917.0	-21.079	
1916.0	-23.1988	
1915.0	-21.5641	
1914.0	-22.5154	
1913.0	-22.4841	
1912.0	-22.3485	
1911.0	-22.2058	
1910.0	-22.2982	
1909.0	-21.782	
1908.0	-22.4768	
1907.0	-22.1144	
1906.0	-22.4874	
1905.0	-21.9123	
1904.0	-23.4252	
1903.0	-22.842	
1902.0	-21.1678	
1901.0	-22.55	
1900.0	-21.4715	
1899.0	-22.1229	
1898.0	-20.6451	
1897.0	-22.9053	
1896.0	-23.2721	
1895.0	-21.895	
1894.0	-21.1925	
1893.0	-21.768	
1892.0	-23.0523	
1891.0	-22.2806	
1890.0	-23.2764	
1889.0	-22.8712	
1888.0	-22.7319	
1887.0	-23.0483	
1886.0	-22.4451	
1885.0	-21.9785	
1884.0	-21.5824	
1883.0	-23.8538	
1882.0	-22.153	
1881.0	-23.7111	
1880.0	-21.6596	
1879.0	-21.8918	
1878.0	-22.2973	
1877.0	-23.2624	
1876.0	-22.2756	
1875.0	-23.4602	
1874.0	-22.8618	
1873.0	-23.2182	
1872.0	-23.6717	
1871.0	-21.1403	
1870.0	-22.0641	
1869.0	-22.8523	
1868.0	-21.7032	
1867.0	-22.186	
1866.0	-21.4544	
1865.0	-23.916	
1864.0	-22.4108	
1863.0	-22.2642	
1862.0	-22.6739	
1861.0	-20.652	
1860.0	-22.7527	
1859.0	-21.5226	
1858.0	-21.9672	
1857.0	-22.0636	
1856.0	-22.1562	
1855.0	-22.5706	
1854.0	-21.8733	
1853.0	-22.2118	
1852.0	-22.0688	
1851.0	-21.0122	
1850.0	-22.9017	
1849.0	-21.9661	
1848.0	-20.6483	
1847.0	-21.1923	
1846.0	-22.3591	
1845.0	-22.3536	
1844.0	-21.0635	
1843.0	-21.3967	
1842.0	-23.16	
