# Thomas.Ferrigno.2013
#-----------------------------------------------------------------------            
#                World Data Service for Paleoclimatology, Boulder            
#                                  and            
#                     NOAA Paleoclimatology Program            
#             National Centers for Environmental Information (NCEI)            
#-----------------------------------------------------------------------            
# Template Version 3.0            
# Encoding: UTF-8            
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.             
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Ant-Ferrigno.Thomas.2013.txt
#     Online_Resource_Description:  This file.  NOAA WDS Paleo formatted metadata and data for version 2.0.0 of this dataset.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Ant-Ferrigno.Thomas.2013.lpd
#     Online_Resource_Description:  Linked Paleo Data (LiPD) formatted file containing the same metadata and data as this file, for version 2.0.0 of this dataset.
#
# Original_Source_URL: this study
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: glacier ice
# Parameter_Keywords: 
# Dataset_DOI: 
#
#------------------
# Contribution_Date
#     Date: 
#------------------
# File_Last_Modified_Date
#     Modified_Date: 2017-05-19
#------------------
# Title
#     Study_Name: Thomas.Ferrigno.2013
#------------------
# Investigators
#     Investigators: Thomas, Elizabeth R.;Bracegirdle, Thomas J.;Turner, John;Wolff, Eric W.
#------------------
# Description_Notes_and_Keywords
#     Description: 
#------------------
# Publication
#     Authors: Thomas, Elizabeth R.;Bracegirdle, Thomas J.;Turner, John;Wolff, Eric W.
#     Published_Date_or_Year: 2013
#     Published_Title: A 308 year record of climate variability in West Antarctica
#     Journal_Name: Geophysical Research Letters
#     Volume: 40
#     Edition: 
#     Issue: 
#     Pages: 5492-5496
#     Report: 
#     DOI: 10.1002/2013GL057782
#     Online_Resource: doi.org
#     Full_Citation: 
#     Abstract: 
#------------------
# Funding_Agency
#     Funding_Agency_Name: 
#     Grant: 
#------------------
# Site_Information
#     Site_Name: Ferrigno
#     Location: 
#     Country: 
#     Northernmost_Latitude: -74.57
#     Southernmost_Latitude: -74.57
#     Easternmost_Longitude: -86.9
#     Westernmost_Longitude: -86.9
#     Elevation: 1354
#------------------
# Data_Collection
#     Collection_Name: 
#     Earliest_Year: 1703.0
#     Most_Recent_Year: 2010.0
#     Time_Unit: AD
#     Core_Length: 
#     Notes: 
#------------------
# Species
#     Species_Name: 
#     Species_Code: 
#     Common_Name: 
#------------------
# Chronology:        

#------------------
# Variables        
#
# Data variables follow that are preceded by "##" in columns one and two.        
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components ( 10 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data, additional_information)
#
##year	Year AD, ,,AD, , glacier ice, ,,N,   
##dD	,,,permil, 1 2 3 4 5 6 7 8 9 10 11 12, glacier ice, deviation of deuterium isotope ratio 2H:1H in H2O sample compared to standard mean ocean water (V-SMOW), Los Gatos (LWIA-24d) Liquid Water Isotope Analyzer at 5 cm resolution; corresponding to ~14 samples per year., N,  ; climateInterpretation_seasonality changed - was originally Mean annual values; archiveType changed - was originally ice core;  
#
#------------------
# Data:        
# Data lines follow (have no #)        
# Data line format - tab-delimited text, variable short name as header)        
# Missing_Values: nan
#
year           dD	
2010.0	-195.703683235294	
2009.0	-200.432054714286	
2008.0	-213.156689	
2007.0	-193.655285444444	
2006.0	-195.76074375	
2005.0	-185.357745875	
2004.0	-196.745775	
2003.0	-207.591462	
2002.0	-190.066646111111	
2001.0	-180.274976833333	
2000.0	-194.826544727273	
1999.0	-204.9464115	
1998.0	-202.648178307692	
1997.0	-192.579298666667	
1996.0	-207.306769428571	
1995.0	-195.62290375	
1994.0	-204.6583538	
1993.0	-198.400022	
1992.0	-207.4922295	
1991.0	-206.2730456	
1990.0	-196.3250855	
1989.0	-206.399267875	
1988.0	-183.73315475	
1987.0	-196.481656428571	
1986.0	-208.1689408	
1985.0	-207.1797925	
1984.0	-195.8601694	
1983.0	-187.435035	
1982.0	-200.604092	
1981.0	-204.2540255	
1980.0	-199.6712415	
1979.0	-214.5360714	
1978.0	-209.345719	
1977.0	-197.673659833333	
1976.0	-202.4881306	
1975.0	-197.126695857143	
1974.0	-193.067566	
1973.0	-199.260341333333	
1972.0	-212.18255625	
1971.0	-217.731549375	
1970.0	-198.0612335	
1969.0	-213.635023	
1968.0	-212.5905	
1967.0	-215.053143833333	
1966.0	-205.945041666667	
1965.0	-196.088733	
1964.0	-200.679968166667	
1963.0	-216.217116	
1962.0	-207.175733	
1961.0	-206.710841	
1960.0	-200.592000833333	
1959.0	-212.361782666667	
1958.0	-220.7354112	
1957.0	-204.034777166667	
1956.0	-223.8119005	
1955.0	-205.354552833333	
1954.0	-201.9606963	
1953.0	-207.8750333	
1952.0	-205.481736	
1951.0	-206.1080466	
1950.0	-198.767033	
1949.0	-196.663854777778	
1948.0	-199.090668833333	
1947.0	-223.800799666667	
1946.0	-217.702862909091	
1945.0	-181.471037727273	
1944.0	-212.126273909091	
1943.0	-196.8970795	
1942.0	-205.7403289	
1941.0	-214.383207625	
1940.0	-196.089444909091	
1939.0	-209.283789333333	
1938.0	-205.404147818182	
1937.0	-212.3069064	
1936.0	-207.250283857143	
1935.0	-210.210196615385	
1934.0	-226.912274222222	
1933.0	-197.828474166667	
1932.0	-201.636481	
1931.0	-200.9631848	
1930.0	-200.454750857143	
1929.0	-221.008055142857	
1928.0	-214.917735166667	
1927.0	-213.383915	
1926.0	-211.573551428571	
1925.0	-195.903257888889	
1924.0	-209.456439272727	
1923.0	-203.743861	
1922.0	-206.298899142857	
1921.0	-201.055456909091	
1920.0	-198.9822263	
1919.0	-203.670299	
1918.0	-209.221618666667	
1917.0	-198.784499375	
1916.0	-209.031302857143	
1915.0	-197.594333333333	
1914.0	-201.607147125	
1913.0	-212.094311666667	
1912.0	-214.722436285714	
1911.0	-218.0175906	
1910.0	-225.541112857143	
1909.0	-231.054709333333	
1908.0	-197.926941888889	
1907.0	-199.960816444444	
1906.0	-204.7033545	
1905.0	-199.276156375	
1904.0	-181.136879333333	
1903.0	-187.174584571429	
1902.0	-210.758151	
1901.0	-198.67986675	
1900.0	-210.914913625	
1899.0	-201.515713857143	
1898.0	-204.408619166667	
1897.0	-212.799208	
1896.0	-198.1427995	
1895.0	-206.7400178	
1894.0	-212.517742555556	
1893.0	-193.0562255	
1892.0	-195.835419625	
1891.0	-192.301726111111	
1890.0	-196.132906888889	
1889.0	-205.7306205	
1888.0	-201.209997222222	
1887.0	-207.363616625	
1886.0	-178.847249333333	
1885.0	-211.594797285714	
1884.0	-203.59016875	
1883.0	-210.8409285	
1882.0	-214.73574675	
1881.0	-196.914044875	
1880.0	-193.429641888889	
1879.0	-214.383372875	
1878.0	-186.4451565	
1877.0	-191.5188457	
1876.0	-199.195103	
1875.0	-194.140441428571	
1874.0	-182.499174222222	
1873.0	-207.658778555556	
1872.0	-209.910051142857	
1871.0	-190.363632625	
1870.0	-212.994678875	
1869.0	-211.839832333333	
1868.0	-200.821047125	
1867.0	-195.496974714286	
1866.0	-194.621651625	
1865.0	-195.163881428571	
1864.0	-210.400756375	
1863.0	-210.070164714286	
1862.0	-194.9462984	
1861.0	-213.5121292	
1860.0	-205.09514	
1859.0	-216.2821015	
1858.0	-207.527366428571	
1857.0	-207.376298166667	
1856.0	-209.6375455	
1855.0	-205.0220934	
1854.0	-196.5953734	
1853.0	-211.266216714286	
1852.0	-196.714938	
1851.0	-222.096558166667	
