# Abram.James_Ross_Island.2013
#-----------------------------------------------------------------------            
#                World Data Service for Paleoclimatology, Boulder            
#                                  and            
#                     NOAA Paleoclimatology Program            
#             National Centers for Environmental Information (NCEI)            
#-----------------------------------------------------------------------            
# Template Version 3.0            
# Encoding: UTF-8            
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.             
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Ant-JamesRossIsland.Mulvaney.2013.txt
#     Online_Resource_Description:  This file.  NOAA WDS Paleo formatted metadata and data for version 2.0.0 of this dataset.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Ant-JamesRossIsland.Mulvaney.2013.lpd
#     Online_Resource_Description:  Linked Paleo Data (LiPD) formatted file containing the same metadata and data as this file, for version 2.0.0 of this dataset.
#
# Original_Source_URL: this study
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: glacier ice
# Parameter_Keywords: 
# Dataset_DOI: 
#
#------------------
# Contribution_Date
#     Date: 
#------------------
# File_Last_Modified_Date
#     Modified_Date: 2017-05-19
#------------------
# Title
#     Study_Name: Abram.James_Ross_Island.2013
#------------------
# Investigators
#     Investigators: Abram, Nerilie J.;Mulvaney, Robert;Wolff, Eric W.;Triest, Jack;Kipfstuhl, Sepp;Trusel, Luke D.;Vimeux, Françoise;Fleet, Louise;Arrowsmith, Carol
#------------------
# Description_Notes_and_Keywords
#     Description: Data for past 1000 years from https://www.ncdc.noaa.gov/paleo/study/14201; data for first millennium CE from https://www.ncdc.noaa.gov/paleo/study/13954 (centennial resolution) plus this study (annual resolution). JRI ice core also has a melt-layer record covering 1000 - 2007 CE http://www.ncdc.noaa.gov/paleo/study/14201
#------------------
# Publication
#     Authors: Abram, Nerilie J.;Mulvaney, Robert;Wolff, Eric W.;Triest, Jack;Kipfstuhl, Sepp;Trusel, Luke D.;Vimeux, Françoise;Fleet, Louise;Arrowsmith, Carol
#     Published_Date_or_Year: 2013
#     Published_Title: Acceleration of snow melt in an Antarctic Peninsula ice core during the twentieth century
#     Journal_Name: Nature Geoscience
#     Volume: 6
#     Edition: 
#     Issue: 
#     Pages: 404-411
#     Report: 
#     DOI: 10.1038/ngeo1787
#     Online_Resource: doi.org
#     Full_Citation: 
#     Abstract: 
#------------------
# Publication
#     Authors: Mulvaney, Robert;Abram, Nerilie J.;Hindmarsh, Richard C. A.;Arrowsmith, Carol;Fleet, Louise;Triest, Jack;Sime, Louise C.;Alemany, Olivier;Foord, Susan
#     Published_Date_or_Year: 2012
#     Published_Title: Recent Antarctic Peninsula warming relative to Holocene climate and ice-shelf history
#     Journal_Name: Nature
#     Volume: 489
#     Edition: 
#     Issue: 
#     Pages: 141-144
#     Report: 
#     DOI: 10.1038/nature11391
#     Online_Resource: doi.org
#     Full_Citation: 
#     Abstract: 
#------------------
# Funding_Agency
#     Funding_Agency_Name: 
#     Grant: 
#------------------
# Site_Information
#     Site_Name: James Ross Island
#     Location: 
#     Country: 
#     Northernmost_Latitude: -64.2017
#     Southernmost_Latitude: -64.2017
#     Easternmost_Longitude: -57.685
#     Westernmost_Longitude: -57.685
#     Elevation: 1542
#------------------
# Data_Collection
#     Collection_Name: 
#     Earliest_Year: 
#     Most_Recent_Year: 2007.0
#     Time_Unit: AD
#     Core_Length: 
#     Notes: 
#------------------
# Species
#     Species_Name: 
#     Species_Code: 
#     Common_Name: 
#------------------
# Chronology:        

#------------------
# Variables        
#
# Data variables follow that are preceded by "##" in columns one and two.        
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components ( 10 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data, additional_information)
#
##year	Year AD, ,,AD, , glacier ice, ,,N,   
##dD	,,,permil, 1 2 3 4 5 6 7 8 9 10 11 12, glacier ice, deviation of deuterium isotope ratio 2H:1H in H2O sample compared to standard mean ocean water (V-SMOW), ,N,  ; climateInterpretation_seasonality changed - was originally Mean annual values; archiveType changed - was originally ice core;  
#
#------------------
# Data:        
# Data lines follow (have no #)        
# Data line format - tab-delimited text, variable short name as header)        
# Missing_Values: nan
#
year           dD	
2007.0	-159.865625	
2006.0	-135.4879	
2005.0	-147.5209	
2004.0	-144.8555	
2003.0	-148.6982	
2002.0	-153.0802	
2001.0	-135.9841	
2000.0	-142.4262	
1999.0	-137.4388	
1998.0	-142.4478	
1997.0	-144.9565	
1996.0	-144.0399	
1995.0	-140.2485	
1994.0	-137.3352	
1993.0	-142.366	
1992.0	-141.5394	
1991.0	-142.8111	
1990.0	-155.8586	
1989.0	-126.6913	
1988.0	-153.5852	
1987.0	-147.43	
1986.0	-162.8816	
1985.0	-137.9976	
1984.0	-148.1801	
1983.0	-141.727	
1982.0	-151.2444	
1981.0	-142.9228	
1980.0	-161.9697	
1979.0	-149.5757	
1978.0	-145.498	
1977.0	-151.253	
1976.0	-133.0807	
1975.0	-154.684	
1974.0	-143.2311	
1973.0	-134.4717	
1972.0	-151.4425	
1971.0	-141.2	
1970.0	-156.6039	
1969.0	-143.7436	
1968.0	-161.3457	
1967.0	-153.0764	
1966.0	-147.135	
1965.0	-153.0629	
1964.0	-151.2236	
1963.0	-147.31	
1962.0	-151.4993	
1961.0	-149.325	
1960.0	-156.1825	
1959.0	-154.5683	
1958.0	-159.5788	
1957.0	-148.3592	
1956.0	-141.1367	
1955.0	-140.8467	
1954.0	-140.0556	
1953.0	-155.1381	
1952.0	-143.3481	
1951.0	-161.3933	
1950.0	-134.6871	
1949.0	-158.9529	
1948.0	-164.7621	
1947.0	-161.8667	
1946.0	-146.989	
1945.0	-152.4457	
1944.0	-152.7029	
1943.0	-146.215	
1942.0	-137.818	
1941.0	-155.5737	
1940.0	-163.5863	
1939.0	-158.7033	
1938.0	-160.011	
1937.0	-151.483	
1936.0	-140.9779	
1935.0	-132.0567	
1934.0	-146.1558	
1933.0	-145.525	
1932.0	-157.2007	
1931.0	-150.8892	
1930.0	-150.86	
1929.0	-163.2675	
1928.0	-145.41	
1927.0	-164.538	
1926.0	-162.5958	
1925.0	-158.6258	
1924.0	-146.0271	
1923.0	-154.8633	
1922.0	-161.438	
1921.0	-147.93	
1920.0	-152.104	
1919.0	-153.2775	
1918.0	-154.015	
1917.0	-157.955	
1916.0	-149.3707	
1915.0	-144.45	
1914.0	-152.09	
1913.0	-142.692	
1912.0	-157.074	
1911.0	-159.6483	
1910.0	-147.4208	
1909.0	-141.378	
1908.0	-147.6567	
1907.0	-152.618	
1906.0	-156.485	
1905.0	-154.611	
1904.0	-142.052	
1903.0	-154.3192	
1902.0	-138.866	
1901.0	-162.444	
1900.0	-154.4663	
1899.0	-164.7038	
1898.0	-145.2312	
1897.0	-141.25	
1896.0	-155.73	
1895.0	-150.76	
1894.0	-148.1887	
1893.0	-134.618	
1892.0	-144.452	
1891.0	-136.794	
1890.0	-135.213	
1889.0	-138.52	
1888.0	-140.711	
1887.0	-144.842	
1886.0	-147.145	
1885.0	-145.06	
1884.0	-148.595	
1883.0	-153.254	
1882.0	-154.345	
1881.0	-160.0575	
1880.0	-141.112	
1879.0	-151.56	
1878.0	-158.19	
1877.0	-157.2475	
1876.0	-145.28	
1875.0	-144.608	
1874.0	-143.008	
1873.0	-164.512	
1872.0	-137.828	
1871.0	-158.51	
1870.0	-145.226	
1869.0	-139.1617	
1868.0	-147.616	
1867.0	-162.092	
1866.0	-156.045	
1865.0	-157.625	
1864.0	-154.2085	
1863.0	-150.792	
1862.0	-145.76	
1861.0	-136.5617	
1860.0	-146.806	
1859.0	-146.286	
1858.0	-154.936	
1857.0	-143.16	
1856.0	-145.732	
1855.0	-133.122	
1854.0	-145.0325	
1853.0	-155.5875	
1852.0	-149.23	
1851.0	-144.86	
1850.0	-151.4125	
1849.0	-150.2167	
1848.0	-153.642	
1847.0	-149.0225	
1846.0	-155.218	
1845.0	-161.356	
1844.0	-166.4525	
1843.0	-145.4588	
1842.0	-161.63	
1841.0	-132.2025	
1840.0	-148.2467	
1839.0	-152.794	
1838.0	-149.4112	
1837.0	-136.7	
1836.0	-139.8638	
1835.0	-144.0188	
1834.0	-149.88	
1833.0	-144.8487	
1832.0	-145.2156	
1831.0	-156.118	
1830.0	-137.194	
1829.0	-145.7858	
1828.0	-148.7797	
1827.0	-160.775	
1826.0	-152.725	
1825.0	-148.3925	
1824.0	-145.9025	
1823.0	-155.41	
1822.0	-145.1	
1821.0	-148.43	
1820.0	-134.2175	
