# Mosley-ThompsonE.ANDThompsonL.ANDGrootesP.M..Siple_Station.1990
#-----------------------------------------------------------------------            
#                World Data Service for Paleoclimatology, Boulder            
#                                  and            
#                     NOAA Paleoclimatology Program            
#             National Centers for Environmental Information (NCEI)            
#-----------------------------------------------------------------------            
# Template Version 3.0            
# Encoding: UTF-8            
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.             
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Ant-SipleStation.Mosley-Thompson.1990.txt
#     Online_Resource_Description:  This file.  NOAA WDS Paleo formatted metadata and data for version 2.0.0 of this dataset.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Ant-SipleStation.Mosley-Thompson.1990.lpd
#     Online_Resource_Description:  Linked Paleo Data (LiPD) formatted file containing the same metadata and data as this file, for version 2.0.0 of this dataset.
#
# Original_Source_URL: this study
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: glacier ice
# Parameter_Keywords: 
# Dataset_DOI: 
#
#------------------
# Contribution_Date
#     Date: 
#------------------
# File_Last_Modified_Date
#     Modified_Date: 2017-05-19
#------------------
# Title
#     Study_Name: Mosley-ThompsonE.ANDThompsonL.ANDGrootesP.M..Siple_Station.1990
#------------------
# Investigators
#     Investigators: Mosley-Thompson E. AND Thompson L. AND Grootes P. M.;Gundestrup N.
#------------------
# Description_Notes_and_Keywords
#     Description: 
#------------------
# Publication
#     Authors: Mosley-Thompson E. AND Thompson L. AND Grootes P. M.;Gundestrup N.
#     Published_Date_or_Year: 1990
#     Published_Title:  Little Ice Age (Neoglacial) paleoenvironmental conditions at Siple Station, Antarctica
#     Journal_Name: Annals of Glaciology
#     Volume: 14
#     Edition: 
#     Issue: 
#     Pages: 199-204
#     Report: 
#     DOI: 
#     Online_Resource: doi.org
#     Full_Citation: 
#     Abstract: 
#------------------
# Funding_Agency
#     Funding_Agency_Name: 
#     Grant: 
#------------------
# Site_Information
#     Site_Name: Siple Station
#     Location: 
#     Country: 
#     Northernmost_Latitude: -75.92
#     Southernmost_Latitude: -75.92
#     Easternmost_Longitude: -84.25
#     Westernmost_Longitude: -84.25
#     Elevation: 1054
#------------------
# Data_Collection
#     Collection_Name: 
#     Earliest_Year: 1417.0
#     Most_Recent_Year: 1983.0
#     Time_Unit: AD
#     Core_Length: 
#     Notes: 
#------------------
# Species
#     Species_Name: 
#     Species_Code: 
#     Common_Name: 
#------------------
# Chronology:        

#------------------
# Variables        
#
# Data variables follow that are preceded by "##" in columns one and two.        
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components ( 10 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data, additional_information)
#
##year	Year AD, ,,AD, , glacier ice, ,,N,   
##d18O	,oxygen isotope ratio of O16:O18 in H2O from melted ice compared to standard mean ocean water, ,permil, 1 2 3 4 5 6 7 8 9 10 11 12, glacier ice, deviation of oxygen isotope ratio 18O:16O in H2O sample compared to standard mean ocean water (V-SMOW), mass spectrometer, N,  ; climateInterpretation_seasonality changed - was originally Mean annual values; archiveType changed - was originally ice core;  
#
#------------------
# Data:        
# Data lines follow (have no #)        
# Data line format - tab-delimited text, variable short name as header)        
# Missing_Values: nan
#
year           d18O	
1983.0	-29.661	
1982.0	-29.436	
1981.0	-28.767	
1980.0	-28.24	
1979.0	-30.006	
1978.0	-29.999	
1977.0	-30.657	
1976.0	-30.273	
1975.0	-28.786	
1974.0	-29.964	
1973.0	-28.837	
1972.0	-29.435	
1971.0	-29.383	
1970.0	-29.305	
1969.0	-30.063	
1968.0	-30.459	
1967.0	-29.477	
1966.0	-29.927	
1965.0	-30.84	
1964.0	-29.436	
1963.0	-30.327	
1962.0	-30.054	
1961.0	-29.281	
1960.0	-28.721	
1959.0	-29.823	
1958.0	-31.042	
1957.0	-30.701	
1956.0	-30.517	
1955.0	-31.234	
1954.0	-29.722	
1953.0	-28.887	
1952.0	-30.496	
1951.0	-30.661	
1950.0	-30.107	
1949.0	-28.702	
1948.0	-30.309	
1947.0	-30.737	
1946.0	-29.811	
1945.0	-28.186	
1944.0	-28.594	
1943.0	-31.507	
1942.0	-29.894	
1941.0	-28.934	
1940.0	-27.739	
1939.0	-28.298	
1938.0	-30.046	
1937.0	-30.117	
1936.0	-29.829	
1935.0	-29.492	
1934.0	-28.972	
1933.0	-29.389	
1932.0	-29.971	
1931.0	-29.58	
1930.0	-28.877	
1929.0	-31.073	
1928.0	-29.866	
1927.0	-30.364	
1926.0	-29.273	
1925.0	-29.405	
1924.0	-29.904	
1923.0	-29.06	
1922.0	-30.056	
1921.0	-28.423	
1920.0	-28.881	
1919.0	-31.078	
1918.0	-29.782	
1917.0	-29.949	
1916.0	-29.396	
1915.0	-30.289	
1914.0	-30.742	
1913.0	-28.801	
1912.0	-28.607	
1911.0	-29.593	
1910.0	-30.637	
1909.0	-28.721	
1908.0	-28.825	
1907.0	-30.339	
1906.0	-30.841	
1905.0	-31.486	
1904.0	-28.531	
1903.0	-29.034	
1902.0	-27.792	
1901.0	-28.741	
1900.0	-29.37	
1899.0	-30.606	
1898.0	-29.208	
1897.0	-29.937	
1896.0	-29.284	
1895.0	-30.866	
1894.0	-30.595	
1893.0	-29.676	
1892.0	-29.644	
1891.0	-29.576	
1890.0	-29.029	
1889.0	-27.938	
1888.0	-28.68	
1887.0	-28.56	
1886.0	-28.749	
1885.0	-29.726	
1884.0	-31.398	
1883.0	-27.212	
1882.0	-30.783	
1881.0	-30.774	
1880.0	-30.837	
1879.0	-30.335	
1878.0	-28.365	
1877.0	-29.769	
1876.0	-28.057	
1875.0	-31.242	
1874.0	-30.511	
1873.0	-29.009	
1872.0	-28.261	
1871.0	-30.185	
1870.0	-30.512	
1869.0	-29.285	
1868.0	-29.351	
1867.0	-29.491	
1866.0	-28.073	
1865.0	-29.993	
1864.0	-29.944	
1863.0	-30.7	
1862.0	-31.137	
1861.0	-28.499	
1860.0	-29.671	
1859.0	-30.592	
1858.0	-28.995	
1857.0	-30.182	
1856.0	-31.403	
1855.0	-27.889	
1854.0	-29.15	
1853.0	-29.204	
1852.0	-29.945	
1851.0	-30.716	
1850.0	-29.637	
1849.0	-29.466	
1848.0	-28.33	
1847.0	-30.236	
1846.0	-29.907	
1845.0	-29.527	
1844.0	-29.183	
1843.0	-30.101	
1842.0	-30.512	
1841.0	-28.158	
1840.0	-31.654	
1839.0	-30.255	
1838.0	-28.685	
1837.0	-28.087	
1836.0	-29.235	
1835.0	-31.616	
1834.0	-29.61	
1833.0	-30.554	
1832.0	-27.861	
1831.0	-28.497	
1830.0	-28.299	
1829.0	-28.9	
1828.0	-29.061	
1827.0	-29.156	
