# Graf.Site_DML05.2002
#-----------------------------------------------------------------------            
#                World Data Service for Paleoclimatology, Boulder            
#                                  and            
#                     NOAA Paleoclimatology Program            
#             National Centers for Environmental Information (NCEI)            
#-----------------------------------------------------------------------            
# Template Version 3.0            
# Encoding: UTF-8            
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.             
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Ant-SiteDML05.Graf.2002.txt
#     Online_Resource_Description:  This file.  NOAA WDS Paleo formatted metadata and data for version 2.0.0 of this dataset.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Ant-SiteDML05.Graf.2002.lpd
#     Online_Resource_Description:  Linked Paleo Data (LiPD) formatted file containing the same metadata and data as this file, for version 2.0.0 of this dataset.
#
# Original_Source_URL: https://doi.pangaea.de/10.1594/PANGAEA.104881
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: glacier ice
# Parameter_Keywords: 
# Dataset_DOI: 
#
#------------------
# Contribution_Date
#     Date: 
#------------------
# File_Last_Modified_Date
#     Modified_Date: 2017-05-19
#------------------
# Title
#     Study_Name: Graf.Site_DML05.2002
#------------------
# Investigators
#     Investigators: Graf, W. AND Oerter, H. AND Reinwarth, O. AND Stichler, W. AND Wilhelms, F. AND Miller, H.;Mulvaney, R.
#------------------
# Description_Notes_and_Keywords
#     Description: 
#------------------
# Publication
#     Authors: Graf, W. AND Oerter, H. AND Reinwarth, O. AND Stichler, W. AND Wilhelms, F. AND Miller, H.;Mulvaney, R.
#     Published_Date_or_Year: 2002
#     Published_Title: Stable-isotope records from Dronning Maud Land, Antarctica
#     Journal_Name: Annals of Glaciology
#     Volume: 35
#     Edition: 
#     Issue: 
#     Pages: 195-201
#     Report: 
#     DOI: 10.3189/172756402781816492
#     Online_Resource: doi.org
#     Full_Citation: 
#     Abstract: 
#------------------
# Publication
#     Authors: Sommer, S., AND D. Wagenbach, AND R. Mulvaney,;H. Fischer
#     Published_Date_or_Year: 2000
#     Published_Title: Glacio-chemical study spanning the past 2 kyr on three ice cores from Dronning Maud Land, Antarctica: 2. Seasonally resolved chemical records
#     Journal_Name: Journal of Geophysical Research: Atmospheres
#     Volume: 105
#     Edition: 
#     Issue: D24
#     Pages: 29423-29433
#     Report: 
#     DOI: 10.1029/2000JD900450
#     Online_Resource: 
#     Full_Citation: 
#     Abstract: 
#------------------
# Funding_Agency
#     Funding_Agency_Name: 
#     Grant: 
#------------------
# Site_Information
#     Site_Name: Site DML05
#     Location: 
#     Country: 
#     Northernmost_Latitude: -75
#     Southernmost_Latitude: -75
#     Easternmost_Longitude: -0.01
#     Westernmost_Longitude: -0.01
#     Elevation: 2892
#------------------
# Data_Collection
#     Collection_Name: 
#     Earliest_Year: 166.0
#     Most_Recent_Year: 1996.0
#     Time_Unit: AD
#     Core_Length: 
#     Notes: 
#------------------
# Species
#     Species_Name: 
#     Species_Code: 
#     Common_Name: 
#------------------
# Chronology:        

#------------------
# Variables        
#
# Data variables follow that are preceded by "##" in columns one and two.        
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components ( 10 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data, additional_information)
#
##year	Year AD, ,,AD, , glacier ice, ,,N,   
##d18O	,oxygen isotope ratio of O16:O18 in H2O from melted ice compared to standard mean ocean water, ,permil, 1 2 3 4 5 6 7 8 9 10 11 12, glacier ice, deviation of oxygen isotope ratio 18O:16O in H2O sample compared to standard mean ocean water (V-SMOW), mass spectrometer, N,  ; climateInterpretation_seasonality changed - was originally Mean annual values; archiveType changed - was originally ice core;  
#
#------------------
# Data:        
# Data lines follow (have no #)        
# Data line format - tab-delimited text, variable short name as header)        
# Missing_Values: nan
#
year           d18O	
1996.0	-43.68121987	
1995.0	-42.7525	
1994.0	-45.0571	
1993.0	-47.0152	
1992.0	-45.7208	
1991.0	-41.3689	
1990.0	-41.1013	
1989.0	-40.8337	
1988.0	-43.4898	
1987.0	-44.5407	
1986.0	-45.4169	
1985.0	-45.3241	
1984.0	-45.7767	
1983.0	-43.0966	
1982.0	-44.1963	
1981.0	-45.3542	
1980.0	-44.8658	
1979.0	-43.4065	
1978.0	-40.7982	
1977.0	-47.6907	
1976.0	-46.3644	
1975.0	-44.5118	
1974.0	-42.6051	
1973.0	-43.5533	
1972.0	-44.3887	
1971.0	-43.8321	
1970.0	-46.2085	
1969.0	-44.4436	
1968.0	-44.2932	
1967.0	-43.4716	
1966.0	-45.7937	
1965.0	-43.6814	
1964.0	-43.4143	
1963.0	-44.7377	
1962.0	-44.8541	
1961.0	-43.6829	
1960.0	-44.2067	
1959.0	-44.4925	
1958.0	-46.185	
1957.0	-45.3787	
1956.0	-48.3029	
1955.0	-45.0982	
1954.0	-45.2092	
1953.0	-47.6224	
1952.0	-47.1406	
1951.0	-45.4371	
1950.0	-45.0199	
1949.0	-45.3266	
1948.0	-46.7473	
1947.0	-46.0759	
1946.0	-46.9429	
1945.0	-46.3458	
1944.0	-46.5232	
1943.0	-47.8175	
1942.0	-47.3762	
1941.0	-44.6658	
1940.0	-44.8719	
1939.0	-45.2874	
1938.0	-44.952	
1937.0	-45.1208	
1936.0	-41.3828	
1935.0	-44.5206	
1934.0	-43.141	
1933.0	-44.8287	
1932.0	-45.142	
1931.0	-45.9983	
1930.0	-48.0481	
1929.0	-46.9286	
1928.0	-46.53	
1927.0	-49.6834	
1926.0	-47.8042	
1925.0	-45.261	
1924.0	-45.0943	
1923.0	-44.4301	
1922.0	-45.5471	
1921.0	-45.5137	
1920.0	-44.8725	
1919.0	-44.3678	
1918.0	-44.7363	
1917.0	-45.348	
1916.0	-45.6071	
1915.0	-43.4043	
1914.0	-45.5649	
1913.0	-46.8934	
1912.0	-47.4589	
1911.0	-46.6316	
1910.0	-45.6636	
1909.0	-45.1788	
1908.0	-47.5276	
1907.0	-47.4558	
1906.0	-45.6799	
1905.0	-44.8622	
1904.0	-44.397	
1903.0	-44.9824	
1902.0	-44.9863	
1901.0	-44.8769	
1900.0	-47.2916	
1899.0	-46.0376	
1898.0	-45.041	
1897.0	-43.5659	
1896.0	-45.2785	
1895.0	-45.3093	
1894.0	-46.5062	
1893.0	-46.1892	
1892.0	-45.2377	
1891.0	-44.3465	
1890.0	-45.1554	
1889.0	-44.2393	
1888.0	-45.1331	
1887.0	-46.5239	
1886.0	-47.962	
1885.0	-47.9335	
1884.0	-46.541	
1883.0	-45.1226	
1882.0	-47.1461	
1881.0	-47.0624	
1880.0	-46.5999	
1879.0	-45.9423	
1878.0	-46.3356	
1877.0	-45.3017	
1876.0	-44.0956	
1875.0	-43.8476	
1874.0	-44.7879	
1873.0	-44.9103	
1872.0	-44.3656	
1871.0	-44.4777	
1870.0	-46.6114	
1869.0	-46.8676	
1868.0	-45.6644	
1867.0	-45.07	
1866.0	-45.0798	
1865.0	-44.509	
1864.0	-45.4374	
1863.0	-45.1185	
1862.0	-43.0336	
1861.0	-43.2892	
1860.0	-44.7184	
1859.0	-45.1249	
1858.0	-46.2757	
1857.0	-47.5214	
1856.0	-48.5741	
1855.0	-48.7041	
1854.0	-47.8306	
1853.0	-46.4519	
1852.0	-45.9336	
1851.0	-44.2902	
1850.0	-42.2005	
1849.0	-42.5369	
1848.0	-44.1881	
1847.0	-43.9692	
1846.0	-43.2412	
1845.0	-44.5014	
1844.0	-44.9268	
1843.0	-45.582	
1842.0	-45.642	
1841.0	-45.023	
1840.0	-43.9421	
1839.0	-43.9679	
1838.0	-44.0024	
1837.0	-44.5161	
1836.0	-44.8812	
1835.0	-42.8654	
1834.0	-40.6421	
1833.0	-42.3221	
1832.0	-43.3658	
1831.0	-44.1134	
1830.0	-44.505	
