# Graf.Site_DML07.2002
#-----------------------------------------------------------------------            
#                World Data Service for Paleoclimatology, Boulder            
#                                  and            
#                     NOAA Paleoclimatology Program            
#             National Centers for Environmental Information (NCEI)            
#-----------------------------------------------------------------------            
# Template Version 3.0            
# Encoding: UTF-8            
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.             
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Ant-SiteDML07.Graf.2002.txt
#     Online_Resource_Description:  This file.  NOAA WDS Paleo formatted metadata and data for version 2.0.0 of this dataset.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Ant-SiteDML07.Graf.2002.lpd
#     Online_Resource_Description:  Linked Paleo Data (LiPD) formatted file containing the same metadata and data as this file, for version 2.0.0 of this dataset.
#
# Original_Source_URL: https://doi.pangaea.de/10.1594/PANGAEA.104882
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: glacier ice
# Parameter_Keywords: 
# Dataset_DOI: 
#
#------------------
# Contribution_Date
#     Date: 
#------------------
# File_Last_Modified_Date
#     Modified_Date: 2017-05-19
#------------------
# Title
#     Study_Name: Graf.Site_DML07.2002
#------------------
# Investigators
#     Investigators: Graf, W. AND Oerter, H. AND Reinwarth, O. AND Stichler, W. AND Wilhelms, F. AND Miller, H.;Mulvaney, R.
#------------------
# Description_Notes_and_Keywords
#     Description: 
#------------------
# Publication
#     Authors: Graf, W. AND Oerter, H. AND Reinwarth, O. AND Stichler, W. AND Wilhelms, F. AND Miller, H.;Mulvaney, R.
#     Published_Date_or_Year: 2002
#     Published_Title: Stable-isotope records from Dronning Maud Land, Antarctica
#     Journal_Name: Annals of Glaciology
#     Volume: 35
#     Edition: 
#     Issue: 
#     Pages: 195-201
#     Report: 
#     DOI: 10.3189/172756402781816492
#     Online_Resource: doi.org
#     Full_Citation: 
#     Abstract: 
#------------------
# Funding_Agency
#     Funding_Agency_Name: 
#     Grant: 
#------------------
# Site_Information
#     Site_Name: Site DML07
#     Location: 
#     Country: 
#     Northernmost_Latitude: -75.58
#     Southernmost_Latitude: -75.58
#     Easternmost_Longitude: -3.43
#     Westernmost_Longitude: -3.43
#     Elevation: 2680
#------------------
# Data_Collection
#     Collection_Name: 
#     Earliest_Year: 1000.0
#     Most_Recent_Year: 1994.0
#     Time_Unit: AD
#     Core_Length: 
#     Notes: 
#------------------
# Species
#     Species_Name: 
#     Species_Code: 
#     Common_Name: 
#------------------
# Chronology:        

#------------------
# Variables        
#
# Data variables follow that are preceded by "##" in columns one and two.        
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components ( 10 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data, additional_information)
#
##year	Year AD, ,,AD, , glacier ice, ,,N,   
##d18O	,oxygen isotope ratio of O16:O18 in H2O from melted ice compared to standard mean ocean water, ,permil, 1 2 3 4 5 6 7 8 9 10 11 12, glacier ice, deviation of oxygen isotope ratio 18O:16O in H2O sample compared to standard mean ocean water (V-SMOW), mass spectrometer, N,  ; climateInterpretation_seasonality changed - was originally Mean annual values; archiveType changed - was originally ice core;  
#
#------------------
# Data:        
# Data lines follow (have no #)        
# Data line format - tab-delimited text, variable short name as header)        
# Missing_Values: nan
#
year           d18O	
1994.0	-43.32	
1993.0	-42.15	
1992.0	-43.04	
1991.0	-45.51	
1990.0	-44.34	
1989.0	-42.8	
1988.0	-43.51	
1987.0	-41.98	
1986.0	-44.09	
1985.0	-46.42	
1984.0	-47.57	
1983.0	-47.85	
1982.0	nan	
1981.0	-42.72	
1980.0	-42.88	
1979.0	-45.72	
1978.0	-45.91	
1977.0	-42.57	
1976.0	-44.41	
1975.0	-45.34	
1974.0	-45.29	
1973.0	-45.39	
1972.0	-46.73	
1971.0	-43.7	
1970.0	-41.69	
1969.0	-43.65	
1968.0	-43.97	
1967.0	-43.42	
1966.0	-44.98	
1965.0	-45.78	
1964.0	-47.64	
1963.0	-44.66	
1962.0	-43.54	
1961.0	-45.86	
1960.0	-46.92	
1959.0	-45.94	
1958.0	-42.61	
1957.0	-42.83	
1956.0	-45.16	
1955.0	-44.98	
1954.0	-45.51	
1953.0	-47.16	
1952.0	-44.6	
1951.0	-45.45	
1950.0	-44.8	
1949.0	-43.99	
1948.0	-45.06	
1947.0	-45.31	
1946.0	-44.79	
1945.0	-44.74	
1944.0	-44.64	
1943.0	-44.98	
1942.0	-47.15	
1941.0	-45.61	
1940.0	-43.93	
1939.0	-43.8	
1938.0	-43.77	
1937.0	-45.78	
1936.0	-43.17	
1935.0	-43.3	
1934.0	-44.24	
1933.0	-45.79	
1932.0	-43.59	
1931.0	-44.9	
1930.0	-43.51	
1929.0	-43.85	
1928.0	-46.59	
1927.0	-47.23	
1926.0	-46.04	
1925.0	-44.99	
1924.0	-43.12	
1923.0	-42.41	
1922.0	-42.76	
1921.0	-43.0	
1920.0	-42.89	
1919.0	-43.56	
1918.0	-44.2	
1917.0	-45.61	
1916.0	-44.46	
1915.0	-43.31	
1914.0	-43.66	
1913.0	-45.08	
1912.0	-45.87	
1911.0	-46.18	
1910.0	-47.12	
1909.0	-47.3	
1908.0	-47.61	
1907.0	-46.91	
1906.0	-45.16	
1905.0	-44.46	
1904.0	-45.18	
1903.0	-45.29	
1902.0	-45.86	
1901.0	-45.35	
1900.0	-44.51	
1899.0	-44.19	
1898.0	-44.62	
1897.0	-44.72	
1896.0	-46.76	
1895.0	-46.97	
1894.0	-46.05	
1893.0	-45.07	
1892.0	-44.46	
1891.0	-44.82	
1890.0	-44.56	
1889.0	-44.81	
1888.0	-46.23	
1887.0	-46.06	
1886.0	-46.19	
1885.0	-46.98	
1884.0	-47.16	
1883.0	-44.98	
1882.0	-43.88	
1881.0	-46.1	
1880.0	-44.46	
1879.0	-44.5	
1878.0	-45.43	
1877.0	nan	
1876.0	-44.03	
1875.0	-43.97	
1874.0	-45.38	
1873.0	-45.82	
1872.0	-43.91	
1871.0	-44.34	
1870.0	-45.15	
1869.0	-44.82	
1868.0	-44.71	
1867.0	-44.24	
1866.0	-43.65	
1865.0	-45.04	
1864.0	-46.27	
1863.0	-45.93	
1862.0	-45.49	
1861.0	-45.69	
1860.0	-46.5	
1859.0	-46.47	
1858.0	-45.22	
1857.0	-45.74	
1856.0	-46.02	
1855.0	-46.27	
1854.0	-47.17	
1853.0	-47.2	
1852.0	-46.0	
1851.0	-45.91	
1850.0	-46.02	
1849.0	-45.95	
1848.0	-45.8	
1847.0	-45.7	
1846.0	-45.84	
1845.0	-46.46	
1844.0	-46.83	
1843.0	-46.82	
1842.0	-46.09	
1841.0	-44.94	
1840.0	-45.12	
1839.0	-45.8	
1838.0	-45.26	
1837.0	-44.86	
1836.0	-45.11	
1835.0	-45.21	
1834.0	-44.51	
1833.0	-43.96	
1832.0	-44.33	
1831.0	-44.09	
1830.0	-42.82	
1829.0	-42.77	
1828.0	-45.59	
1827.0	-46.56	
1826.0	-45.62	
1825.0	-45.27	
1824.0	-45.06	
1823.0	-46.05	
1822.0	-46.12	
1821.0	-46.06	
1820.0	-45.36	
1819.0	-44.04	
1818.0	-44.05	
1817.0	-45.03	
1816.0	-45.72	
1815.0	-45.82	
1814.0	-45.01	
1813.0	-44.4	
1812.0	-44.28	
1811.0	-44.07	
1810.0	-43.72	
1809.0	-43.07	
1808.0	-42.81	
1807.0	-44.08	
1806.0	-44.5	
1805.0	-45.17	
1804.0	-44.45	
1803.0	-43.69	
1802.0	-44.18	
1801.0	-44.02	
1800.0	-44.46	
1799.0	-44.55	
1798.0	-44.83	
1797.0	-43.31	
1796.0	-42.29	
1795.0	-45.47	
1794.0	-46.7	
1793.0	-46.53	
1792.0	-45.69	
1791.0	-44.35	
1790.0	-43.99	
1789.0	-45.05	
1788.0	-45.28	
1787.0	-44.3	
1786.0	-43.16	
1785.0	-45.19	
1784.0	-46.67	
1783.0	-47.13	
1782.0	-45.76	
1781.0	-45.02	
1780.0	-46.28	
1779.0	-47.23	
1778.0	-46.92	
1777.0	-45.85	
1776.0	-46.34	
1775.0	-46.25	
1774.0	-46.59	
1773.0	-46.4	
1772.0	-45.1	
1771.0	-44.59	
1770.0	-45.12	
1769.0	-44.4	
1768.0	-42.24	
1767.0	-42.08	
1766.0	-42.94	
1765.0	-44.56	
1764.0	-45.29	
1763.0	-45.21	
1762.0	-44.83	
1761.0	-45.4	
1760.0	-45.9	
1759.0	-45.53	
1758.0	-42.89	
1757.0	-43.23	
1756.0	-45.08	
1755.0	-45.74	
1754.0	-45.07	
1753.0	-43.16	
1752.0	-43.7	
1751.0	-44.79	
1750.0	-45.47	
1749.0	-46.62	
1748.0	-47.02	
1747.0	-46.07	
1746.0	-44.5	
1745.0	-43.12	
1744.0	-43.52	
1743.0	-44.6	
1742.0	-46.24	
1741.0	-46.58	
1740.0	-45.75	
1739.0	-44.63	
1738.0	-44.01	
1737.0	-44.68	
1736.0	-45.1	
1735.0	-44.81	
1734.0	-45.16	
1733.0	-46.39	
1732.0	-46.68	
1731.0	-45.56	
1730.0	-45.21	
1729.0	-44.97	
1728.0	-44.24	
1727.0	-43.32	
1726.0	-43.93	
1725.0	-46.05	
1724.0	-47.06	
1723.0	-47.74	
1722.0	-47.77	
1721.0	-46.42	
1720.0	-44.7	
1719.0	-43.6	
1718.0	-43.49	
1717.0	-43.5	
1716.0	-43.85	
1715.0	-45.8	
1714.0	-46.18	
1713.0	-45.66	
1712.0	-45.35	
1711.0	-45.32	
1710.0	-45.47	
1709.0	-45.7	
1708.0	-45.46	
1707.0	-44.4	
1706.0	-44.25	
1705.0	-45.11	
1704.0	-45.36	
1703.0	-45.32	
1702.0	-45.23	
1701.0	-46.12	
1700.0	-46.14	
1699.0	-46.02	
1698.0	-45.58	
1697.0	-44.99	
1696.0	-44.75	
1695.0	-45.05	
1694.0	-45.54	
1693.0	-45.76	
1692.0	-46.29	
1691.0	-45.77	
1690.0	-44.52	
1689.0	-44.11	
1688.0	-44.54	
1687.0	-44.87	
1686.0	-44.99	
1685.0	-45.0	
1684.0	-44.97	
1683.0	-44.7	
1682.0	-44.77	
1681.0	-44.85	
1680.0	-44.05	
1679.0	-43.74	
1678.0	-43.52	
1677.0	-42.85	
1676.0	-42.92	
1675.0	-43.98	
1674.0	-45.0	
1673.0	-45.82	
1672.0	-45.35	
1671.0	-44.82	
1670.0	-44.44	
1669.0	-44.19	
1668.0	-43.76	
1667.0	-43.88	
1666.0	-44.62	
1665.0	-45.51	
1664.0	-46.17	
1663.0	-45.89	
