# Graf.Site_DML17.2002
#-----------------------------------------------------------------------            
#                World Data Service for Paleoclimatology, Boulder            
#                                  and            
#                     NOAA Paleoclimatology Program            
#             National Centers for Environmental Information (NCEI)            
#-----------------------------------------------------------------------            
# Template Version 3.0            
# Encoding: UTF-8            
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.             
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Ant-SiteDML17.Graf.2002.txt
#     Online_Resource_Description:  This file.  NOAA WDS Paleo formatted metadata and data for version 2.0.0 of this dataset.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Ant-SiteDML17.Graf.2002.lpd
#     Online_Resource_Description:  Linked Paleo Data (LiPD) formatted file containing the same metadata and data as this file, for version 2.0.0 of this dataset.
#
# Original_Source_URL: https://doi.pangaea.de/10.1594/PANGAEA.104888
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: glacier ice
# Parameter_Keywords: 
# Dataset_DOI: 
#
#------------------
# Contribution_Date
#     Date: 
#------------------
# File_Last_Modified_Date
#     Modified_Date: 2017-05-19
#------------------
# Title
#     Study_Name: Graf.Site_DML17.2002
#------------------
# Investigators
#     Investigators: Graf, W. AND Oerter, H. AND Reinwarth, O. AND Stichler, W. AND Wilhelms, F. AND Miller, H.;Mulvaney, R.
#------------------
# Description_Notes_and_Keywords
#     Description: 
#------------------
# Publication
#     Authors: Graf, W. AND Oerter, H. AND Reinwarth, O. AND Stichler, W. AND Wilhelms, F. AND Miller, H.;Mulvaney, R.
#     Published_Date_or_Year: 2002
#     Published_Title: Stable-isotope records from Dronning Maud Land, Antarctica
#     Journal_Name: Annals of Glaciology
#     Volume: 35
#     Edition: 
#     Issue: 
#     Pages: 195-201
#     Report: 
#     DOI: 10.3189/172756402781816492
#     Online_Resource: doi.org
#     Full_Citation: 
#     Abstract: 
#------------------
# Funding_Agency
#     Funding_Agency_Name: 
#     Grant: 
#------------------
# Site_Information
#     Site_Name: Site DML17
#     Location: 
#     Country: 
#     Northernmost_Latitude: -75.17
#     Southernmost_Latitude: -75.17
#     Easternmost_Longitude: 6.5
#     Westernmost_Longitude: 6.5
#     Elevation: 3160
#------------------
# Data_Collection
#     Collection_Name: 
#     Earliest_Year: 1000.0
#     Most_Recent_Year: 1997.0
#     Time_Unit: AD
#     Core_Length: 
#     Notes: 
#------------------
# Species
#     Species_Name: 
#     Species_Code: 
#     Common_Name: 
#------------------
# Chronology:        

#------------------
# Variables        
#
# Data variables follow that are preceded by "##" in columns one and two.        
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components ( 10 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data, additional_information)
#
##year	Year AD, ,,AD, , glacier ice, ,,N,   
##d18O	,oxygen isotope ratio of O16:O18 in H2O from melted ice compared to standard mean ocean water, ,permil, 1 2 3 4 5 6 7 8 9 10 11 12, glacier ice, deviation of oxygen isotope ratio 18O:16O in H2O sample compared to standard mean ocean water (V-SMOW), mass spectrometer, N,  ; climateInterpretation_seasonality changed - was originally Mean annual values; archiveType changed - was originally ice core;  
#
#------------------
# Data:        
# Data lines follow (have no #)        
# Data line format - tab-delimited text, variable short name as header)        
# Missing_Values: nan
#
year           d18O	
1997.0	-43.73	
1996.0	-43.24	
1995.0	-44.77	
1994.0	-45.45	
1993.0	-49.46	
1992.0	nan	
1991.0	-47.32	
1990.0	-47.54	
1989.0	-49.5	
1988.0	-47.71	
1987.0	-44.06	
1986.0	-46.31	
1985.0	-46.46	
1984.0	-45.75	
1983.0	-44.74	
1982.0	nan	
1981.0	nan	
1980.0	-45.38	
1979.0	-44.95	
1978.0	-45.75	
1977.0	-47.59	
1976.0	nan	
1975.0	-46.7	
1974.0	-46.31	
1973.0	-46.87	
1972.0	-47.77	
1971.0	-47.57	
1970.0	-46.92	
1969.0	-46.54	
1968.0	-46.91	
1967.0	-46.0	
1966.0	-45.19	
1965.0	-45.95	
1964.0	-45.85	
1963.0	-46.29	
1962.0	-44.42	
1961.0	-49.35	
1960.0	-47.65	
1959.0	-47.02	
1958.0	-47.91	
1957.0	-48.72	
1956.0	-44.17	
1955.0	-44.86	
1954.0	-46.12	
1953.0	-44.98	
1952.0	-44.45	
1951.0	-46.09	
1950.0	-46.94	
1949.0	-46.41	
1948.0	-46.3	
1947.0	-46.32	
1946.0	-45.82	
1945.0	-44.92	
1944.0	-46.09	
1943.0	-48.61	
1942.0	-50.32	
1941.0	-50.08	
1940.0	-49.45	
1939.0	-47.6	
1938.0	-46.86	
1937.0	-48.31	
1936.0	-44.79	
1935.0	-44.49	
1934.0	-42.76	
1933.0	-44.61	
1932.0	-44.9	
1931.0	-46.58	
1930.0	-45.46	
1929.0	-46.83	
1928.0	-46.59	
1927.0	-45.83	
1926.0	-46.11	
1925.0	-45.7	
1924.0	-46.25	
1923.0	-47.81	
1922.0	-45.41	
1921.0	-44.83	
1920.0	-44.79	
1919.0	-46.18	
1918.0	-48.29	
1917.0	-47.47	
1916.0	-46.31	
1915.0	-45.31	
1914.0	-45.53	
1913.0	-45.53	
1912.0	nan	
1911.0	-48.89	
1910.0	-48.65	
1909.0	-48.25	
1908.0	-47.65	
1907.0	-46.82	
1906.0	-46.89	
1905.0	-47.89	
1904.0	-48.27	
1903.0	-46.81	
1902.0	-47.34	
1901.0	-48.62	
1900.0	-48.27	
1899.0	nan	
1898.0	-47.82	
1897.0	-47.5	
1896.0	-48.01	
1895.0	-47.92	
1894.0	-46.77	
1893.0	-45.26	
1892.0	-46.46	
1891.0	-47.25	
1890.0	-49.1	
1889.0	-50.42	
1888.0	-49.6	
1887.0	-47.84	
1886.0	-46.64	
1885.0	-46.52	
1884.0	-46.4	
1883.0	-46.03	
1882.0	-46.75	
1881.0	-47.83	
1880.0	-47.83	
1879.0	-46.3	
1878.0	-45.0	
1877.0	-45.75	
1876.0	-46.14	
1875.0	-46.3	
1874.0	-46.04	
1873.0	-46.06	
1872.0	-46.84	
1871.0	-47.26	
1870.0	-47.41	
1869.0	-46.97	
1868.0	-45.9	
1867.0	-45.21	
1866.0	nan	
1865.0	-47.43	
1864.0	-45.92	
1863.0	-45.42	
1862.0	-45.76	
1861.0	-46.28	
1860.0	-47.03	
1859.0	-47.59	
1858.0	-47.51	
1857.0	-46.98	
1856.0	-46.7	
1855.0	-46.91	
1854.0	-46.86	
1853.0	-46.42	
1852.0	-45.63	
1851.0	-45.21	
1850.0	-45.94	
1849.0	-46.54	
1848.0	-46.34	
1847.0	-45.83	
1846.0	-45.37	
1845.0	-45.55	
1844.0	-45.67	
1843.0	-46.15	
1842.0	-47.15	
1841.0	-47.59	
1840.0	-47.66	
1839.0	-47.39	
