# Stenni.Talos_Dome.2002
#-----------------------------------------------------------------------            
#                World Data Service for Paleoclimatology, Boulder            
#                                  and            
#                     NOAA Paleoclimatology Program            
#             National Centers for Environmental Information (NCEI)            
#-----------------------------------------------------------------------            
# Template Version 3.0            
# Encoding: UTF-8            
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.             
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Ant-TalosDome.Stenni.2002.txt
#     Online_Resource_Description:  This file.  NOAA WDS Paleo formatted metadata and data for version 2.0.0 of this dataset.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Ant-TalosDome.Stenni.2002.lpd
#     Online_Resource_Description:  Linked Paleo Data (LiPD) formatted file containing the same metadata and data as this file, for version 2.0.0 of this dataset.
#
# Original_Source_URL: https://www.ncdc.noaa.gov/paleo/study/2465
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: glacier ice
# Parameter_Keywords: 
# Dataset_DOI: 
#
#------------------
# Contribution_Date
#     Date: 
#------------------
# File_Last_Modified_Date
#     Modified_Date: 2017-05-19
#------------------
# Title
#     Study_Name: Stenni.Talos_Dome.2002
#------------------
# Investigators
#     Investigators: Stenni, B.;Proposito, M.;Gragnani, R.;Flora, O.;Jouzel, J.;Falourd, S.;Frezzotti, M.
#------------------
# Description_Notes_and_Keywords
#     Description: 
#------------------
# Publication
#     Authors: Stenni, B.;Proposito, M.;Gragnani, R.;Flora, O.;Jouzel, J.;Falourd, S.;Frezzotti, M.
#     Published_Date_or_Year: 2002
#     Published_Title: Eight centuries of volcanic signal and climate change at Talos Dome (East Antarctica)
#     Journal_Name: Journal of Geophysical Research: Atmospheres
#     Volume: 107
#     Edition: 
#     Issue: D9
#     Pages: ACL3/1-3/13
#     Report: 
#     DOI: 10.1029/2000JD000317
#     Online_Resource: doi.org
#     Full_Citation: 
#     Abstract: 
#------------------
# Funding_Agency
#     Funding_Agency_Name: 
#     Grant: 
#------------------
# Site_Information
#     Site_Name: Talos Dome
#     Location: 
#     Country: 
#     Northernmost_Latitude: -72.8
#     Southernmost_Latitude: -72.8
#     Easternmost_Longitude: 159.06
#     Westernmost_Longitude: 159.06
#     Elevation: 2316
#------------------
# Data_Collection
#     Collection_Name: 
#     Earliest_Year: 1232.0
#     Most_Recent_Year: 1995.0
#     Time_Unit: AD
#     Core_Length: 
#     Notes: 
#------------------
# Species
#     Species_Name: 
#     Species_Code: 
#     Common_Name: 
#------------------
# Chronology:        

#------------------
# Variables        
#
# Data variables follow that are preceded by "##" in columns one and two.        
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components ( 10 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data, additional_information)
#
##year	Year AD, ,,AD, , glacier ice, ,,N,   
##dD	,melted ice, ,permil, 1 2 3 4 5 6 7 8 9 10 11 12, glacier ice, deviation of deuterium isotope ratio 2H:1H in H2O sample compared to standard mean ocean water (V-SMOW), mass spectrometer, N,  ; climateInterpretation_seasonality changed - was originally Mean annual values; archiveType changed - was originally ice core; 0.5 per mil (+/-);  
#
#------------------
# Data:        
# Data lines follow (have no #)        
# Data line format - tab-delimited text, variable short name as header)        
# Missing_Values: nan
#
year           dD	
1995.0	-309.5080565	
1994.0	-303.9172	
1993.0	-302.4587	
1992.0	-294.844	
1991.0	-265.526	
1990.0	-301.262	
1989.0	-275.12	
1988.0	-280.249	
1987.0	-285.474	
1986.0	-285.738	
1985.0	-271.042	
1984.0	-263.499	
1983.0	-277.158	
1982.0	-298.116	
1981.0	-288.047	
1980.0	-290.025	
1979.0	-291.552	
1978.0	-301.62	
1977.0	-285.397	
1976.0	-294.468	
1975.0	-301.022	
1974.0	-322.219	
1973.0	-286.54	
1972.0	-268.81	
1971.0	-295.168	
1970.0	-291.199	
1969.0	-311.147	
1968.0	-284.006	
1967.0	-281.633	
1966.0	-299.281	
1965.0	-304.242	
1964.0	-290.474	
1963.0	-304.006	
1962.0	-309.525	
1961.0	-299.887	
1960.0	-292.965	
1959.0	-273.682	
1958.0	-281.592	
1957.0	-275.252	
1956.0	-275.029	
1955.0	-290.121	
1954.0	-304.938	
1953.0	-287.813	
1952.0	-283.686	
1951.0	-281.015	
1950.0	-267.1	
1949.0	-298.358	
1948.0	-308.197	
1947.0	-311.975	
1946.0	-293.205	
1945.0	-267.0	
1944.0	-259.657	
1943.0	-292.959	
1942.0	-286.461	
1941.0	-268.076	
1940.0	-239.575	
1939.0	-263.085	
1938.0	-274.267	
1937.0	-281.46	
1936.0	-281.409	
1935.0	-280.974	
1934.0	-272.793	
1933.0	-277.576	
1932.0	-295.344	
1931.0	-279.496	
1930.0	-275.89	
1929.0	-282.432	
1928.0	-290.716	
1927.0	-293.451	
1926.0	-294.264	
1925.0	-273.411	
1924.0	-256.098	
1923.0	-260.278	
1922.0	-267.578	
1921.0	-243.427	
1920.0	-267.001	
1919.0	-264.024	
1918.0	-265.291	
1917.0	-297.432	
1916.0	-289.141	
1915.0	-265.467	
1914.0	-254.183	
1913.0	-279.734	
1912.0	-268.094	
1911.0	-280.321	
1910.0	-298.289	
1909.0	-314.034	
1908.0	-300.102	
1907.0	-305.577	
1906.0	-301.569	
1905.0	-297.934	
1904.0	-304.578	
1903.0	-312.937	
1902.0	-281.655	
1901.0	-256.508	
1900.0	-252.238	
1899.0	-256.807	
1898.0	-260.278	
1897.0	-264.563	
1896.0	-294.936	
1895.0	-281.314	
1894.0	-287.006	
1893.0	-302.619	
1892.0	-298.173	
1891.0	-286.267	
1890.0	-264.827	
1889.0	-276.798	
1888.0	-303.004	
1887.0	-297.878	
1886.0	-294.136	
1885.0	-289.372	
1884.0	-286.457	
1883.0	-285.249	
1882.0	-275.395	
1881.0	-258.826	
1880.0	-266.843	
1879.0	-270.92	
1878.0	-282.304	
1877.0	-295.058	
1876.0	-307.252	
1875.0	-294.117	
1874.0	-256.46	
1873.0	-268.106	
1872.0	-270.269	
1871.0	-287.028	
1870.0	-303.443	
1869.0	-295.518	
1868.0	-284.681	
1867.0	-296.107	
1866.0	-300.04	
1865.0	-276.026	
1864.0	-279.156	
1863.0	-290.765	
1862.0	-297.839	
1861.0	-298.222	
1860.0	-290.715	
1859.0	-281.647	
1858.0	-294.96	
1857.0	-293.628	
1856.0	-287.015	
1855.0	-284.57	
1854.0	-268.992	
1853.0	-289.704	
1852.0	-282.328	
1851.0	-274.637	
1850.0	-295.893	
1849.0	-303.056	
1848.0	-290.994	
1847.0	-277.987	
1846.0	-259.707	
1845.0	-256.519	
1844.0	-260.49	
1843.0	-271.793	
1842.0	-285.054	
1841.0	-277.11	
1840.0	-283.349	
1839.0	-296.491	
1838.0	-291.384	
1837.0	-285.111	
1836.0	-280.623	
1835.0	-279.753	
1834.0	-287.463	
1833.0	-294.577	
1832.0	-301.413	
1831.0	-295.146	
1830.0	-294.728	
1829.0	-305.908	
1828.0	-296.795	
1827.0	-276.292	
1826.0	-267.088	
1825.0	-273.062	
1824.0	-287.972	
1823.0	-295.089	
1822.0	-290.552	
1821.0	-284.167	
1820.0	-282.43	
1819.0	-269.408	
1818.0	-268.14	
1817.0	-261.966	
1816.0	-286.886	
1815.0	-314.911	
1814.0	-327.089	
1813.0	-295.457	
1812.0	-279.789	
1811.0	-290.413	
1810.0	-292.915	
1809.0	-284.179	
1808.0	-283.48	
1807.0	-286.971	
1806.0	-284.749	
1805.0	-278.451	
1804.0	-293.734	
1803.0	-292.935	
1802.0	-297.666	
1801.0	-300.959	
1800.0	-293.041	
1799.0	-296.123	
1798.0	-299.259	
1797.0	-285.499	
1796.0	-278.719	
1795.0	-281.547	
1794.0	-289.503	
1793.0	-288.302	
1792.0	-283.47	
1791.0	-283.562	
1790.0	-279.309	
1789.0	-274.663	
1788.0	-273.904	
1787.0	-289.404	
1786.0	-300.797	
1785.0	-313.204	
1784.0	-325.488	
1783.0	-313.72	
1782.0	-289.634	
1781.0	-281.71	
1780.0	-290.136	
1779.0	-293.871	
1778.0	-296.462	
1777.0	-295.321	
1776.0	-289.0	
1775.0	-286.602	
