# Ekaykin.Vostok.2014
#-----------------------------------------------------------------------            
#                World Data Service for Paleoclimatology, Boulder            
#                                  and            
#                     NOAA Paleoclimatology Program            
#             National Centers for Environmental Information (NCEI)            
#-----------------------------------------------------------------------            
# Template Version 3.0            
# Encoding: UTF-8            
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.             
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Ant-Vostok.Ekaykin.2014-1.txt
#     Online_Resource_Description:  This file.  NOAA WDS Paleo formatted metadata and data for version 2.0.0 of this dataset.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Ant-Vostok.Ekaykin.2014.lpd
#     Online_Resource_Description:  Linked Paleo Data (LiPD) formatted file containing the same metadata and data as this file, for version 2.0.0 of this dataset.
#
# Original_Source_URL: this study
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: glacier ice
# Parameter_Keywords: 
# Dataset_DOI: 
#
#------------------
# Contribution_Date
#     Date: 
#------------------
# File_Last_Modified_Date
#     Modified_Date: 2017-05-19
#------------------
# Title
#     Study_Name: Ekaykin.Vostok.2014
#------------------
# Investigators
#     Investigators: Ekaykin, A.A.;Kozachek, A.V.;Lipenkov, V. Ya.;Shibaev, Yu. A.
#------------------
# Description_Notes_and_Keywords
#     Description: Temp inferred from accumulation rate; defer to isotopes
#------------------
# Publication
#     Authors: Ekaykin, A.A.;Kozachek, A.V.;Lipenkov, V. Ya.;Shibaev, Yu. A.
#     Published_Date_or_Year: 2014
#     Published_Title: Multiple climate shifts in the Southern Hemisphere over the past three centuries based on central Antarctic snow pits and core studies
#     Journal_Name: Annals of Glaciology
#     Volume: 55
#     Edition: 
#     Issue: 66
#     Pages: 259-266
#     Report: 
#     DOI: 10.3189/201AoG66A189
#     Online_Resource: doi.org
#     Full_Citation: 
#     Abstract: 
#------------------
# Funding_Agency
#     Funding_Agency_Name: 
#     Grant: 
#------------------
# Site_Information
#     Site_Name: Vostok
#     Location: 
#     Country: 
#     Northernmost_Latitude: -78.2785
#     Southernmost_Latitude: -78.2785
#     Easternmost_Longitude: 104.8005
#     Westernmost_Longitude: 104.8005
#     Elevation: 3488
#------------------
# Data_Collection
#     Collection_Name: 
#     Earliest_Year: 1654.0
#     Most_Recent_Year: 2010.0
#     Time_Unit: AD
#     Core_Length: 
#     Notes: 
#------------------
# Species
#     Species_Name: 
#     Species_Code: 
#     Common_Name: 
#------------------
# Chronology:        

#------------------
# Variables        
#
# Data variables follow that are preceded by "##" in columns one and two.        
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components ( 10 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data, additional_information)
#
##year	Year AD, ,,AD, , glacier ice, ,,N,   
##dD	,deuterium isotope ratio of H2:H1 in H2O from melted snow compared to standard mean ocean water, ,permil, 1 2 3 4 5 6 7 8 9 10 11 12, glacier ice, deviation of deuterium isotope ratio 2H:1H in H2O sample compared to standard mean ocean water (V-SMOW), mass spectrometer and laser analyser, N,  ; climateInterpretation_seasonality changed - was originally Mean annual values;  
#
#------------------
# Data:        
# Data lines follow (have no #)        
# Data line format - tab-delimited text, variable short name as header)        
# Missing_Values: nan
#
year           dD	
2010.0	-438.357123448024	
2009.0	-414.801069501529	
2008.0	-446.929061346573	
2007.0	-453.44296106371	
2006.0	-430.179014808698	
2005.0	-436.27830376308	
2004.0	-437.706791587257	
2003.0	-432.443597985904	
2002.0	-430.56613105056	
2001.0	-455.488965045262	
2000.0	-439.93341474785	
1999.0	-423.965618417799	
1998.0	-430.809627482076	
1997.0	-434.135477998252	
1996.0	-440.259135222891	
1995.0	-439.897884011875	
1994.0	-440.310721097914	
1993.0	-441.820423849487	
1992.0	-433.800521728465	
1991.0	-431.367570103072	
1990.0	-434.066746483103	
1989.0	-433.975819829763	
1988.0	-440.167271439078	
1987.0	-446.274953026266	
1986.0	-437.76181231912	
1985.0	-431.857891129797	
1984.0	-432.715341882139	
1983.0	-437.619513904616	
1982.0	-438.007886489579	
1981.0	-442.171769533664	
1980.0	-441.651172817644	
1979.0	-444.862959695911	
1978.0	-440.613964095616	
1977.0	-440.170277153279	
1976.0	-429.256963516282	
1975.0	-434.064809431751	
1974.0	-436.185973717205	
1973.0	-435.211233277692	
1972.0	-430.160033777359	
1971.0	-431.211944931815	
1970.0	-433.521546333944	
1969.0	-438.668562935858	
1968.0	-444.085214819007	
1967.0	-444.413242102073	
1966.0	-441.087766794783	
1965.0	-444.428432202628	
1964.0	-446.113376436026	
1963.0	-445.442568860531	
1962.0	-445.68632854933	
1961.0	-447.76758851857	
1960.0	-440.310669231986	
1959.0	-445.000386522009	
1958.0	-446.784970371967	
1957.0	-445.23683825299	
1956.0	-451.509575815366	
1955.0	-450.386440114561	
1954.0	-453.053974473458	
1953.0	-445.733301219869	
1952.0	-443.042519844177	
1951.0	-442.108615258639	
1950.0	-437.135096773058	
1949.0	-434.765516856648	
1948.0	-436.258999094111	
1947.0	-435.527218754704	
1946.0	-437.788017895617	
1945.0	-434.56884105264	
1944.0	-428.041869336236	
1943.0	-434.203769846513	
1942.0	-437.485001395687	
1941.0	-425.884103513758	
1940.0	-430.113204960307	
1939.0	-429.646346260056	
1938.0	-433.871260036387	
1937.0	-441.576697097403	
1936.0	-444.016511399608	
1935.0	-449.594247034319	
1934.0	-448.083939834497	
1933.0	-442.600961685917	
1932.0	-441.452344928709	
1931.0	-432.197833909341	
1930.0	-431.076135059844	
1929.0	-427.988138079012	
1928.0	-427.436482319918	
1927.0	-433.814186822577	
1926.0	-438.318283182666	
1925.0	-442.544911920075	
1924.0	-444.14287150287	
1923.0	-443.351472792059	
1922.0	-443.271091152595	
1921.0	-443.051668604346	
1920.0	-440.951016287634	
1919.0	-434.629275887461	
1918.0	-438.158601769865	
1917.0	-438.181148697523	
1916.0	-437.727525224897	
1915.0	-434.242250875454	
1914.0	-430.097834104654	
1913.0	-427.41498675907	
1912.0	-434.870726659015	
1911.0	-438.255809449091	
1910.0	-440.570470752319	
1909.0	-441.469552143902	
1908.0	-446.1773054643	
1907.0	-448.624027100005	
1906.0	-450.567145591027	
1905.0	-455.24164328541	
1904.0	-456.551103100137	
1903.0	-449.945841072388	
1902.0	-451.781489866852	
1901.0	-449.40055379981	
1900.0	-448.261152007101	
1899.0	-448.958026312749	
1898.0	-448.066831813837	
1897.0	-446.680676901509	
1896.0	-447.747840821675	
1895.0	-444.092925669599	
1894.0	-442.2021239804	
1893.0	-440.931175069207	
1892.0	-440.275319775621	
1891.0	-437.381966193	
1890.0	-435.85551572845	
1889.0	-439.192737619389	
1888.0	-441.243954068677	
1887.0	-436.289575378408	
1886.0	-441.444371304641	
1885.0	-438.521372311668	
1884.0	-437.969652333088	
1883.0	-435.189400142205	
1882.0	-431.689579297295	
1881.0	-435.58986894029	
1880.0	-442.23509253303	
1879.0	-439.243175784239	
1878.0	-443.058656537795	
1877.0	-442.65725546539	
1876.0	-440.672965007861	
1875.0	-444.72843295164	
1874.0	-441.140521351376	
1873.0	-445.243269088662	
1872.0	-441.095294459765	
1871.0	-439.200291748312	
1870.0	-443.720756962035	
1869.0	-442.082992596311	
1868.0	-445.822723542511	
1867.0	-446.89701725178	
1866.0	-446.466473277021	
1865.0	-444.9365519118	
1864.0	-440.289532272457	
1863.0	-437.522106731553	
1862.0	-436.158144785808	
1861.0	-441.490997355181	
1860.0	-440.79314001189	
1859.0	-444.174284807567	
1858.0	-446.339692565004	
1857.0	-446.234703182537	
1856.0	-453.633222853768	
1855.0	-447.060707072348	
1854.0	-448.626370938941	
1853.0	-444.011580641832	
1852.0	-446.332461185383	
1851.0	-447.766567816537	
1850.0	-448.383988092451	
1849.0	-449.451228049875	
1848.0	-449.272025006823	
1847.0	-448.071955356953	
1846.0	-443.40572683673	
1845.0	-442.323536218614	
1844.0	-447.021666242747	
1843.0	-449.432165974514	
1842.0	-451.490703801922	
1841.0	-450.15158646651	
1840.0	-453.306862588916	
1839.0	-451.13876810401	
1838.0	-453.755417129046	
1837.0	-450.661938581029	
1836.0	-446.117357888321	
1835.0	-443.515285051157	
1834.0	-439.043582190082	
1833.0	-437.235839411501	
1832.0	-439.128167702275	
1831.0	-437.379052274023	
1830.0	-437.910771464705	
1829.0	-438.729458700777	
1828.0	-437.770446853635	
1827.0	-444.952366192269	
1826.0	-446.03685701488	
1825.0	-443.52419402677	
1824.0	-446.270158664179	
1823.0	-442.834320282503	
1822.0	-441.246551235322	
1821.0	-439.843641935066	
1820.0	-446.083342466146	
1819.0	-450.924920072678	
1818.0	-447.844938091441	
1817.0	-444.280582672065	
1816.0	-443.53833008241	
1815.0	-446.731199806229	
1814.0	-441.265628545695	
1813.0	-446.239520288279	
1812.0	-450.714686644908	
1811.0	-451.005029338415	
1810.0	-452.063315861904	
1809.0	-450.101780593864	
1808.0	-449.432480705918	
1807.0	-449.589899765519	
1806.0	-451.529856050504	
