# Vinther.Dye.2010
#-----------------------------------------------------------------------            
#                World Data Service for Paleoclimatology, Boulder            
#                                  and            
#                     NOAA Paleoclimatology Program            
#             National Centers for Environmental Information (NCEI)            
#-----------------------------------------------------------------------            
# Template Version 3.0            
# Encoding: UTF-8            
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.             
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Arc-Dye.Vinther.2010.txt
#     Online_Resource_Description:  This file.  NOAA WDS Paleo formatted metadata and data for version 2.0.0 of this dataset.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Arc-Dye.Vinther.2010.lpd
#     Online_Resource_Description:  Linked Paleo Data (LiPD) formatted file containing the same metadata and data as this file, for version 2.0.0 of this dataset.
#
# Original_Source_URL: https://doi.pangaea.de/10.1594/PANGAEA.786302
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: glacier ice
# Parameter_Keywords: 
# Dataset_DOI: 
#
#------------------
# Contribution_Date
#     Date: 
#------------------
# File_Last_Modified_Date
#     Modified_Date: 2017-05-19
#------------------
# Title
#     Study_Name: Vinther.Dye.2010
#------------------
# Investigators
#     Investigators: Vinther, B.M.;Jones, P.D.;Briffa, K.R.;Clausen, H.B.;Andersen, K.K.;Dahl-Jensen, D.;Johnsen, S.J.
#------------------
# Description_Notes_and_Keywords
#     Description: Low frequency
#------------------
# Publication
#     Authors: Vinther, B.M.;Jones, P.D.;Briffa, K.R.;Clausen, H.B.;Andersen, K.K.;Dahl-Jensen, D.;Johnsen, S.J.
#     Published_Date_or_Year: 2010
#     Published_Title: Climatic signals in multiple highly resolved stable isotope records from Greenland
#     Journal_Name: Quaternary Science Reviews
#     Volume: 29
#     Edition: 
#     Issue: 3-4
#     Pages: 522-538
#     Report: 
#     DOI: 10.1016/j.quascirev.2009.11.002
#     Online_Resource: doi.org
#     Full_Citation: 
#     Abstract: 
#------------------
# Funding_Agency
#     Funding_Agency_Name: 
#     Grant: 
#------------------
# Site_Information
#     Site_Name: Dye
#     Location: 
#     Country: 
#     Northernmost_Latitude: 65.18
#     Southernmost_Latitude: 65.18
#     Easternmost_Longitude: -43.83
#     Westernmost_Longitude: -43.83
#     Elevation: 2480
#------------------
# Data_Collection
#     Collection_Name: 
#     Earliest_Year: 1.0
#     Most_Recent_Year: 1978.0
#     Time_Unit: AD
#     Core_Length: 
#     Notes: 
#------------------
# Species
#     Species_Name: 
#     Species_Code: 
#     Common_Name: 
#------------------
# Chronology:        

#------------------
# Variables        
#
# Data variables follow that are preceded by "##" in columns one and two.        
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components ( 10 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data, additional_information)
#
##year	Year AD, ,,AD, , glacier ice, ,,N,   
##d18O	,,,permil, 1 2 3 4 5 6 7 8 9 10 11 12, glacier ice, ,,, ; archiveType changed - was originally ice core;  
#
#------------------
# Data:        
# Data lines follow (have no #)        
# Data line format - tab-delimited text, variable short name as header)        
# Missing_Values: nan
#
year           d18O	
1.0	-27.91	
2.0	-28.34	
3.0	-27.76	
4.0	-27.77	
5.0	-28.17	
6.0	-28.8	
7.0	-29.35	
8.0	-27.96	
9.0	-27.41	
10.0	-26.22	
11.0	-27.52	
12.0	-28.45	
13.0	-30.55	
14.0	-28.46	
15.0	-26.96	
16.0	-28.22	
17.0	-29.17	
18.0	-26.62	
19.0	-26.51	
20.0	-28.15	
21.0	-30.48	
22.0	-27.38	
23.0	-28.8	
24.0	-28.14	
25.0	-28.44	
26.0	-29.38	
27.0	-27.43	
28.0	-28.3	
29.0	-26.74	
30.0	-29.71	
31.0	-28.77	
32.0	-28.0	
33.0	-27.53	
34.0	-26.62	
35.0	-28.83	
36.0	-30.62	
37.0	-28.41	
38.0	-29.43	
39.0	-28.49	
40.0	-27.97	
41.0	-28.39	
42.0	-25.9	
43.0	-28.2	
44.0	-27.31	
45.0	-28.46	
46.0	-28.14	
47.0	-29.79	
48.0	-29.45	
49.0	-27.59	
50.0	-28.73	
51.0	-27.61	
52.0	-28.8	
53.0	-26.7	
54.0	-30.04	
55.0	-29.28	
56.0	-28.38	
57.0	-27.96	
58.0	-28.28	
59.0	-27.82	
60.0	-27.16	
61.0	-28.85	
62.0	-27.24	
63.0	-27.23	
64.0	-27.17	
65.0	-28.94	
66.0	-28.07	
67.0	-27.48	
68.0	-28.7	
69.0	-27.73	
70.0	-27.44	
71.0	-29.66	
72.0	-26.19	
73.0	-29.21	
74.0	-26.67	
75.0	-27.05	
76.0	-29.45	
77.0	-27.13	
78.0	-29.85	
79.0	-27.2	
80.0	-27.09	
81.0	-27.07	
82.0	-27.77	
83.0	-29.71	
84.0	-29.08	
85.0	-28.82	
86.0	-28.03	
87.0	-29.34	
88.0	-28.09	
89.0	-26.74	
90.0	-27.52	
91.0	-27.96	
92.0	-30.01	
93.0	-27.39	
94.0	-27.32	
95.0	-28.74	
96.0	-29.39	
97.0	-28.2	
98.0	-27.27	
99.0	-28.31	
100.0	-28.39	
101.0	-28.53	
102.0	-26.81	
103.0	-27.85	
104.0	-28.92	
105.0	-29.75	
106.0	-28.77	
107.0	-28.11	
108.0	-27.76	
109.0	-28.19	
110.0	-27.02	
111.0	-29.25	
112.0	-29.54	
113.0	-27.63	
114.0	-30.03	
115.0	-29.44	
116.0	-28.52	
117.0	-26.27	
118.0	-27.9	
119.0	-29.78	
120.0	-28.02	
121.0	-27.13	
122.0	-26.17	
123.0	-27.94	
124.0	-27.9	
125.0	-27.75	
126.0	-28.3	
127.0	-27.37	
128.0	-28.8	
129.0	-28.76	
130.0	-29.05	
131.0	-25.63	
132.0	-28.85	
133.0	-27.32	
134.0	-27.13	
135.0	-26.78	
136.0	-28.64	
137.0	-28.48	
138.0	-28.95	
139.0	-28.09	
140.0	-25.82	
141.0	-28.24	
142.0	-28.76	
143.0	-27.91	
144.0	-29.03	
145.0	-27.6	
146.0	-28.73	
147.0	-28.22	
148.0	-25.75	
149.0	-27.67	
150.0	-28.87	
151.0	-28.18	
152.0	-29.07	
153.0	-30.2	
154.0	-28.27	
155.0	-28.35	
156.0	-28.38	
157.0	-29.11	
158.0	-28.86	
159.0	-28.33	
160.0	-29.32	
161.0	-28.59	
162.0	-27.55	
163.0	-27.78	
164.0	-29.2	
165.0	-26.71	
166.0	-29.33	
167.0	-31.16	
168.0	-27.62	
169.0	-28.87	
