# Lamoureux.Lake_C2.1996
#-----------------------------------------------------------------------            
#                World Data Service for Paleoclimatology, Boulder            
#                                  and            
#                     NOAA Paleoclimatology Program            
#             National Centers for Environmental Information (NCEI)            
#-----------------------------------------------------------------------            
# Template Version 3.0            
# Encoding: UTF-8            
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.             
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Arc-LakeC2.Lamoureux.1996.txt
#     Online_Resource_Description:  This file.  NOAA WDS Paleo formatted metadata and data for version 2.0.0 of this dataset.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Arc-LakeC2.Lamoureux.1996.lpd
#     Online_Resource_Description:  Linked Paleo Data (LiPD) formatted file containing the same metadata and data as this file, for version 2.0.0 of this dataset.
#
# Original_Source_URL: https://www.ncdc.noaa.gov/paleo/study/8662
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: lake sediment
# Parameter_Keywords: 
# Dataset_DOI: 
#
#------------------
# Contribution_Date
#     Date: 
#------------------
# File_Last_Modified_Date
#     Modified_Date: 2017-05-19
#------------------
# Title
#     Study_Name: Lamoureux.Lake_C2.1996
#------------------
# Investigators
#     Investigators: Lamoureux, Scott F.;Bradley, Raymond S.
#------------------
# Description_Notes_and_Keywords
#     Description: 
#------------------
# Publication
#     Authors: Lamoureux, Scott F.;Bradley, Raymond S.
#     Published_Date_or_Year: 1996
#     Published_Title: A late Holocene varved sediment record of environmental change from northern Ellesmere Island, Canada
#     Journal_Name: Journal of Paleolimnology
#     Volume: 16
#     Edition: 
#     Issue: 2
#     Pages: 239-255
#     Report: 
#     DOI: 10.1007/BF00176939
#     Online_Resource: doi.org
#     Full_Citation: 
#     Abstract: 
#------------------
# Funding_Agency
#     Funding_Agency_Name: 
#     Grant: 
#------------------
# Site_Information
#     Site_Name: Lake C2
#     Location: 
#     Country: 
#     Northernmost_Latitude: 82.83
#     Southernmost_Latitude: 82.83
#     Easternmost_Longitude: -77.9
#     Westernmost_Longitude: -77.9
#     Elevation: 1.5
#------------------
# Data_Collection
#     Collection_Name: 
#     Earliest_Year: 
#     Most_Recent_Year: 1987.0
#     Time_Unit: AD
#     Core_Length: 
#     Notes: 
#------------------
# Species
#     Species_Name: 
#     Species_Code: 
#     Common_Name: 
#------------------
# Chronology:        

#------------------
# Variables        
#
# Data variables follow that are preceded by "##" in columns one and two.        
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components ( 10 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data, additional_information)
#
##year	Year AD, ,,AD, , lake sediment, ,,N,   
##thickness	,,,mm, 6 7 8, lake sediment, ,,, ; climateInterpretation_seasonality changed - was originally 6/7/2008; climateInterpretation_seasonality changed - was originally 6/7/2008;  
#
#------------------
# Data:        
# Data lines follow (have no #)        
# Data line format - tab-delimited text, variable short name as header)        
# Missing_Values: nan
#
year           thickness	
0.0	0.58332523	
1.0	0.78649816	
2.0	1.54347074	
3.0	1.39605299	
4.0	2.23155505	
5.0	0.81602148	
6.0	1.33371692	
7.0	0.924079	
8.0	2.0905712	
9.0	1.7073046	
10.0	1.09126314	
11.0	0.78324802	
12.0	1.56650046	
13.0	1.861815	
14.0	0.98964716	
15.0	0.81291722	
16.0	0.74413641	
17.0	0.75043638	
18.0	0.99590655	
19.0	0.95680383	
20.0	1.74942188	
21.0	0.58002131	
22.0	1.01936811	
23.0	1.29141743	
24.0	0.65188654	
25.0	0.72681277	
26.0	0.69086011	
27.0	1.66514487	
28.0	0.78939643	
29.0	0.75347272	
30.0	1.20504481	
31.0	0.61591255	
32.0	0.78632065	
33.0	0.54713296	
34.0	0.77729242	
35.0	0.90594042	
36.0	0.92681662	
37.0	0.71753161	
38.0	0.69058172	
39.0	0.79221475	
40.0	1.15113651	
41.0	0.54710071	
42.0	0.68460633	
43.0	1.33628891	
44.0	0.55001442	
45.0	0.61583524	
46.0	0.65747806	
47.0	0.57419705	
48.0	1.87459651	
49.0	1.61116419	
50.0	1.96189148	
51.0	0.89076867	
52.0	2.06219735	
53.0	1.30603025	
54.0	1.5752593	
55.0	2.12686352	
56.0	0.48396742	
57.0	0.65436981	
58.0	1.7315426	
59.0	0.48110725	
60.0	0.51406244	
61.0	0.82472017	
62.0	0.64593646	
63.0	0.8576604	
64.0	2.127422	
65.0	2.68817517	
66.0	2.65530817	
67.0	2.02032641	
68.0	9.18321852	
69.0	0.6871505	
70.0	0.71741708	
71.0	3.94294154	
72.0	2.12792196	
73.0	0.65139158	
74.0	0.4095619	
75.0	0.86016865	
76.0	0.85747758	
77.0	0.3435177	
78.0	1.96317667	
79.0	0.44523187	
80.0	1.16788735	
81.0	0.65394396	
82.0	0.7556605	
83.0	0.7886858	
84.0	0.48085499	
85.0	1.05823553	
86.0	1.68421765	
87.0	1.86443559	
88.0	1.23895559	
89.0	0.57998757	
90.0	1.47545101	
91.0	0.48078584	
92.0	1.53391625	
93.0	0.85471133	
94.0	1.43469369	
95.0	0.82413707	
96.0	0.6486648	
97.0	0.85719064	
98.0	0.75291977	
99.0	0.68423995	
100.0	0.68423405	
101.0	0.44264946	
102.0	0.78107173	
103.0	0.67930996	
104.0	0.78354114	
105.0	1.43951122	
106.0	0.9919672	
107.0	0.99438055	
108.0	0.52339733	
109.0	0.55648579	
110.0	1.09612022	
111.0	1.32803943	
112.0	0.99191983	
113.0	0.75281236	
114.0	0.96112646	
115.0	1.23570954	
116.0	1.3682845	
117.0	2.56178719	
118.0	0.51834873	
119.0	1.23561196	
120.0	2.29377202	
121.0	2.30067552	
122.0	0.85456089	
123.0	1.1268213	
124.0	12.7145129	
125.0	2.06495866	
126.0	1.06498812	
127.0	1.46772267	
128.0	0.68633022	
129.0	0.61543942	
130.0	1.20215015	
131.0	1.09806444	
132.0	1.26627965	
133.0	0.72168386	
134.0	0.48037534	
135.0	1.26843998	
136.0	2.19847356	
137.0	0.6197718	
138.0	1.30377566	
139.0	0.4803292	
140.0	0.64862571	
141.0	0.58430965	
142.0	1.20182526	
143.0	0.75687959	
