# Moore.Lake_Donard_Baffin_Island.2001
#-----------------------------------------------------------------------            
#                World Data Service for Paleoclimatology, Boulder            
#                                  and            
#                     NOAA Paleoclimatology Program            
#             National Centers for Environmental Information (NCEI)            
#-----------------------------------------------------------------------            
# Template Version 3.0            
# Encoding: UTF-8            
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.             
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Arc-LakeDonardBaffinIsland.Moore.2001.txt
#     Online_Resource_Description:  This file.  NOAA WDS Paleo formatted metadata and data for version 2.0.0 of this dataset.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Arc-LakeDonardBaffinIsland.Moore.2001.lpd
#     Online_Resource_Description:  Linked Paleo Data (LiPD) formatted file containing the same metadata and data as this file, for version 2.0.0 of this dataset.
#
# Original_Source_URL: https://www.ncdc.noaa.gov/paleo/study/6234
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: lake sediment
# Parameter_Keywords: 
# Dataset_DOI: 
#
#------------------
# Contribution_Date
#     Date: 
#------------------
# File_Last_Modified_Date
#     Modified_Date: 2017-05-19
#------------------
# Title
#     Study_Name: Moore.Lake_Donard_Baffin_Island.2001
#------------------
# Investigators
#     Investigators: Moore, J.J.;Hughen, K.A.;Miller, G.H.;Overpeck, J.T.
#------------------
# Description_Notes_and_Keywords
#     Description: Valid only for > 3yr time scales
#------------------
# Publication
#     Authors: Moore, J.J.;Hughen, K.A.;Miller, G.H.;Overpeck, J.T.
#     Published_Date_or_Year: 2001
#     Published_Title: Little Ice Age recorded in summer temperature reconstruction from vared sediments of Donard Lake, Baffin Island, Canada
#     Journal_Name: Journal of Paleolimnology
#     Volume: 25
#     Edition: 
#     Issue: 
#     Pages: 503-517
#     Report: 
#     DOI: 10.1023/A:1011181301514
#     Online_Resource: doi.org
#     Full_Citation: 
#     Abstract: 
#------------------
# Funding_Agency
#     Funding_Agency_Name: 
#     Grant: 
#------------------
# Site_Information
#     Site_Name: Lake Donard Baffin Island
#     Location: 
#     Country: 
#     Northernmost_Latitude: 66.73
#     Southernmost_Latitude: 66.73
#     Easternmost_Longitude: -61.35
#     Westernmost_Longitude: -61.35
#     Elevation: 500
#------------------
# Data_Collection
#     Collection_Name: 
#     Earliest_Year: 752.0
#     Most_Recent_Year: 1992.0
#     Time_Unit: AD
#     Core_Length: 
#     Notes: 
#------------------
# Species
#     Species_Name: 
#     Species_Code: 
#     Common_Name: 
#------------------
# Chronology:        

#------------------
# Variables        
#
# Data variables follow that are preceded by "##" in columns one and two.        
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components ( 10 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data, additional_information)
#
##year	Year AD, ,,AD, , lake sediment, ,,N,   
##thickness	,,,mm, 6 7 8, lake sediment, removed coarse material (flood layers), ,, ; climateInterpretation_seasonality changed - was originally 6/7/2008; climateInterpretation_seasonality changed - was originally 6/7/2008;  
#
#------------------
# Data:        
# Data lines follow (have no #)        
# Data line format - tab-delimited text, variable short name as header)        
# Missing_Values: nan
#
year           thickness	
752.0	0.3	
753.0	0.5	
754.0	0.43	
755.0	0.38	
756.0	0.6	
757.0	0.57	
758.0	0.38	
759.0	0.34	
760.0	0.34	
761.0	0.46	
762.0	0.38	
763.0	0.4	
764.0	0.35	
765.0	0.45	
766.0	0.57	
767.0	0.75	
768.0	0.45	
769.0	0.77	
770.0	0.61	
771.0	0.97	
772.0	1.28	
773.0	0.31	
774.0	0.63	
775.0	0.57	
776.0	0.84	
777.0	0.37	
778.0	0.9	
779.0	0.67	
780.0	1.28	
781.0	1.63	
782.0	0.69	
783.0	0.61	
784.0	0.71	
785.0	0.44	
786.0	1.38	
787.0	0.63	
788.0	0.93	
789.0	0.43	
790.0	0.88	
791.0	0.55	
792.0	0.47	
793.0	0.51	
794.0	0.43	
795.0	0.41	
796.0	0.63	
797.0	1.07	
798.0	0.44	
799.0	0.65	
800.0	2.04	
801.0	0.89	
802.0	0.67	
803.0	0.49	
804.0	0.73	
805.0	0.85	
806.0	1.66	
807.0	0.97	
808.0	0.6	
809.0	0.52	
810.0	0.91	
811.0	0.37	
812.0	0.69	
813.0	0.61	
814.0	0.5	
815.0	0.56	
816.0	0.85	
817.0	0.56	
818.0	0.64	
819.0	0.66	
820.0	1.61	
821.0	0.66	
822.0	0.62	
823.0	1.64	
824.0	0.5	
825.0	0.37	
826.0	0.42	
827.0	0.52	
828.0	0.63	
829.0	1.08	
830.0	0.5	
831.0	0.66	
832.0	0.76	
833.0	0.79	
834.0	0.56	
835.0	0.66	
836.0	0.71	
837.0	0.96	
838.0	0.49	
839.0	1.12	
840.0	0.67	
841.0	0.74	
842.0	1.65	
843.0	1.94	
844.0	0.94	
845.0	0.7	
846.0	0.41	
847.0	0.63	
848.0	0.47	
849.0	0.44	
850.0	0.42	
851.0	0.4	
852.0	1.48	
853.0	1.13	
854.0	0.72	
855.0	1.26	
856.0	0.96	
857.0	0.81	
858.0	0.62	
859.0	0.81	
860.0	0.47	
861.0	1.52	
862.0	0.32	
863.0	1.77	
864.0	0.44	
865.0	0.5	
866.0	0.91	
867.0	1.03	
868.0	1.0	
869.0	1.21	
870.0	0.69	
871.0	1.1	
872.0	0.55	
873.0	1.05	
874.0	1.03	
875.0	0.58	
876.0	0.78	
877.0	0.56	
878.0	0.52	
879.0	0.32	
880.0	0.3	
881.0	0.39	
882.0	0.89	
883.0	0.52	
884.0	0.44	
885.0	0.89	
886.0	0.83	
887.0	1.05	
888.0	1.16	
889.0	0.76	
890.0	1.09	
891.0	0.41	
892.0	0.66	
893.0	0.76	
894.0	0.76	
895.0	0.61	
896.0	0.67	
897.0	0.62	
898.0	0.55	
899.0	0.57	
900.0	0.64	
901.0	0.84	
902.0	0.62	
903.0	1.53	
904.0	0.9	
905.0	0.76	
906.0	0.79	
907.0	0.71	
908.0	0.69	
909.0	0.6	
910.0	0.95	
911.0	0.86	
912.0	0.62	
913.0	0.51	
914.0	0.57	
915.0	0.55	
916.0	1.16	
917.0	0.35	
918.0	0.59	
919.0	0.64	
920.0	0.49	
921.0	1.21	
922.0	0.96	
923.0	0.53	
924.0	0.53	
925.0	0.36	
926.0	0.71	
927.0	0.65	
928.0	0.86	
929.0	0.9	
930.0	1.39	
931.0	0.47	
932.0	0.86	
933.0	1.23	
934.0	0.51	
935.0	0.41	
936.0	0.49	
937.0	0.74	
