# Porter.Mackenzie_Delta.2013
#-----------------------------------------------------------------------            
#                World Data Service for Paleoclimatology, Boulder            
#                                  and            
#                     NOAA Paleoclimatology Program            
#             National Centers for Environmental Information (NCEI)            
#-----------------------------------------------------------------------            
# Template Version 3.0            
# Encoding: UTF-8            
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.             
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Arc-MackenzieDelta.Porter.2013-2.txt
#     Online_Resource_Description:  This file.  NOAA WDS Paleo formatted metadata and data for version 2.0.0 of this dataset.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Arc-MackenzieDelta.Porter.2013.lpd
#     Online_Resource_Description:  Linked Paleo Data (LiPD) formatted file containing the same metadata and data as this file, for version 2.0.0 of this dataset.
#
# Original_Source_URL: https://www.ncdc.noaa.gov/paleo/study/19851
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: tree
# Parameter_Keywords: 
# Dataset_DOI: 
#
#------------------
# Contribution_Date
#     Date: 
#------------------
# File_Last_Modified_Date
#     Modified_Date: 2017-05-19
#------------------
# Title
#     Study_Name: Porter.Mackenzie_Delta.2013
#------------------
# Investigators
#     Investigators: Porter, Trevor J.;Pisaric, Michael F.J.;Kokelj, Steven V.;deMontigny, Peter
#------------------
# Description_Notes_and_Keywords
#     Description: Strong sign-to-noise ratio in the mean divergence-free regional chronology (representing a network of 29 sites in the Mackenzie Delta region) with Expressed Population Signal (EPS) > 0.85 since AD 1400, and EPS > 0.7 back to AD 1245. The chronology shares a moderate to strong positive correlation with local summer temperatures (r = 0.6, p < 0.001) over the calibration period, and moderate to strong correlations with several other reconstructions from surrounding regions spanning the last millenium.;Rejected - not 300 years long
#------------------
# Publication
#     Authors: Porter, Trevor J.;Pisaric, Michael F.J.;Kokelj, Steven V.;deMontigny, Peter
#     Published_Date_or_Year: 2013
#     Published_Title: A ring-width-based reconstruction of June–July minimum temperatures since AD1245 from white spruce stands in the Mackenzie Delta region, northwestern Canada
#     Journal_Name: Quaternary Research
#     Volume: 80
#     Edition: 
#     Issue: 2
#     Pages: 167-179
#     Report: 
#     DOI: 10.1016/j.yqres.2013.05.004
#     Online_Resource: doi.org
#     Full_Citation: 
#     Abstract: 
#------------------
# Publication
#     Authors: Porter, Trevor J.;Pisaric, Michael F. J.;Field, Robert D.;Kokelj, Steven V.;Edwards, Thomas W. D.;deMontigny, Peter;Healy, Richard;LeGrande, Allegra N.
#     Published_Date_or_Year: 2013
#     Published_Title: Spring-summer temperatures since AD 1780 reconstructed from stable oxygen isotope ratios in white spruce tree-rings from the Mackenzie Delta, northwestern Canada
#     Journal_Name: Climate Dynamics
#     Volume: 42
#     Edition: 
#     Issue: 
#     Pages: 167-179
#     Report: 
#     DOI: 10.1007/s00382-013-1674-3
#     Online_Resource: doi.org
#     Full_Citation: 
#     Abstract: 
#------------------
# Funding_Agency
#     Funding_Agency_Name: 
#     Grant: 
#------------------
# Site_Information
#     Site_Name: Mackenzie Delta
#     Location: 
#     Country: 
#     Northernmost_Latitude: 68.625
#     Southernmost_Latitude: 68.625
#     Easternmost_Longitude: -133.87
#     Westernmost_Longitude: -133.87
#     Elevation: 5
#------------------
# Data_Collection
#     Collection_Name: 
#     Earliest_Year: 1245.0
#     Most_Recent_Year: 2007.0
#     Time_Unit: AD
#     Core_Length: 
#     Notes: 
#------------------
# Species
#     Species_Name: 
#     Species_Code: 
#     Common_Name: 
#------------------
# Chronology:        

#------------------
# Variables        
#
# Data variables follow that are preceded by "##" in columns one and two.        
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components ( 10 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data, additional_information)
#
##year	Year AD, ,,AD, , tree, ,,N,   
##trsgi	ring width index, Tree Ring, ,NA, 6 7, tree, annual resolution, linear regression, N,  ; climateInterpretation_seasonality changed - was originally 6 7; 0.86;  
#
#------------------
# Data:        
# Data lines follow (have no #)        
# Data line format - tab-delimited text, variable short name as header)        
# Missing_Values: nan
#
year           trsgi	
1245.0	6.3871358	
1246.0	5.5199089	
1247.0	5.8857032	
1248.0	5.5310039	
1249.0	5.3899376	
1250.0	5.4635768	
1251.0	6.2120376	
1252.0	6.0812414	
1253.0	6.0955015	
1254.0	5.5132514	
1255.0	5.9205109	
1256.0	5.7312359	
1257.0	6.0535006	
1258.0	5.0399349	
1259.0	5.7720027	
1260.0	5.095092	
1261.0	5.1500056	
1262.0	4.888644	
1263.0	4.7839599	
1264.0	5.2295977	
1265.0	4.7564435	
1266.0	4.7010828	
1267.0	5.17309	
1268.0	5.3742723	
1269.0	5.4168954	
1270.0	4.8814956	
1271.0	4.8935759	
1272.0	5.0923198	
1273.0	5.159128	
1274.0	5.4733819	
1275.0	5.1779379	
1276.0	4.8715196	
1277.0	4.8518593	
1278.0	4.8382898	
1279.0	4.7614234	
1280.0	4.8564748	
1281.0	4.9989932	
1282.0	4.974164	
1283.0	5.0563667	
1284.0	5.2214679	
1285.0	4.746344	
1286.0	4.850809	
1287.0	4.9757708	
1288.0	5.0875447	
1289.0	4.6592758	
1290.0	4.7070797	
1291.0	5.2678837	
1292.0	4.7029017	
1293.0	4.9582913	
1294.0	5.0933061	
1295.0	4.7885115	
1296.0	5.2228872	
1297.0	5.3257926	
1298.0	4.8833593	
1299.0	5.1939189	
1300.0	5.016404	
1301.0	5.1923243	
1302.0	5.101023	
1303.0	5.8902973	
1304.0	5.3693271	
1305.0	5.0150775	
1306.0	5.5978122	
1307.0	5.0296761	
1308.0	5.4546923	
1309.0	5.2974141	
1310.0	5.1651835	
1311.0	5.5012269	
1312.0	5.6034048	
1313.0	5.3339929	
1314.0	5.4736538	
1315.0	5.5155844	
1316.0	5.3227193	
1317.0	5.6786332	
1318.0	5.1207491	
1319.0	5.714381	
1320.0	5.8156631	
1321.0	5.6390282	
1322.0	6.0593179	
1323.0	5.8861238	
1324.0	5.7295486	
1325.0	5.6957695	
1326.0	5.2348363	
1327.0	5.3019785	
1328.0	5.5140797	
1329.0	5.2645623	
1330.0	5.438635	
1331.0	5.6883474	
1332.0	5.839671	
1333.0	5.4267517	
1334.0	5.5388002	
1335.0	5.3685186	
1336.0	5.2683388	
1337.0	4.9709062	
1338.0	5.1723191	
1339.0	5.599258	
1340.0	4.7724304	
1341.0	5.4648642	
1342.0	5.328676	
1343.0	5.325526	
1344.0	5.23071	
1345.0	4.9309326	
1346.0	4.7425734	
1347.0	5.0867812	
1348.0	5.0231169	
1349.0	5.3421984	
1350.0	5.1523913	
1351.0	5.79688	
1352.0	5.5403777	
1353.0	5.1943814	
1354.0	4.6902431	
1355.0	5.1894566	
1356.0	5.3790481	
1357.0	5.6720845	
1358.0	5.4441544	
1359.0	5.0283656	
1360.0	4.91927	
1361.0	5.1196292	
1362.0	5.069384	
1363.0	5.2335072	
1364.0	4.9683186	
1365.0	5.0486783	
1366.0	5.3571846	
1367.0	5.6706304	
1368.0	4.9661297	
1369.0	5.7658957	
1370.0	5.253547	
1371.0	4.8899929	
1372.0	5.2933343	
1373.0	4.8224274	
1374.0	5.6520312	
1375.0	5.3810675	
1376.0	5.3137021	
1377.0	5.215453	
1378.0	4.8472437	
1379.0	5.0717671	
1380.0	5.4593645	
1381.0	5.6286143	
1382.0	5.5576447	
1383.0	5.5351751	
1384.0	5.2952743	
1385.0	5.6092329	
1386.0	5.2881478	
1387.0	5.3153334	
1388.0	5.1964207	
1389.0	5.4500876	
1390.0	5.4551973	
1391.0	5.3454885	
1392.0	5.5168757	
1393.0	5.9661431	
1394.0	6.0105018	
1395.0	5.6889102	
1396.0	5.426972	
1397.0	5.5173691	
1398.0	5.2549655	
1399.0	5.4608598	
1400.0	5.6296216	
1401.0	5.4034198	
1402.0	5.4757119	
1403.0	5.1261051	
1404.0	5.6966267	
1405.0	5.6061943	
1406.0	5.5406597	
1407.0	5.4514441	
1408.0	5.2033088	
1409.0	5.9034839	
1410.0	5.4632335	
1411.0	5.6029809	
1412.0	5.5681527	
1413.0	5.7255018	
1414.0	5.5400312	
1415.0	5.3173208	
1416.0	5.2280523	
1417.0	5.6377063	
1418.0	5.3666704	
1419.0	5.2728902	
1420.0	5.3729964	
1421.0	5.2545981	
1422.0	5.2099257	
1423.0	5.3743086	
1424.0	5.4467683	
1425.0	5.336459	
