# Fischer.NGT_B18.1998
#-----------------------------------------------------------------------            
#                World Data Service for Paleoclimatology, Boulder            
#                                  and            
#                     NOAA Paleoclimatology Program            
#             National Centers for Environmental Information (NCEI)            
#-----------------------------------------------------------------------            
# Template Version 3.0            
# Encoding: UTF-8            
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.             
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Arc-NGTB18.Schwager.1998.txt
#     Online_Resource_Description:  This file.  NOAA WDS Paleo formatted metadata and data for version 2.0.0 of this dataset.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Arc-NGTB18.Schwager.1998.lpd
#     Online_Resource_Description:  Linked Paleo Data (LiPD) formatted file containing the same metadata and data as this file, for version 2.0.0 of this dataset.
#
# Original_Source_URL: https://doi.pangaea.de/10.1594/PANGAEA.57158
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: glacier ice
# Parameter_Keywords: 
# Dataset_DOI: 
#
#------------------
# Contribution_Date
#     Date: 
#------------------
# File_Last_Modified_Date
#     Modified_Date: 2017-05-19
#------------------
# Title
#     Study_Name: Fischer.NGT_B18.1998
#------------------
# Investigators
#     Investigators: Fischer, H.;Werner, M.;Wagenbach, D.;Schwager, M.;Thorsteinnson, T.;Wilhelms, F.;Kipfstuhl, J.;Sommer, S.
#------------------
# Description_Notes_and_Keywords
#     Description: Low frequency
#------------------
# Publication
#     Authors: Fischer, H.;Werner, M.;Wagenbach, D.;Schwager, M.;Thorsteinnson, T.;Wilhelms, F.;Kipfstuhl, J.;Sommer, S.
#     Published_Date_or_Year: 1998
#     Published_Title: Little Ice Age clearly recorded in northern Greenland ice cores
#     Journal_Name: Geophys. Res. Lett.
#     Volume: 25
#     Edition: 
#     Issue: 10
#     Pages: 1749-1752
#     Report: 
#     DOI: 10.1029/98GL01177
#     Online_Resource: doi.org
#     Full_Citation: 
#     Abstract: 
#------------------
# Funding_Agency
#     Funding_Agency_Name: 
#     Grant: 
#------------------
# Site_Information
#     Site_Name: NGT B18
#     Location: 
#     Country: 
#     Northernmost_Latitude: 76.62
#     Southernmost_Latitude: 76.62
#     Easternmost_Longitude: -36.4
#     Westernmost_Longitude: -36.4
#     Elevation: 2508
#------------------
# Data_Collection
#     Collection_Name: 
#     Earliest_Year: 871.0
#     Most_Recent_Year: 1992.0
#     Time_Unit: AD
#     Core_Length: 
#     Notes: 
#------------------
# Species
#     Species_Name: 
#     Species_Code: 
#     Common_Name: 
#------------------
# Chronology:        

#------------------
# Variables        
#
# Data variables follow that are preceded by "##" in columns one and two.        
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components ( 10 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data, additional_information)
#
##year	Year AD, ,,AD, , glacier ice, ,,N,   
##d18O	,,,permil, 6 7 8, glacier ice, use at least 3yr averages, ,, ; climateInterpretation_seasonality changed - was originally 6/7/2008; archiveType changed - was originally ice core; climateInterpretation_seasonality changed - was originally 6/7/2008;  
#
#------------------
# Data:        
# Data lines follow (have no #)        
# Data line format - tab-delimited text, variable short name as header)        
# Missing_Values: nan
#
year           d18O	
871.0	-34.9	
872.0	-34.92	
873.0	-36.24	
874.0	-37.08	
875.0	-37.15	
876.0	-36.8	
877.0	-36.77	
878.0	-36.56	
879.0	-36.31	
880.0	-36.28	
881.0	-36.25	
882.0	-36.38	
883.0	-36.72	
884.0	-37.09	
885.0	-37.4	
886.0	-37.5	
887.0	-37.07	
888.0	-36.87	
889.0	-36.78	
890.0	-36.86	
891.0	-37.16	
892.0	-37.6	
893.0	-37.45	
894.0	-36.51	
895.0	-36.59	
896.0	-37.54	
897.0	-38.01	
898.0	-37.45	
899.0	-37.12	
900.0	-36.38	
901.0	-35.85	
902.0	-36.15	
903.0	-35.37	
904.0	-35.66	
905.0	-34.37	
906.0	-33.05	
907.0	-33.77	
908.0	-35.16	
909.0	-35.1	
910.0	-35.11	
911.0	-36.11	
912.0	-36.5	
913.0	-36.55	
914.0	-36.54	
915.0	-36.65	
916.0	-36.45	
917.0	-36.53	
918.0	-36.9	
919.0	-36.99	
920.0	-36.16	
921.0	-35.38	
922.0	-35.18	
923.0	-36.3	
924.0	-36.69	
925.0	-35.99	
926.0	-36.3	
927.0	-36.58	
928.0	-36.16	
929.0	-36.95	
930.0	-36.95	
931.0	-36.72	
932.0	-36.01	
933.0	-36.04	
934.0	-36.48	
935.0	-37.3	
936.0	-37.98	
937.0	-38.05	
938.0	-37.26	
939.0	-36.56	
940.0	-35.74	
941.0	-35.24	
942.0	-35.35	
943.0	-35.42	
944.0	-35.77	
945.0	-36.42	
946.0	-36.68	
947.0	-36.19	
948.0	-35.81	
949.0	-35.99	
950.0	-36.63	
951.0	-36.84	
952.0	-35.89	
953.0	-36.21	
954.0	-37.11	
955.0	-35.83	
956.0	-35.9	
957.0	-36.01	
958.0	-35.14	
959.0	-33.97	
960.0	-33.79	
961.0	-34.32	
962.0	-35.73	
963.0	-34.66	
964.0	-36.21	
965.0	-36.68	
966.0	-36.38	
967.0	-36.55	
968.0	-37.02	
969.0	-36.71	
970.0	-35.99	
971.0	-36.26	
972.0	-34.59	
973.0	-33.71	
974.0	-34.74	
975.0	-36.07	
976.0	-36.94	
977.0	-36.58	
978.0	-36.11	
979.0	-36.99	
980.0	-37.93	
981.0	-38.0	
982.0	-36.94	
983.0	-35.37	
984.0	-35.03	
985.0	-36.68	
986.0	-38.51	
987.0	-39.44	
988.0	-39.09	
989.0	-37.87	
990.0	-36.69	
991.0	-36.26	
992.0	-35.25	
993.0	-36.32	
994.0	-37.33	
995.0	-37.73	
996.0	-37.67	
997.0	-37.32	
998.0	-36.77	
999.0	-36.56	
1000.0	-36.81	
1001.0	-37.62	
1002.0	-37.21	
1003.0	-36.92	
1004.0	-36.62	
1005.0	-35.9	
1006.0	-36.09	
1007.0	-35.93	
1008.0	-35.15	
1009.0	-35.11	
1010.0	-35.72	
1011.0	-36.24	
1012.0	-36.38	
1013.0	-36.9	
1014.0	-37.4	
1015.0	-36.83	
1016.0	-35.57	
1017.0	-34.96	
1018.0	-35.86	
1019.0	-37.06	
1020.0	-36.3	
1021.0	-35.9	
1022.0	-36.12	
1023.0	-36.4	
1024.0	-36.48	
1025.0	-36.8	
1026.0	-37.55	
1027.0	-36.92	
1028.0	-36.06	
1029.0	-34.95	
1030.0	-35.14	
1031.0	-34.95	
1032.0	-35.41	
1033.0	-36.43	
1034.0	-36.8	
1035.0	-36.5	
1036.0	-36.82	
