# Fischer.NGT_B21.1998
#-----------------------------------------------------------------------            
#                World Data Service for Paleoclimatology, Boulder            
#                                  and            
#                     NOAA Paleoclimatology Program            
#             National Centers for Environmental Information (NCEI)            
#-----------------------------------------------------------------------            
# Template Version 3.0            
# Encoding: UTF-8            
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.             
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Arc-NGTB21.Schwager.1998.txt
#     Online_Resource_Description:  This file.  NOAA WDS Paleo formatted metadata and data for version 2.0.0 of this dataset.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Arc-NGTB21.Schwager.1998.lpd
#     Online_Resource_Description:  Linked Paleo Data (LiPD) formatted file containing the same metadata and data as this file, for version 2.0.0 of this dataset.
#
# Original_Source_URL: https://doi.pangaea.de/10.1594/PANGAEA.57291
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: glacier ice
# Parameter_Keywords: 
# Dataset_DOI: 
#
#------------------
# Contribution_Date
#     Date: 
#------------------
# File_Last_Modified_Date
#     Modified_Date: 2017-05-19
#------------------
# Title
#     Study_Name: Fischer.NGT_B21.1998
#------------------
# Investigators
#     Investigators: Fischer, H.;Werner, M.;Wagenbach, D.;Schwager, M.;Thorsteinnson, T.;Wilhelms, F.;Kipfstuhl, J.;Sommer, S.
#------------------
# Description_Notes_and_Keywords
#     Description: Low frequency
#------------------
# Publication
#     Authors: Fischer, H.;Werner, M.;Wagenbach, D.;Schwager, M.;Thorsteinnson, T.;Wilhelms, F.;Kipfstuhl, J.;Sommer, S.
#     Published_Date_or_Year: 1998
#     Published_Title: Little Ice Age clearly recorded in northern Greenland ice cores
#     Journal_Name: Geophys. Res. Lett.
#     Volume: 25
#     Edition: 
#     Issue: 10
#     Pages: 1749-1752
#     Report: 
#     DOI: 10.1029/98GL01177
#     Online_Resource: doi.org
#     Full_Citation: 
#     Abstract: 
#------------------
# Funding_Agency
#     Funding_Agency_Name: 
#     Grant: 
#------------------
# Site_Information
#     Site_Name: NGT B21
#     Location: 
#     Country: 
#     Northernmost_Latitude: 80
#     Southernmost_Latitude: 80
#     Easternmost_Longitude: -41.14
#     Westernmost_Longitude: -41.14
#     Elevation: 2185
#------------------
# Data_Collection
#     Collection_Name: 
#     Earliest_Year: 1397.0
#     Most_Recent_Year: 1993.0
#     Time_Unit: AD
#     Core_Length: 
#     Notes: 
#------------------
# Species
#     Species_Name: 
#     Species_Code: 
#     Common_Name: 
#------------------
# Chronology:        

#------------------
# Variables        
#
# Data variables follow that are preceded by "##" in columns one and two.        
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components ( 10 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data, additional_information)
#
##year	Year AD, ,,AD, , glacier ice, ,,N,   
##d18O	,,,permil, 6 7 8, glacier ice, use at least 3yr averages, ,, ; climateInterpretation_seasonality changed - was originally 6/7/2008; archiveType changed - was originally ice core; climateInterpretation_seasonality changed - was originally 6/7/2008;  
#
#------------------
# Data:        
# Data lines follow (have no #)        
# Data line format - tab-delimited text, variable short name as header)        
# Missing_Values: nan
#
year           d18O	
1397.0	-33.64	
1398.0	-33.71	
1399.0	-35.08	
1400.0	-35.68	
1401.0	-36.09	
1402.0	-35.84	
1403.0	-35.08	
1404.0	-34.73	
1405.0	-34.8	
1406.0	-34.28	
1407.0	-33.46	
1408.0	-32.99	
1409.0	-33.87	
1410.0	-33.84	
1411.0	-33.99	
1412.0	-34.09	
1413.0	-34.93	
1414.0	-35.55	
1415.0	-34.01	
1416.0	-30.67	
1417.0	-31.6	
1418.0	-33.31	
1419.0	-34.06	
1420.0	-34.4	
1421.0	-34.19	
1422.0	-33.4	
1423.0	-32.7	
1424.0	-32.83	
1425.0	-33.09	
1426.0	-32.76	
1427.0	-32.45	
1428.0	-32.84	
1429.0	-32.68	
1430.0	-31.85	
1431.0	-32.35	
1432.0	-32.82	
1433.0	-32.95	
1434.0	-33.55	
1435.0	-34.4	
1436.0	-35.11	
1437.0	-33.52	
1438.0	-32.63	
1439.0	-33.6	
1440.0	-34.33	
1441.0	-34.72	
1442.0	-34.7	
1443.0	-34.08	
1444.0	-33.41	
1445.0	-34.69	
1446.0	-33.67	
1447.0	-33.03	
1448.0	-34.33	
1449.0	-35.08	
1450.0	-34.41	
1451.0	-32.96	
1452.0	-33.1	
1453.0	-32.69	
1454.0	-32.98	
1455.0	-33.92	
1456.0	-35.2	
1457.0	-35.78	
1458.0	-35.94	
1459.0	-36.06	
1460.0	-35.71	
1461.0	-35.82	
1462.0	-35.76	
1463.0	-35.01	
1464.0	-34.72	
1465.0	-34.25	
1466.0	-34.94	
1467.0	-35.13	
1468.0	-35.03	
1469.0	-35.14	
1470.0	-34.42	
1471.0	-35.1	
1472.0	-36.46	
1473.0	-36.01	
1474.0	-35.01	
1475.0	-33.96	
1476.0	-33.72	
1477.0	-33.85	
1478.0	-34.73	
1479.0	-36.03	
1480.0	-35.93	
1481.0	-33.9	
1482.0	-34.06	
1483.0	-34.44	
1484.0	-35.09	
1485.0	-35.72	
1486.0	-35.79	
1487.0	-34.93	
1488.0	-35.16	
1489.0	-35.45	
1490.0	-35.26	
1491.0	-34.22	
1492.0	-33.07	
1493.0	-33.23	
1494.0	-33.77	
1495.0	-34.32	
1496.0	-36.02	
1497.0	-36.13	
1498.0	-34.53	
1499.0	-33.13	
1500.0	-33.02	
1501.0	-33.6	
1502.0	-34.29	
1503.0	-34.04	
1504.0	-34.73	
1505.0	-34.7	
1506.0	-34.73	
1507.0	-34.01	
1508.0	-32.72	
1509.0	-32.93	
1510.0	-33.78	
1511.0	-35.16	
1512.0	-36.41	
1513.0	-36.68	
1514.0	-36.29	
1515.0	-35.17	
1516.0	-35.02	
1517.0	-35.42	
1518.0	-34.6	
1519.0	-33.46	
1520.0	-34.1	
1521.0	-33.56	
1522.0	-32.79	
1523.0	-32.81	
1524.0	-34.34	
1525.0	-35.36	
1526.0	-34.54	
1527.0	-32.96	
1528.0	-32.3	
1529.0	-32.38	
1530.0	-32.88	
1531.0	-34.08	
1532.0	-34.89	
1533.0	-34.17	
1534.0	-33.55	
1535.0	-33.89	
1536.0	-33.76	
1537.0	-34.24	
1538.0	-34.58	
1539.0	-35.75	
1540.0	-35.93	
1541.0	-35.67	
1542.0	-35.42	
1543.0	-34.51	
1544.0	-33.27	
1545.0	-32.87	
1546.0	-33.51	
1547.0	-33.78	
1548.0	-34.13	
1549.0	-34.82	
1550.0	-34.85	
