# Vinther.Renland.2008
#-----------------------------------------------------------------------            
#                World Data Service for Paleoclimatology, Boulder            
#                                  and            
#                     NOAA Paleoclimatology Program            
#             National Centers for Environmental Information (NCEI)            
#-----------------------------------------------------------------------            
# Template Version 3.0            
# Encoding: UTF-8            
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.             
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Arc-Renland.Vinther.2008.txt
#     Online_Resource_Description:  This file.  NOAA WDS Paleo formatted metadata and data for version 2.0.0 of this dataset.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Arc-Renland.Vinther.2008.lpd
#     Online_Resource_Description:  Linked Paleo Data (LiPD) formatted file containing the same metadata and data as this file, for version 2.0.0 of this dataset.
#
# Original_Source_URL: https://www.ncdc.noaa.gov/paleo/study/11131
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: glacier ice
# Parameter_Keywords: 
# Dataset_DOI: 
#
#------------------
# Contribution_Date
#     Date: 
#------------------
# File_Last_Modified_Date
#     Modified_Date: 2017-05-19
#------------------
# Title
#     Study_Name: Vinther.Renland.2008
#------------------
# Investigators
#     Investigators: Vinther, B. M.;Clausen, H. B.;Fisher, D. A.;Koerner, R. M.;Johnsen, S. J.;Andersen, K. K.;Dahl-Jensen, D.;Rasmussen, S. O.;Steffensen, J. P.;Svensson, A. M.
#------------------
# Description_Notes_and_Keywords
#     Description: 
#------------------
# Publication
#     Authors: Vinther, B. M.;Clausen, H. B.;Fisher, D. A.;Koerner, R. M.;Johnsen, S. J.;Andersen, K. K.;Dahl-Jensen, D.;Rasmussen, S. O.;Steffensen, J. P.;Svensson, A. M.
#     Published_Date_or_Year: 2008
#     Published_Title: Synchronizing ice cores from the Renland and Agassiz ice caps to the Greenland Ice Core Chronology
#     Journal_Name: J. Geophys. Res.
#     Volume: 113
#     Edition: 
#     Issue: D8
#     Pages: 
#     Report: 
#     DOI: 10.1029/2007JD009143
#     Online_Resource: doi.org
#     Full_Citation: 
#     Abstract: 
#------------------
# Funding_Agency
#     Funding_Agency_Name: 
#     Grant: 
#------------------
# Site_Information
#     Site_Name: Renland
#     Location: 
#     Country: 
#     Northernmost_Latitude: 71.27
#     Southernmost_Latitude: 71.27
#     Easternmost_Longitude: -26.73
#     Westernmost_Longitude: -26.73
#     Elevation: 2350
#------------------
# Data_Collection
#     Collection_Name: 
#     Earliest_Year: 3.0
#     Most_Recent_Year: 1983.0
#     Time_Unit: AD
#     Core_Length: 
#     Notes: 
#------------------
# Species
#     Species_Name: 
#     Species_Code: 
#     Common_Name: 
#------------------
# Chronology:        

#------------------
# Variables        
#
# Data variables follow that are preceded by "##" in columns one and two.        
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components ( 10 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data, additional_information)
#
##year	Year AD, ,,AD, , glacier ice, ,,N,   
##d18O	,,,permil, 7 8 9, glacier ice, ,,, ; climateInterpretation_seasonality changed - was originally 7/8/2009; archiveType changed - was originally ice core; climateInterpretation_seasonality changed - was originally 7/8/2009;  
#
#------------------
# Data:        
# Data lines follow (have no #)        
# Data line format - tab-delimited text, variable short name as header)        
# Missing_Values: nan
#
year           d18O	
3.0	-27.4	
8.0	-27.77	
13.0	-26.14	
18.0	-26.52	
23.0	-27.77	
28.0	-27.6	
33.0	-26.85	
38.0	-26.62	
43.0	-27.41	
48.0	-26.91	
53.0	-26.78	
58.0	-27.23	
63.0	-27.92	
68.0	-26.27	
73.0	-26.39	
78.0	-26.68	
83.0	-27.9	
88.0	-28.29	
93.0	-27.37	
98.0	-27.36	
103.0	-27.86	
108.0	-27.32	
113.0	-27.12	
118.0	-27.04	
123.0	-26.5	
128.0	-26.87	
133.0	-26.71	
138.0	-26.04	
143.0	-27.67	
148.0	-26.82	
153.0	-27.44	
158.0	-27.08	
163.0	-25.54	
168.0	-27.98	
173.0	-27.01	
178.0	-27.01	
183.0	-28.61	
188.0	-27.17	
193.0	-27.03	
198.0	-26.91	
203.0	-27.56	
208.0	-27.41	
213.0	-27.34	
218.0	-27.68	
223.0	-28.1	
228.0	-27.83	
233.0	-27.25	
238.0	-27.32	
243.0	-27.99	
248.0	-27.3	
253.0	-26.73	
258.0	-27.3	
263.0	-27.12	
268.0	-27.65	
273.0	-28.52	
278.0	-27.06	
283.0	-27.14	
288.0	-27.01	
293.0	-26.69	
298.0	-26.32	
303.0	-27.34	
308.0	-28.22	
313.0	-28.15	
318.0	-27.21	
323.0	-27.05	
328.0	-26.51	
333.0	-27.13	
338.0	-26.75	
343.0	-26.53	
348.0	-27.69	
353.0	-27.11	
358.0	-27.7	
363.0	-27.69	
368.0	-27.07	
373.0	-27.24	
378.0	-27.03	
383.0	-27.67	
388.0	-26.85	
393.0	-26.72	
398.0	-27.19	
403.0	-26.37	
408.0	-27.05	
413.0	-26.56	
418.0	-25.83	
423.0	-26.92	
428.0	-26.59	
433.0	-26.59	
438.0	-26.73	
443.0	-27.36	
448.0	-27.07	
453.0	-26.58	
458.0	-26.87	
463.0	-27.37	
468.0	-27.85	
473.0	-28.38	
478.0	-27.83	
483.0	-28.14	
488.0	-27.14	
493.0	-27.41	
498.0	-26.13	
503.0	-26.84	
508.0	-26.82	
513.0	-26.87	
518.0	-27.33	
523.0	-27.12	
528.0	-27.62	
533.0	-27.08	
538.0	-27.25	
543.0	-27.44	
548.0	-26.4	
553.0	-26.92	
558.0	-26.83	
563.0	-27.03	
568.0	-26.31	
573.0	-27.56	
578.0	-27.18	
583.0	-27.24	
588.0	-28.07	
593.0	-27.28	
598.0	-27.26	
603.0	-27.41	
608.0	-27.47	
613.0	-26.86	
618.0	-27.41	
623.0	-27.62	
628.0	-26.85	
633.0	-26.8	
638.0	-27.01	
643.0	-27.82	
648.0	-27.52	
653.0	-27.61	
658.0	-27.16	
663.0	-26.84	
668.0	-28.22	
673.0	-27.13	
678.0	-26.94	
683.0	-27.57	
688.0	-28.2	
693.0	-27.3	
698.0	-27.61	
703.0	-27.41	
708.0	-27.56	
713.0	-27.57	
718.0	-27.14	
723.0	-27.83	
728.0	-26.03	
733.0	-27.83	
738.0	-27.11	
743.0	-27.24	
748.0	-26.7	
753.0	-27.12	
758.0	-26.76	
763.0	-26.32	
768.0	-26.74	
773.0	-25.95	
778.0	-27.03	
783.0	-28.11	
788.0	-27.35	
793.0	-27.68	
798.0	-28.38	
803.0	-27.46	
808.0	-28.14	
813.0	-26.99	
818.0	-27.49	
823.0	-26.97	
828.0	-26.7	
833.0	-27.58	
838.0	-26.37	
843.0	-26.48	
848.0	-27.34	
853.0	-27.64	
858.0	-26.66	
863.0	-27.18	
868.0	-26.93	
