# Buckley.Buckleys_Chance_Tasmania_(Site_ID:_BCH).1997
#-----------------------------------------------------------------------            
#                World Data Service for Paleoclimatology, Boulder            
#                                  and            
#                     NOAA Paleoclimatology Program            
#             National Centers for Environmental Information (NCEI)            
#-----------------------------------------------------------------------            
# Template Version 3.0            
# Encoding: UTF-8            
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.             
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Aus-BuckleysChance.Buckley.1997.txt
#     Online_Resource_Description:  This file.  NOAA WDS Paleo formatted metadata and data for version 2.0.0 of this dataset.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Aus-BuckleysChance.Buckley.1997.lpd
#     Online_Resource_Description:  Linked Paleo Data (LiPD) formatted file containing the same metadata and data as this file, for version 2.0.0 of this dataset.
#
# Original_Source_URL: https://www.ncdc.noaa.gov/paleo/study/1003968
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: tree
# Parameter_Keywords: 
# Dataset_DOI: 
#
#------------------
# Contribution_Date
#     Date: 
#------------------
# File_Last_Modified_Date
#     Modified_Date: 2017-05-19
#------------------
# Title
#     Study_Name: Buckley.Buckleys_Chance_Tasmania_(Site_ID:_BCH).1997
#------------------
# Investigators
#     Investigators: Buckley, B. M.;Cook, E. R.;Peterson, M. J.;Barbetti, M.
#------------------
# Description_Notes_and_Keywords
#     Description: Warm season T signal. Elevation estimated from GoogleEarth; rounded to 100 m
#------------------
# Publication
#     Authors: Buckley, B. M.;Cook, E. R.;Peterson, M. J.;Barbetti, M.
#     Published_Date_or_Year: 1997
#     Published_Title: A changing temperature response with elevation for lagarostrobos franklinii in Tasmania, Australia
#     Journal_Name: Climatic Change
#     Volume: 36
#     Edition: 
#     Issue: 
#     Pages: 477-498
#     Report: 
#     DOI: 10.1023/A:1005322332230
#     Online_Resource: doi.org
#     Full_Citation: 
#     Abstract: 
#------------------
# Funding_Agency
#     Funding_Agency_Name: 
#     Grant: 
#------------------
# Site_Information
#     Site_Name: Buckleys Chance Tasmania (Site ID: BCH)
#     Location: 
#     Country: 
#     Northernmost_Latitude: -42.27
#     Southernmost_Latitude: -42.27
#     Easternmost_Longitude: 145.87
#     Westernmost_Longitude: 145.87
#     Elevation: 900
#------------------
# Data_Collection
#     Collection_Name: 
#     Earliest_Year: 1463.0
#     Most_Recent_Year: 1991.0
#     Time_Unit: AD
#     Core_Length: 
#     Notes: 
#------------------
# Species
#     Species_Name: 
#     Species_Code: 
#     Common_Name: 
#------------------
# Chronology:        

#------------------
# Variables        
#
# Data variables follow that are preceded by "##" in columns one and two.        
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components ( 10 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data, additional_information)
#
##year	Year AD, ,,AD, , tree, ,,N,   
##trsgi	,wood, ,NA, -10 -11 -12 1 2 3 4, tree, Huon pine record; use either this record OR MtRead.Cook.2006 (not both), signal free, N,  ; climateInterpretation_seasonality changed - was originally 10 11 12 1 2 3 4; N/A;  
#
#------------------
# Data:        
# Data lines follow (have no #)        
# Data line format - tab-delimited text, variable short name as header)        
# Missing_Values: nan
#
year           trsgi	
1463.0	0.531	
1464.0	0.103	
1465.0	-0.359	
1466.0	-0.145	
1467.0	0.2	
1468.0	-0.324	
1469.0	0.483	
1470.0	0.048	
1471.0	-0.421	
1472.0	-1.208	
1473.0	-0.897	
1474.0	-0.973	
1475.0	-0.918	
1476.0	-0.414	
1477.0	-0.173	
1478.0	-0.166	
1479.0	0.711	
1480.0	-0.186	
1481.0	0.373	
1482.0	-1.249	
1483.0	-0.938	
1484.0	-0.386	
1485.0	-0.959	
1486.0	-0.373	
1487.0	0.262	
1488.0	0.49	
1489.0	0.048	
1490.0	0.386	
1491.0	1.546	
1492.0	2.001	
1493.0	3.312	
1494.0	2.056	
1495.0	1.904	
1496.0	2.284	
1497.0	1.594	
1498.0	1.932	
1499.0	0.718	
1500.0	1.249	
1501.0	0.842	
1502.0	2.346	
1503.0	2.146	
1504.0	2.001	
1505.0	0.814	
1506.0	0.655	
1507.0	1.414	
1508.0	1.932	
1509.0	0.918	
1510.0	-0.545	
1511.0	0.683	
1512.0	-0.359	
1513.0	-1.021	
1514.0	-0.131	
1515.0	-1.249	
1516.0	-0.035	
1517.0	-0.876	
1518.0	-2.042	
1519.0	-1.318	
1520.0	-1.877	
1521.0	-1.27	
1522.0	-0.938	
1523.0	-0.504	
1524.0	-0.262	
1525.0	-1.083	
1526.0	-1.373	
1527.0	-0.552	
1528.0	0.269	
1529.0	-1.09	
1530.0	-0.552	
1531.0	0.235	
1532.0	1.18	
1533.0	-0.083	
1534.0	0.0	
1535.0	0.849	
1536.0	0.49	
1537.0	-0.386	
1538.0	-0.193	
1539.0	-1.187	
1540.0	-0.186	
1541.0	1.49	
1542.0	0.014	
1543.0	-0.814	
1544.0	0.393	
1545.0	0.635	
1546.0	1.849	
1547.0	1.532	
1548.0	1.069	
1549.0	0.607	
1550.0	0.635	
1551.0	0.338	
1552.0	0.324	
1553.0	0.883	
1554.0	-0.104	
1555.0	-0.497	
1556.0	-0.38	
1557.0	-0.407	
1558.0	-0.566	
1559.0	-0.214	
1560.0	-0.359	
1561.0	0.379	
1562.0	0.635	
1563.0	0.248	
1564.0	0.517	
1565.0	1.408	
1566.0	0.966	
1567.0	1.021	
1568.0	-0.359	
1569.0	-0.242	
1570.0	0.78	
1571.0	0.793	
1572.0	2.035	
1573.0	1.408	
1574.0	-0.269	
1575.0	0.462	
1576.0	0.607	
1577.0	0.649	
1578.0	0.317	
1579.0	-0.055	
1580.0	0.724	
1581.0	0.193	
1582.0	-0.324	
1583.0	-0.186	
1584.0	-0.069	
1585.0	-1.132	
1586.0	-0.483	
1587.0	-0.662	
1588.0	-1.007	
1589.0	-0.083	
1590.0	-0.331	
1591.0	-0.656	
1592.0	0.0	
1593.0	-0.035	
1594.0	0.517	
1595.0	-0.552	
1596.0	-1.083	
1597.0	0.262	
1598.0	0.048	
1599.0	0.683	
1600.0	-0.083	
1601.0	-0.138	
1602.0	0.807	
1603.0	0.034	
1604.0	0.276	
1605.0	-0.166	
1606.0	-1.07	
1607.0	-1.256	
1608.0	0.766	
1609.0	0.193	
1610.0	1.973	
1611.0	0.317	
1612.0	0.552	
1613.0	1.663	
1614.0	-0.248	
1615.0	1.725	
1616.0	-0.214	
1617.0	0.807	
1618.0	1.152	
1619.0	0.324	
1620.0	0.724	
1621.0	0.711	
1622.0	0.386	
1623.0	-0.228	
1624.0	0.207	
1625.0	0.538	
1626.0	-0.311	
