# Cook.Oroko.2002
#-----------------------------------------------------------------------            
#                World Data Service for Paleoclimatology, Boulder            
#                                  and            
#                     NOAA Paleoclimatology Program            
#             National Centers for Environmental Information (NCEI)            
#-----------------------------------------------------------------------            
# Template Version 3.0            
# Encoding: UTF-8            
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.             
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Aus-Oroko.Cook.2002.txt
#     Online_Resource_Description:  This file.  NOAA WDS Paleo formatted metadata and data for version 2.0.0 of this dataset.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Aus-Oroko.Cook.2002.lpd
#     Online_Resource_Description:  Linked Paleo Data (LiPD) formatted file containing the same metadata and data as this file, for version 2.0.0 of this dataset.
#
# Original_Source_URL: https://www.ncdc.noaa.gov/paleo/study/1003986
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: tree
# Parameter_Keywords: 
# Dataset_DOI: 
#
#------------------
# Contribution_Date
#     Date: 
#------------------
# File_Last_Modified_Date
#     Modified_Date: 2017-05-19
#------------------
# Title
#     Study_Name: Cook.Oroko.2002
#------------------
# Investigators
#     Investigators: Cook, Edward R;Palmer, Jonathan G;Cook, Benjamin I;Hogg, Alan;D'Arrigo, Rosanne D
#------------------
# Description_Notes_and_Keywords
#     Description: Calibrated temperature reconstruction from 2006 JQS paper. Elevation estimated from GoogleEarth; rounded to 100 m
#------------------
# Publication
#     Authors: Cook, Edward R;Palmer, Jonathan G;Cook, Benjamin I;Hogg, Alan;D'Arrigo, Rosanne D
#     Published_Date_or_Year: 2002
#     Published_Title: A multi-millennial palaeoclimatic resource from Lagarostrobos colensoi tree-rings at Oroko Swamp, New Zealand
#     Journal_Name: Global and Planetary Change
#     Volume: 33
#     Edition: 
#     Issue: 
#     Pages: 209-220
#     Report: 
#     DOI: 10.1016/S0921-8181(02)00078-4
#     Online_Resource: doi.org
#     Full_Citation: 
#     Abstract: 
#------------------
# Funding_Agency
#     Funding_Agency_Name: 
#     Grant: 
#------------------
# Site_Information
#     Site_Name: Oroko
#     Location: 
#     Country: 
#     Northernmost_Latitude: -43.23
#     Southernmost_Latitude: -43.23
#     Easternmost_Longitude: 170.28
#     Westernmost_Longitude: 170.28
#     Elevation: 110
#------------------
# Data_Collection
#     Collection_Name: 
#     Earliest_Year: 900.0
#     Most_Recent_Year: 1999.0
#     Time_Unit: AD
#     Core_Length: 
#     Notes: 
#------------------
# Species
#     Species_Name: 
#     Species_Code: 
#     Common_Name: 
#------------------
# Chronology:        

#------------------
# Variables        
#
# Data variables follow that are preceded by "##" in columns one and two.        
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components ( 10 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data, additional_information)
#
##year	Year AD, ,,AD, , tree, ,,N,   
##temperature	,,,degC, -9 -10 -11 -12 1 2 3 4, tree, ,,N,  ; climateInterpretation_seasonality changed - was originally 9 10 11 12 1 2 3 4;  
#
#------------------
# Data:        
# Data lines follow (have no #)        
# Data line format - tab-delimited text, variable short name as header)        
# Missing_Values: nan
#
year           temperature	
900.0	14.006	
901.0	14.6	
902.0	13.413	
903.0	13.427	
904.0	13.611	
905.0	13.85	
906.0	13.123	
907.0	13.855	
908.0	13.464	
909.0	13.063	
910.0	13.381	
911.0	13.878	
912.0	14.14	
913.0	14.398	
914.0	13.215	
915.0	14.273	
916.0	13.454	
917.0	13.956	
918.0	13.914	
919.0	13.956	
920.0	14.122	
921.0	14.108	
922.0	14.885	
923.0	14.549	
924.0	14.448	
925.0	14.986	
926.0	14.485	
927.0	14.605	
928.0	14.246	
929.0	14.568	
930.0	15.433	
931.0	13.983	
932.0	15.203	
933.0	14.816	
934.0	15.557	
935.0	14.848	
936.0	15.621	
937.0	15.695	
938.0	15.042	
939.0	15.249	
940.0	15.06	
941.0	15.447	
942.0	14.756	
943.0	13.997	
944.0	14.687	
945.0	14.402	
946.0	14.287	
947.0	14.871	
948.0	15.056	
949.0	15.41	
950.0	14.913	
951.0	15.157	
952.0	15.58	
953.0	15.327	
954.0	15.051	
955.0	13.993	
956.0	13.054	
957.0	13.786	
958.0	13.942	
959.0	13.753	
960.0	14.807	
961.0	14.513	
962.0	14.738	
963.0	14.439	
964.0	15.069	
965.0	14.848	
966.0	14.559	
967.0	14.655	
968.0	14.724	
969.0	14.052	
970.0	14.103	
971.0	14.549	
972.0	13.56	
973.0	14.103	
974.0	14.126	
975.0	14.407	
976.0	15.009	
977.0	14.319	
978.0	15.253	
979.0	15.778	
980.0	14.77	
981.0	15.336	
982.0	14.632	
983.0	15.824	
984.0	13.753	
985.0	14.338	
986.0	14.356	
987.0	15.792	
988.0	15.226	
989.0	16.229	
990.0	14.816	
991.0	14.623	
992.0	15.805	
993.0	14.637	
994.0	14.223	
995.0	13.661	
996.0	14.26	
997.0	13.891	
998.0	13.905	
999.0	13.809	
1000.0	12.778	
1001.0	13.919	
1002.0	13.441	
1003.0	13.542	
1004.0	14.14	
1005.0	13.666	
1006.0	13.293	
1007.0	13.036	
1008.0	13.873	
1009.0	14.112	
1010.0	14.241	
1011.0	13.684	
1012.0	14.319	
1013.0	13.413	
1014.0	13.629	
1015.0	12.778	
1016.0	12.879	
1017.0	13.362	
1018.0	13.376	
1019.0	13.091	
1020.0	13.477	
1021.0	13.293	
1022.0	14.296	
1023.0	13.625	
1024.0	13.873	
1025.0	14.099	
1026.0	13.422	
1027.0	13.381	
1028.0	14.319	
1029.0	13.257	
1030.0	13.928	
1031.0	13.928	
1032.0	14.025	
1033.0	13.712	
1034.0	14.145	
1035.0	14.375	
1036.0	13.758	
1037.0	14.637	
1038.0	13.28	
1039.0	13.606	
1040.0	14.664	
1041.0	14.057	
1042.0	15.391	
1043.0	15.134	
1044.0	15.235	
1045.0	14.375	
1046.0	13.473	
1047.0	14.209	
1048.0	14.296	
1049.0	13.638	
1050.0	13.625	
1051.0	13.303	
1052.0	14.269	
1053.0	13.947	
1054.0	13.845	
1055.0	13.965	
1056.0	13.036	
1057.0	13.629	
1058.0	13.868	
1059.0	13.776	
1060.0	14.177	
1061.0	14.416	
1062.0	15.102	
1063.0	14.122	
1064.0	14.425	
1065.0	14.595	
1066.0	14.802	
1067.0	14.471	
1068.0	13.97	
1069.0	14.444	
1070.0	14.6	
1071.0	14.982	
1072.0	14.347	
1073.0	14.513	
1074.0	14.439	
1075.0	14.462	
1076.0	14.052	
1077.0	14.278	
