# Duncan.Pink_Pine_NZ.2010
#-----------------------------------------------------------------------            
#                World Data Service for Paleoclimatology, Boulder            
#                                  and            
#                     NOAA Paleoclimatology Program            
#             National Centers for Environmental Information (NCEI)            
#-----------------------------------------------------------------------            
# Template Version 3.0            
# Encoding: UTF-8            
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.             
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Aus-PinkPine.Duncan.2010.txt
#     Online_Resource_Description:  This file.  NOAA WDS Paleo formatted metadata and data for version 2.0.0 of this dataset.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Aus-PinkPine.Duncan.2010.lpd
#     Online_Resource_Description:  Linked Paleo Data (LiPD) formatted file containing the same metadata and data as this file, for version 2.0.0 of this dataset.
#
# Original_Source_URL: https://www.ncdc.noaa.gov/paleo/study/1003988
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: tree
# Parameter_Keywords: 
# Dataset_DOI: 
#
#------------------
# Contribution_Date
#     Date: 
#------------------
# File_Last_Modified_Date
#     Modified_Date: 2017-05-19
#------------------
# Title
#     Study_Name: Duncan.Pink_Pine_NZ.2010
#------------------
# Investigators
#     Investigators: Duncan, Richard P.;Fenwick, Pavla;Palmer, Jonathan G.;McGlone, Matt S.;Turney, Chris S. M.
#------------------
# Description_Notes_and_Keywords
#     Description: composite series, warm season T signal, elevation range 210-1060 m, approximate average/centroid values entered in elevation, lat and lon fields for completeness
#------------------
# Publication
#     Authors: Duncan, Richard P.;Fenwick, Pavla;Palmer, Jonathan G.;McGlone, Matt S.;Turney, Chris S. M.
#     Published_Date_or_Year: 2010
#     Published_Title: Non-uniform interhemispheric temperature trends over the past 550 years
#     Journal_Name: Climate Dynamics
#     Volume: 35
#     Edition: 
#     Issue: 
#     Pages: 1429-1438
#     Report: 
#     DOI: 10.1007/s00382-010-0794-2
#     Online_Resource: doi.org
#     Full_Citation: 
#     Abstract: 
#------------------
# Funding_Agency
#     Funding_Agency_Name: 
#     Grant: 
#------------------
# Site_Information
#     Site_Name: Pink Pine NZ
#     Location: 
#     Country: 
#     Northernmost_Latitude: -43
#     Southernmost_Latitude: -43
#     Easternmost_Longitude: 171
#     Westernmost_Longitude: 171
#     Elevation: 640
#------------------
# Data_Collection
#     Collection_Name: 
#     Earliest_Year: 1457.0
#     Most_Recent_Year: 1999.0
#     Time_Unit: AD
#     Core_Length: 
#     Notes: 
#------------------
# Species
#     Species_Name: 
#     Species_Code: 
#     Common_Name: 
#------------------
# Chronology:        

#------------------
# Variables        
#
# Data variables follow that are preceded by "##" in columns one and two.        
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components ( 10 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data, additional_information)
#
##year	Year AD, ,,AD, , tree, ,,N,   
##trsgi	,wood, ,NA, -9 -10 -11 -12 1 2 3 4, tree, ,signal free, N,  ; climateInterpretation_seasonality changed - was originally 9 10 11 12 1 2 3 4; N/A;  
#
#------------------
# Data:        
# Data lines follow (have no #)        
# Data line format - tab-delimited text, variable short name as header)        
# Missing_Values: nan
#
year           trsgi	
1457.0	-0.323	
1458.0	0.096	
1459.0	0.109	
1460.0	-0.068	
1461.0	0.077	
1462.0	0.014	
1463.0	-0.251	
1464.0	-0.128	
1465.0	0.451	
1466.0	0.068	
1467.0	-0.059	
1468.0	0.401	
1469.0	-0.283	
1470.0	-0.879	
1471.0	-0.533	
1472.0	-0.961	
1473.0	-1.426	
1474.0	-1.353	
1475.0	-1.08	
1476.0	-0.843	
1477.0	-0.629	
1478.0	-0.21	
1479.0	-0.005	
1480.0	0.414	
1481.0	-0.237	
1482.0	-0.16	
1483.0	-0.255	
1484.0	-0.943	
1485.0	-1.175	
1486.0	-0.469	
1487.0	0.196	
1488.0	-0.232	
1489.0	-0.615	
1490.0	-0.547	
1491.0	-0.542	
1492.0	-0.62	
1493.0	-0.328	
1494.0	-0.346	
1495.0	0.077	
1496.0	-0.46	
1497.0	-0.355	
1498.0	-1.102	
1499.0	-1.121	
1500.0	0.004	
1501.0	0.742	
1502.0	0.314	
1503.0	-0.579	
1504.0	-0.378	
1505.0	-0.702	
1506.0	-0.387	
1507.0	-1.171	
1508.0	-1.212	
1509.0	-1.143	
1510.0	-1.553	
1511.0	-0.938	
1512.0	-0.497	
1513.0	-0.378	
1514.0	-1.275	
1515.0	-0.606	
1516.0	-0.041	
1517.0	-0.811	
1518.0	-1.581	
1519.0	-1.608	
1520.0	-1.38	
1521.0	-1.622	
1522.0	-0.752	
1523.0	-0.337	
1524.0	-0.843	
1525.0	-1.38	
1526.0	-1.157	
1527.0	-0.702	
1528.0	-0.342	
1529.0	-0.524	
1530.0	-0.023	
1531.0	0.196	
1532.0	0.501	
1533.0	0.364	
1534.0	-0.542	
1535.0	-0.847	
1536.0	-0.984	
1537.0	-1.244	
1538.0	-0.843	
1539.0	-0.77	
1540.0	-0.62	
1541.0	-0.465	
1542.0	-0.975	
1543.0	-0.802	
1544.0	-0.97	
1545.0	-0.77	
1546.0	-0.346	
1547.0	-0.064	
1548.0	-0.246	
1549.0	0.191	
1550.0	0.073	
1551.0	-0.67	
1552.0	-0.037	
1553.0	-0.588	
1554.0	-1.221	
1555.0	-0.834	
1556.0	-1.075	
1557.0	-0.925	
1558.0	-1.23	
1559.0	-1.69	
1560.0	-1.18	
1561.0	-1.435	
1562.0	-1.13	
1563.0	-1.704	
1564.0	-1.613	
1565.0	-1.845	
1566.0	-0.692	
1567.0	-0.834	
1568.0	-0.251	
1569.0	0.46	
1570.0	0.296	
1571.0	0.323	
1572.0	1.075	
1573.0	0.515	
1574.0	-0.806	
1575.0	-0.415	
1576.0	-0.064	
1577.0	-0.073	
1578.0	-0.114	
1579.0	-0.037	
1580.0	0.141	
1581.0	0.205	
1582.0	-0.009	
1583.0	-0.706	
1584.0	-0.606	
1585.0	0.041	
1586.0	-0.037	
1587.0	0.337	
1588.0	-0.21	
1589.0	0.26	
1590.0	-0.797	
1591.0	-1.166	
1592.0	-0.515	
1593.0	-0.861	
1594.0	-1.071	
1595.0	-0.97	
1596.0	-1.38	
1597.0	-1.38	
1598.0	-0.802	
1599.0	-0.501	
1600.0	-0.674	
1601.0	-0.119	
1602.0	0.469	
1603.0	0.71	
1604.0	0.269	
1605.0	0.146	
1606.0	-0.542	
1607.0	-1.139	
1608.0	-0.273	
1609.0	-0.907	
1610.0	-0.478	
1611.0	-0.055	
1612.0	0.255	
1613.0	0.524	
