# Larocque-Tobler.Lake_Silvaplana.2010
#-----------------------------------------------------------------------            
#                World Data Service for Paleoclimatology, Boulder            
#                                  and            
#                     NOAA Paleoclimatology Program            
#             National Centers for Environmental Information (NCEI)            
#-----------------------------------------------------------------------            
# Template Version 3.0            
# Encoding: UTF-8            
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.             
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Eur-LakeSilvaplana.Larocque-Tobler.2010.txt
#     Online_Resource_Description:  This file.  NOAA WDS Paleo formatted metadata and data for version 2.0.0 of this dataset.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Eur-LakeSilvaplana.Larocque-Tobler.2010.lpd
#     Online_Resource_Description:  Linked Paleo Data (LiPD) formatted file containing the same metadata and data as this file, for version 2.0.0 of this dataset.
#
# Original_Source_URL: http://www.ncdc.noaa.gov/paleo/study/10427
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: lake sediment
# Parameter_Keywords: 
# Dataset_DOI: 
#
#------------------
# Contribution_Date
#     Date: 
#------------------
# File_Last_Modified_Date
#     Modified_Date: 2017-05-19
#------------------
# Title
#     Study_Name: Larocque-Tobler.Lake_Silvaplana.2010
#------------------
# Investigators
#     Investigators: Larocque-Tobler, Isabelle;Grosjean, Martin;Heiri, Oliver;Trachsel, Mathias;Kamenik, Christian
#------------------
# Description_Notes_and_Keywords
#     Description: The average inferred July temperatures between ca 1900 and 2001 AD were significantly warmer (p < 0.05) than the climate reference period (1961-1990) by 1C which is in agreement with the instrumental data. The inferred July temperatures were in the same range as the inferred temperatures during the last part of the MCA suggesting that during the 20th century at Lake Silvaplana the chironomid-inferred temperatures do not exceed the natural climate variability of the past millennium.
#------------------
# Publication
#     Authors: Larocque-Tobler, Isabelle;Grosjean, Martin;Heiri, Oliver;Trachsel, Mathias;Kamenik, Christian
#     Published_Date_or_Year: 2010
#     Published_Title: Thousand years of climate change reconstructed from chironomid subfossils preserved in varved lake Silvaplana, Engadine, Switzerland
#     Journal_Name: Quaternary Science Reviews
#     Volume: 29
#     Edition: 
#     Issue: 15-16
#     Pages: 1940-1949
#     Report: 
#     DOI: 10.1016/j.quascirev.2010.04.018
#     Online_Resource: doi.org
#     Full_Citation: 
#     Abstract: 
#------------------
# Funding_Agency
#     Funding_Agency_Name: 
#     Grant: 
#------------------
# Site_Information
#     Site_Name: Lake Silvaplana
#     Location: 
#     Country: 
#     Northernmost_Latitude: 46.5
#     Southernmost_Latitude: 46.5
#     Easternmost_Longitude: 9.8
#     Westernmost_Longitude: 9.8
#     Elevation: 1791
#------------------
# Data_Collection
#     Collection_Name: 
#     Earliest_Year: 1032.0
#     Most_Recent_Year: 1975.0
#     Time_Unit: AD
#     Core_Length: 
#     Notes: 
#------------------
# Species
#     Species_Name: 
#     Species_Code: 
#     Common_Name: 
#------------------
# Chronology:        

#------------------
# Variables        
#
# Data variables follow that are preceded by "##" in columns one and two.        
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components ( 10 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data, additional_information)
#
##year	Year AD, ,,AD, , lake sediment, ,,N,   
##temperature	Chironomid-inferred Temperature 50-year filter, ,,degC, 7, lake sediment, ,,, ; climateInterpretation_seasonality changed - was originally July;  
#
#------------------
# Data:        
# Data lines follow (have no #)        
# Data line format - tab-delimited text, variable short name as header)        
# Missing_Values: nan
#
year           temperature	
1032.0	1.72	
1033.0	1.7	
1034.0	1.67	
1035.0	1.64	
1036.0	1.61	
1037.0	1.58	
1038.0	1.56	
1039.0	1.55	
1040.0	1.55	
1041.0	1.55	
1042.0	1.55	
1043.0	1.56	
1044.0	1.57	
1045.0	1.58	
1046.0	1.59	
1047.0	1.6	
1048.0	1.61	
1049.0	1.61	
1050.0	1.61	
1051.0	1.62	
1052.0	1.61	
1053.0	1.61	
1054.0	1.61	
1055.0	1.61	
1056.0	1.6	
1057.0	1.59	
1058.0	1.58	
1059.0	1.56	
1060.0	1.54	
1061.0	1.52	
1062.0	1.49	
1063.0	1.45	
1064.0	1.42	
1065.0	1.37	
1066.0	1.32	
1067.0	1.27	
1068.0	1.21	
1069.0	1.15	
1070.0	1.08	
1071.0	1.02	
1072.0	0.95	
1073.0	0.88	
1074.0	0.82	
1075.0	0.75	
1076.0	0.69	
1077.0	0.63	
1078.0	0.57	
1079.0	0.52	
1080.0	0.47	
1081.0	0.42	
1082.0	0.37	
1083.0	0.34	
1084.0	0.3	
1085.0	0.27	
1086.0	0.24	
1087.0	0.22	
1088.0	0.2	
1089.0	0.18	
1090.0	0.17	
1091.0	0.16	
1092.0	0.16	
1093.0	0.16	
1094.0	0.16	
1095.0	0.17	
1096.0	0.18	
1097.0	0.19	
1098.0	0.21	
1099.0	0.23	
1100.0	0.25	
1101.0	0.27	
1102.0	0.3	
1103.0	0.33	
1104.0	0.36	
1105.0	0.39	
1106.0	0.43	
1107.0	0.46	
1108.0	0.5	
1109.0	0.54	
1110.0	0.58	
1111.0	0.62	
1112.0	0.66	
1113.0	0.71	
1114.0	0.75	
1115.0	0.79	
1116.0	0.84	
1117.0	0.88	
1118.0	0.93	
1119.0	0.98	
1120.0	1.02	
1121.0	1.07	
1122.0	1.12	
1123.0	1.17	
1124.0	1.22	
1125.0	1.27	
1126.0	1.31	
1127.0	1.36	
1128.0	1.41	
1129.0	1.46	
1130.0	1.5	
1131.0	1.55	
1132.0	1.59	
1133.0	1.64	
1134.0	1.68	
1135.0	1.72	
1136.0	1.76	
1137.0	1.79	
1138.0	1.83	
1139.0	1.86	
1140.0	1.89	
1141.0	1.91	
1142.0	1.94	
1143.0	1.96	
1144.0	1.98	
1145.0	2.0	
1146.0	2.01	
1147.0	2.02	
1148.0	2.03	
1149.0	2.03	
1150.0	2.03	
1151.0	2.03	
1152.0	2.03	
1153.0	2.02	
1154.0	2.01	
1155.0	2.0	
1156.0	1.99	
1157.0	1.97	
1158.0	1.96	
1159.0	1.94	
1160.0	1.92	
1161.0	1.9	
1162.0	1.89	
1163.0	1.87	
1164.0	1.85	
1165.0	1.83	
1166.0	1.81	
1167.0	1.79	
1168.0	1.77	
1169.0	1.75	
1170.0	1.74	
1171.0	1.72	
1172.0	1.71	
1173.0	1.7	
1174.0	1.69	
1175.0	1.68	
1176.0	1.67	
1177.0	1.66	
1178.0	1.65	
1179.0	1.65	
1180.0	1.64	
1181.0	1.63	
1182.0	1.63	
1183.0	1.62	
1184.0	1.61	
1185.0	1.6	
1186.0	1.58	
1187.0	1.57	
1188.0	1.55	
1189.0	1.53	
1190.0	1.5	
1191.0	1.47	
1192.0	1.44	
1193.0	1.4	
1194.0	1.36	
1195.0	1.32	
1196.0	1.27	
1197.0	1.22	
1198.0	1.16	
1199.0	1.1	
1200.0	1.04	
1201.0	0.98	
1202.0	0.92	
1203.0	0.85	
1204.0	0.78	
1205.0	0.71	
1206.0	0.64	
1207.0	0.57	
1208.0	0.5	
1209.0	0.43	
1210.0	0.36	
1211.0	0.3	
1212.0	0.24	
1213.0	0.19	
1214.0	0.14	
1215.0	0.1	
