# Büntgen.Lötschental.2006
#-----------------------------------------------------------------------            
#                World Data Service for Paleoclimatology, Boulder            
#                                  and            
#                     NOAA Paleoclimatology Program            
#             National Centers for Environmental Information (NCEI)            
#-----------------------------------------------------------------------            
# Template Version 3.0            
# Encoding: UTF-8            
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.             
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Eur-Ltschental.Bntgen.2006.txt
#     Online_Resource_Description:  This file.  NOAA WDS Paleo formatted metadata and data for version 2.0.0 of this dataset.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Eur-Ltschental.Bntgen.2006.lpd
#     Online_Resource_Description:  Linked Paleo Data (LiPD) formatted file containing the same metadata and data as this file, for version 2.0.0 of this dataset.
#
# Original_Source_URL: http://www.ncdc.noaa.gov/paleo/study/1003401
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: tree
# Parameter_Keywords: 
# Dataset_DOI: 
#
#------------------
# Contribution_Date
#     Date: 
#------------------
# File_Last_Modified_Date
#     Modified_Date: 2017-05-19
#------------------
# Title
#     Study_Name: Büntgen.Lötschental.2006
#------------------
# Investigators
#     Investigators: Büntgen, Ulf;Frank, David C.;Nievergelt, Daniel;Esper, Jan
#------------------
# Description_Notes_and_Keywords
#     Description: Instrumental measurements from high- (low-) elevation grid boxes back to 1818 (1760) reveal strongest growth response to current-year June_September mean temperatures. The reconstruction correlates at 0.7 with high-elevation temperatures back to 1818 with a greater signal in the higher-frequency domain (r 0.8).
#------------------
# Publication
#     Authors: Büntgen, Ulf;Frank, David C.;Nievergelt, Daniel;Esper, Jan
#     Published_Date_or_Year: 2006
#     Published_Title: Summer temperature variations in the European Alps, A.D. 755–2004
#     Journal_Name: Journal of Climate
#     Volume: 19
#     Edition: 
#     Issue: 
#     Pages: 5606-5623
#     Report: 
#     DOI: 10.1175/JCLI3917.1
#     Online_Resource: doi.org
#     Full_Citation: 
#     Abstract: 
#------------------
# Funding_Agency
#     Funding_Agency_Name: 
#     Grant: 
#------------------
# Site_Information
#     Site_Name: Lötschental
#     Location: 
#     Country: 
#     Northernmost_Latitude: 46.4
#     Southernmost_Latitude: 46.4
#     Easternmost_Longitude: 7.8
#     Westernmost_Longitude: 7.8
#     Elevation: 1700
#------------------
# Data_Collection
#     Collection_Name: 
#     Earliest_Year: 755.0
#     Most_Recent_Year: 2004.0
#     Time_Unit: AD
#     Core_Length: 
#     Notes: 
#------------------
# Species
#     Species_Name: 
#     Species_Code: 
#     Common_Name: 
#------------------
# Chronology:        

#------------------
# Variables        
#
# Data variables follow that are preceded by "##" in columns one and two.        
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components ( 10 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data, additional_information)
#
##year	Year AD, ,,AD, , tree, ,,N,   
##MXD	,,,NA, summer, tree, ,,,  
#
#------------------
# Data:        
# Data lines follow (have no #)        
# Data line format - tab-delimited text, variable short name as header)        
# Missing_Values: nan
#
year           MXD	
755.0	-1.516	
756.0	-1.828	
757.0	-2.919	
758.0	-1.399	
759.0	-0.971	
760.0	-1.685	
761.0	-0.348	
762.0	-1.192	
763.0	-1.166	
764.0	-0.192	
765.0	-0.503	
766.0	-0.724	
767.0	-1.088	
768.0	-1.088	
769.0	0.354	
770.0	0.497	
771.0	-0.231	
772.0	-0.594	
773.0	-2.451	
774.0	-0.309	
775.0	-0.348	
776.0	-0.348	
777.0	-1.127	
778.0	-0.594	
779.0	-0.945	
780.0	-0.088	
781.0	0.769	
782.0	-0.464	
783.0	-0.049	
784.0	-1.049	
785.0	0.367	
786.0	-1.062	
787.0	-0.283	
788.0	-0.399	
789.0	-0.633	
790.0	-0.646	
791.0	-2.036	
792.0	-0.464	
793.0	-0.166	
794.0	0.25	
795.0	0.237	
796.0	-1.114	
797.0	-1.296	
798.0	-0.776	
799.0	-1.958	
800.0	-2.776	
801.0	-1.244	
802.0	-0.542	
803.0	-0.659	
804.0	-0.036	
805.0	-0.309	
806.0	-0.49	
807.0	-0.815	
808.0	-0.516	
809.0	-0.438	
810.0	-0.257	
811.0	-0.542	
812.0	0.068	
813.0	0.224	
814.0	-0.231	
815.0	-0.984	
816.0	-0.438	
817.0	0.964	
818.0	-1.594	
819.0	-0.088	
820.0	-1.62	
821.0	-1.997	
822.0	-0.776	
823.0	-0.399	
824.0	-1.27	
825.0	-0.205	
826.0	-0.971	
827.0	-0.529	
828.0	0.042	
829.0	0.068	
830.0	-0.594	
831.0	-0.828	
832.0	-0.516	
833.0	-0.633	
834.0	-0.088	
835.0	0.237	
836.0	0.185	
837.0	-0.789	
838.0	-0.088	
839.0	0.055	
840.0	-0.529	
841.0	-1.438	
842.0	0.159	
843.0	-0.737	
844.0	-0.906	
845.0	-0.127	
846.0	-0.815	
847.0	0.185	
848.0	-0.283	
849.0	-0.257	
850.0	0.133	
851.0	-1.166	
852.0	-2.789	
853.0	-1.919	
854.0	-1.425	
855.0	-0.503	
856.0	0.094	
857.0	-0.711	
858.0	0.315	
859.0	-1.153	
860.0	-0.049	
861.0	-0.945	
862.0	-0.633	
863.0	-0.581	
864.0	0.315	
865.0	-1.101	
866.0	-0.581	
867.0	-0.802	
868.0	0.042	
869.0	0.25	
870.0	-1.724	
871.0	-3.101	
872.0	-1.945	
873.0	-1.633	
874.0	0.393	
875.0	0.068	
876.0	-0.14	
877.0	-0.607	
878.0	0.016	
879.0	0.224	
880.0	0.639	
881.0	0.237	
882.0	-0.244	
883.0	-1.075	
884.0	0.302	
885.0	0.354	
886.0	-0.309	
887.0	-0.672	
888.0	0.302	
889.0	0.782	
890.0	0.055	
891.0	-0.361	
892.0	-0.685	
893.0	0.6	
894.0	-0.958	
895.0	-2.399	
896.0	-1.438	
897.0	0.86	
898.0	-0.724	
899.0	-1.88	
900.0	-1.062	
901.0	-1.062	
902.0	-0.257	
903.0	-2.347	
904.0	0.172	
905.0	-0.945	
906.0	-0.685	
907.0	-0.75	
908.0	0.419	
909.0	-0.542	
910.0	-0.568	
911.0	-1.075	
912.0	0.769	
913.0	-0.348	
914.0	0.406	
915.0	0.691	
916.0	0.549	
917.0	0.094	
918.0	0.081	
919.0	0.107	
920.0	-0.802	
921.0	0.769	
922.0	0.198	
