# Esper.Northern_Scandinavia.2012
#-----------------------------------------------------------------------            
#                World Data Service for Paleoclimatology, Boulder            
#                                  and            
#                     NOAA Paleoclimatology Program            
#             National Centers for Environmental Information (NCEI)            
#-----------------------------------------------------------------------            
# Template Version 3.0            
# Encoding: UTF-8            
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.             
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Eur-NorthernScandinavia.Esper.2012.txt
#     Online_Resource_Description:  This file.  NOAA WDS Paleo formatted metadata and data for version 2.0.0 of this dataset.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Eur-NorthernScandinavia.Esper.2012.lpd
#     Online_Resource_Description:  Linked Paleo Data (LiPD) formatted file containing the same metadata and data as this file, for version 2.0.0 of this dataset.
#
# Original_Source_URL: http://www.ncdc.noaa.gov/paleo/study/1003406
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: tree
# Parameter_Keywords: 
# Dataset_DOI: 
#
#------------------
# Contribution_Date
#     Date: 
#------------------
# File_Last_Modified_Date
#     Modified_Date: 2017-05-19
#------------------
# Title
#     Study_Name: Esper.Northern_Scandinavia.2012
#------------------
# Investigators
#     Investigators: Esper, Jan;Frank, David C.;Timonen, Mauri;Zorita, Eduardo;Wilson, Rob J. S.;Luterbacher, Jürg;Holzkämper, Steffen;Fischer, Nils;Wagner, Sebastian;Nievergelt, Daniel;Verstege, Anne;Büntgen, Ulf
#------------------
# Description_Notes_and_Keywords
#     Description: The final reconstruction (N-scan) was calibrated against regional JJA temperature (r 1876_2006 = 0.77) and spans the 138 bc_ ad 2006 period.
#------------------
# Publication
#     Authors: Esper, Jan;Frank, David C.;Timonen, Mauri;Zorita, Eduardo;Wilson, Rob J. S.;Luterbacher, Jürg;Holzkämper, Steffen;Fischer, Nils;Wagner, Sebastian;Nievergelt, Daniel;Verstege, Anne;Büntgen, Ulf
#     Published_Date_or_Year: 2012
#     Published_Title: Orbital forcing of tree-ring data
#     Journal_Name: Nature Climate Change
#     Volume: 2
#     Edition: 
#     Issue: 
#     Pages: 862-866
#     Report: 
#     DOI: 10.1038/nclimate1589
#     Online_Resource: doi.org
#     Full_Citation: 
#     Abstract: 
#------------------
# Funding_Agency
#     Funding_Agency_Name: 
#     Grant: 
#------------------
# Site_Information
#     Site_Name: Northern Scandinavia
#     Location: 
#     Country: 
#     Northernmost_Latitude: 68
#     Southernmost_Latitude: 68
#     Easternmost_Longitude: 25
#     Westernmost_Longitude: 25
#     Elevation: 300
#------------------
# Data_Collection
#     Collection_Name: 
#     Earliest_Year: -138.0
#     Most_Recent_Year: 2006.0
#     Time_Unit: AD
#     Core_Length: 
#     Notes: 
#------------------
# Species
#     Species_Name: 
#     Species_Code: 
#     Common_Name: 
#------------------
# Chronology:        

#------------------
# Variables        
#
# Data variables follow that are preceded by "##" in columns one and two.        
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components ( 10 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data, additional_information)
#
##year	Year AD, ,,AD, , tree, ,,N,   
##MXD	,,,NA, summer, tree, ,,,  
#
#------------------
# Data:        
# Data lines follow (have no #)        
# Data line format - tab-delimited text, variable short name as header)        
# Missing_Values: nan
#
year           MXD	
-138.0	0.46	
-137.0	1.305	
-136.0	0.755	
-135.0	-0.1	
-134.0	-0.457	
-133.0	1.62	
-132.0	0.765	
-131.0	1.559	
-130.0	0.327	
-129.0	0.175	
-128.0	1.661	
-127.0	1.498	
-126.0	1.681	
-125.0	2.588	
-124.0	-0.06	
-123.0	1.407	
-122.0	-0.487	
-121.0	-0.375	
-120.0	-1.281	
-119.0	0.297	
-118.0	-1.791	
-117.0	0.236	
-116.0	-0.487	
-115.0	0.826	
-114.0	-0.436	
-113.0	-0.671	
-112.0	0.001	
-111.0	-0.365	
-110.0	0.256	
-109.0	0.032	
-108.0	-2.116	
-107.0	0.093	
-106.0	-0.915	
-105.0	-1.139	
-104.0	-1.75	
-103.0	-1.831	
-102.0	0.521	
-101.0	0.582	
-100.0	-0.263	
-99.0	-0.355	
-98.0	-0.732	
-97.0	-0.579	
-96.0	-0.202	
-95.0	-0.742	
-94.0	-0.62	
-93.0	-1.505	
-92.0	-1.689	
-91.0	-0.925	
-90.0	0.857	
-89.0	0.042	
-88.0	-1.037	
-87.0	-0.508	
-86.0	0.022	
-85.0	-0.192	
-84.0	-0.457	
-83.0	0.022	
-82.0	0.511	
-81.0	1.091	
-80.0	1.345	
-79.0	0.969	
-78.0	0.775	
-77.0	0.928	
-76.0	0.236	
-75.0	0.327	
-74.0	0.826	
-73.0	1.488	
-72.0	0.796	
-71.0	-0.508	
-70.0	-0.671	
-69.0	-1.465	
-68.0	0.012	
-67.0	0.246	
-66.0	0.826	
-65.0	-1.057	
-64.0	0.918	
-63.0	0.623	
-62.0	0.246	
-61.0	-0.803	
-60.0	0.368	
-59.0	0.755	
-58.0	1.519	
-57.0	1.193	
-56.0	1.488	
-55.0	1.539	
-54.0	2.109	
-53.0	1.223	
-52.0	-0.925	
-51.0	-0.66	
-50.0	0.022	
-49.0	0.083	
-48.0	0.948	
-47.0	0.317	
-46.0	1.712	
-45.0	1.62	
-44.0	0.684	
-43.0	-2.004	
-42.0	-1.903	
-41.0	-0.345	
-40.0	-0.029	
-39.0	1.651	
-38.0	0.012	
-37.0	-0.314	
-36.0	0.887	
-35.0	-1.078	
-34.0	-0.253	
-33.0	-0.65	
-32.0	0.745	
-31.0	0.826	
-30.0	0.704	
-29.0	1.478	
-28.0	1.722	
-27.0	1.61	
-26.0	1.997	
-25.0	0.928	
-24.0	1.009	
-23.0	1.05	
-22.0	0.337	
-21.0	0.052	
-20.0	0.694	
-19.0	1.142	
-18.0	0.765	
-17.0	0.785	
-16.0	-0.08	
-15.0	-1.638	
-14.0	1.121	
-13.0	0.419	
-12.0	0.337	
-11.0	1.02	
-10.0	-0.304	
-9.0	1.376	
-8.0	0.073	
-7.0	1.834	
-6.0	0.877	
-5.0	1.264	
-4.0	2.18	
-3.0	1.59	
-2.0	1.732	
-1.0	0.938	
1.0	0.348	
2.0	0.704	
3.0	1.335	
4.0	1.692	
5.0	1.05	
6.0	1.549	
7.0	1.02	
8.0	-0.508	
9.0	-0.589	
10.0	-1.709	
11.0	-0.833	
12.0	0.042	
13.0	-0.009	
14.0	-0.477	
15.0	0.531	
16.0	1.172	
17.0	-0.416	
18.0	0.134	
19.0	0.785	
20.0	-0.803	
21.0	-0.355	
22.0	0.5	
23.0	0.653	
24.0	0.429	
25.0	0.816	
26.0	0.623	
27.0	1.631	
28.0	1.132	
29.0	0.419	
30.0	1.111	
31.0	1.091	
32.0	1.071	
33.0	0.948	
34.0	2.068	
35.0	1.407	
36.0	0.938	
37.0	1.631	
38.0	1.569	
39.0	0.409	
40.0	-0.121	
41.0	0.857	
42.0	0.47	
43.0	1.702	
44.0	1.427	
45.0	1.58	
46.0	2.17	
47.0	1.702	
48.0	0.572	
49.0	1.61	
50.0	1.305	
51.0	0.877	
52.0	0.999	
53.0	0.551	
54.0	0.602	
55.0	0.623	
56.0	0.867	
57.0	0.684	
58.0	0.694	
59.0	-0.09	
