# Martín-Chivelet.Northern_Spain.2011
#-----------------------------------------------------------------------            
#                World Data Service for Paleoclimatology, Boulder            
#                                  and            
#                     NOAA Paleoclimatology Program            
#             National Centers for Environmental Information (NCEI)            
#-----------------------------------------------------------------------            
# Template Version 3.0            
# Encoding: UTF-8            
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.             
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Eur-NorthernSpain.Martn-Chivelet.2011.txt
#     Online_Resource_Description:  This file.  NOAA WDS Paleo formatted metadata and data for version 2.0.0 of this dataset.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Eur-NorthernSpain.Martn-Chivelet.2011.lpd
#     Online_Resource_Description:  Linked Paleo Data (LiPD) formatted file containing the same metadata and data as this file, for version 2.0.0 of this dataset.
#
# Original_Source_URL: http://www.ncdc.noaa.gov/paleo/study/12194
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: speleothem
# Parameter_Keywords: 
# Dataset_DOI: 
#
#------------------
# Contribution_Date
#     Date: 
#------------------
# File_Last_Modified_Date
#     Modified_Date: 2017-05-19
#------------------
# Title
#     Study_Name: Martín-Chivelet.Northern_Spain.2011
#------------------
# Investigators
#     Investigators: Martín-Chivelet, Javier;Muñoz-García, M. Belén;Edwards, R. Lawrence;Turrero, María J.;Ortega, Ana I.
#------------------
# Description_Notes_and_Keywords
#     Description: The positive correlation between 013C series of the stalagmites and the surface temperature series shown in the previous section is robust in the three samples but requires some further discussion.
#------------------
# Publication
#     Authors: Martín-Chivelet, Javier;Muñoz-García, M. Belén;Edwards, R. Lawrence;Turrero, María J.;Ortega, Ana I.
#     Published_Date_or_Year: 2011
#     Published_Title: Land surface temperature changes in northern Iberia since 4000 yr BP, based on δ13C of speleothems
#     Journal_Name: Global and Planetary Change
#     Volume: 77
#     Edition: 
#     Issue: 
#     Pages: 1-12
#     Report: 
#     DOI: 10.1016/j.gloplacha.2011.02.002
#     Online_Resource: doi.org
#     Full_Citation: 
#     Abstract: 
#------------------
# Funding_Agency
#     Funding_Agency_Name: 
#     Grant: 
#------------------
# Site_Information
#     Site_Name: Northern Spain
#     Location: 
#     Country: 
#     Northernmost_Latitude: 42.9
#     Southernmost_Latitude: 42.9
#     Easternmost_Longitude: -3.5
#     Westernmost_Longitude: -3.5
#     Elevation: 1250
#------------------
# Data_Collection
#     Collection_Name: 
#     Earliest_Year: -1949.0
#     Most_Recent_Year: 2000.0
#     Time_Unit: AD
#     Core_Length: 
#     Notes: 
#------------------
# Species
#     Species_Name: 
#     Species_Code: 
#     Common_Name: 
#------------------
# Chronology:        

#------------------
# Variables        
#
# Data variables follow that are preceded by "##" in columns one and two.        
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components ( 10 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data, additional_information)
#
##year	Year AD, ,,AD, , speleothem, ,,N,   
##d18O	,,,permil, summer, speleothem, ,,,  
#
#------------------
# Data:        
# Data lines follow (have no #)        
# Data line format - tab-delimited text, variable short name as header)        
# Missing_Values: nan
#
year           d18O	
2000.0	0.94	
1987.0	0.8	
1983.0	0.23	
1978.0	0.17	
1975.0	0.51	
1971.0	0.36	
1967.0	0.24	
1964.0	0.4	
1961.0	0.29	
1959.0	0.37	
1957.0	-0.22	
1956.0	0.37	
1954.0	0.12	
1949.0	0.48	
1947.0	0.38	
1945.0	0.19	
1942.0	0.1	
1940.0	0.07	
1938.0	0.05	
1936.0	-0.23	
1935.0	0.3	
1933.0	0.01	
1931.0	0.13	
1928.0	0.25	
1926.0	0.29	
1917.0	-0.1	
1915.0	0.18	
1914.0	-0.21	
1912.0	-0.05	
1910.0	-0.03	
1907.0	0.13	
1905.0	0.05	
1903.0	0.05	
1900.0	0.23	
1898.0	0.1	
1895.0	0.08	
1894.0	0.34	
1893.0	0.19	
1891.0	0.23	
1888.0	0.2	
1886.0	-0.16	
1884.0	-0.05	
1881.0	-0.16	
1879.0	-0.11	
1877.0	-0.15	
1874.0	-0.08	
1872.0	-0.21	
1873.0	0.33	
1870.0	-0.21	
1869.0	-0.12	
1867.0	-0.02	
1865.0	-0.16	
1863.0	0.04	
1860.0	0.0	
1858.0	-0.23	
1856.0	-0.13	
1855.0	0.28	
1853.0	-0.3	
1851.0	0.01	
1849.0	-0.21	
1846.0	0.04	
1844.0	0.13	
1842.0	-0.03	
1839.0	-0.09	
1838.0	0.03	
1837.0	0.09	
1835.0	-0.02	
1833.0	0.06	
1831.0	-0.12	
1830.0	-0.25	
1828.0	0.01	
1827.0	0.07	
1825.0	-0.08	
1824.0	0.01	
1822.0	0.06	
1821.0	0.04	
1820.0	0.11	
1819.0	-0.06	
1818.0	-0.23	
1816.0	-0.16	
1814.0	-0.19	
1813.0	-0.26	
1811.0	-0.25	
1810.0	-0.13	
1808.0	-0.24	
1807.0	-0.23	
1805.0	-0.24	
1804.0	-0.27	
1803.0	0.15	
1802.0	-0.25	
1801.0	-0.13	
1799.0	-0.28	
1797.0	-0.19	
1796.0	0.06	
1794.0	-0.04	
1793.0	-0.03	
1791.0	0.14	
1790.0	-0.1	
1788.0	-0.05	
1787.0	0.06	
1786.0	0.44	
1785.0	0.03	
1784.0	0.03	
1782.0	-0.12	
1781.0	0.07	
1779.0	-0.18	
1777.0	-0.07	
1776.0	-0.19	
1774.0	0.24	
1773.0	0.12	
1771.0	0.22	
1770.0	0.24	
1768.0	0.42	
1768.0	0.45	
1767.0	0.03	
1765.0	0.09	
1764.0	-0.02	
1762.0	0.15	
1760.0	0.14	
1759.0	0.13	
1757.0	0.04	
1756.0	0.06	
1754.0	0.07	
1753.0	0.01	
1751.0	0.44	
1751.0	-0.16	
1750.0	-0.03	
1748.0	-0.01	
1747.0	-0.11	
1745.0	0.0	
1744.0	-0.02	
1742.0	0.0	
1740.0	-0.01	
1739.0	0.19	
1737.0	0.33	
1735.0	0.22	
1733.0	0.02	
1734.0	0.2	
1732.0	0.27	
1730.0	0.33	
1729.0	-0.02	
1727.0	0.1	
1725.0	0.08	
1724.0	0.52	
1721.0	0.29	
1718.0	0.13	
1716.0	-0.01	
1716.0	-0.11	
1713.0	-0.12	
1711.0	-0.12	
1709.0	0.08	
1708.0	-0.14	
1706.0	-0.18	
1703.0	-0.12	
1701.0	0.04	
1699.0	0.03	
1698.0	-0.03	
1695.0	0.05	
1690.0	-0.08	
1688.0	-0.04	
1685.0	-0.25	
1683.0	-0.13	
1681.0	0.13	
1680.0	-0.05	
1678.0	-0.06	
1675.0	-0.07	
1673.0	-0.04	
1670.0	-0.09	
1667.0	-0.17	
1665.0	-0.07	
1664.0	0.34	
1662.0	-0.02	
1660.0	-0.14	
1657.0	-0.23	
1655.0	-0.07	
1652.0	-0.16	
1650.0	-0.18	
1647.0	-0.31	
1647.0	0.1	
1644.0	-0.06	
1642.0	-0.09	
1637.0	-0.21	
1636.0	-0.08	
1634.0	-0.22	
1632.0	-0.27	
1629.0	-0.28	
1627.0	-0.29	
1625.0	0.09	
1624.0	-0.25	
1622.0	-0.13	
1620.0	-0.27	
1617.0	-0.28	
1614.0	-0.05	
1615.0	-0.3	
1603.0	0.07	
1592.0	-0.03	
1581.0	-0.09	
1570.0	-0.04	
1569.0	0.17	
1559.0	0.18	
1554.0	-0.06	
1548.0	-0.01	
1538.0	-0.02	
1527.0	0.09	
1523.0	-0.04	
1516.0	-0.08	
1507.0	-0.16	
1505.0	0.22	
1494.0	-0.14	
1491.0	-0.13	
1483.0	-0.09	
1478.0	-0.08	
1476.0	-0.04	
1470.0	-0.06	
1460.0	0.04	
1454.0	-0.18	
1442.0	0.03	
1439.0	-0.24	
1423.0	-0.03	
1424.0	-0.19	
1408.0	-0.15	
1405.0	-0.3	
1392.0	-0.14	
1387.0	-0.1	
1377.0	0.02	
1369.0	-0.28	
1361.0	-0.21	
1351.0	-0.51	
1345.0	0.01	
1333.0	-0.42	
1330.0	0.19	
1322.0	0.62	
1314.0	0.2	
1315.0	0.06	
1312.0	0.24	
1302.0	0.35	
1299.0	0.03	
1296.0	0.1	
1292.0	0.42	
1283.0	0.3	
1283.0	0.6	
1278.0	-0.01	
1273.0	0.36	
1268.0	0.17	
1263.0	0.11	
1260.0	0.03	
1253.0	0.0	
1252.0	0.31	
1249.0	-0.07	
1243.0	0.36	
1239.0	-0.32	
1237.0	-0.24	
1233.0	0.22	
1228.0	-0.33	
1223.0	0.04	
1217.0	-0.12	
1213.0	0.04	
1206.0	0.17	
1206.0	-0.22	
1204.0	0.31	
1196.0	0.17	
1194.0	0.35	
1190.0	0.32	
1184.0	0.34	
1185.0	0.61	
1174.0	0.32	
1175.0	0.15	
1174.0	0.67	
1164.0	0.29	
1163.0	0.42	
1154.0	0.24	
1154.0	0.19	
1153.0	0.16	
1144.0	-0.03	
1142.0	0.14	
1134.0	0.33	
1135.0	0.19	
1133.0	0.13	
1127.0	-0.12	
1125.0	0.23	
1120.0	-0.03	
1116.0	0.12	
1113.0	0.16	
1112.0	-0.17	
1107.0	0.14	
1105.0	-0.16	
1099.0	0.03	
1097.0	0.32	
1092.0	0.05	
1090.0	0.27	
1090.0	0.32	
1083.0	0.28	
1081.0	0.27	
1075.0	0.17	
1073.0	0.48	
1071.0	0.3	
1068.0	0.27	
1064.0	0.5	
1060.0	0.39	
1055.0	0.36	
1053.0	0.21	
1051.0	0.48	
1047.0	0.27	
1045.0	0.25	
1038.0	0.16	
1038.0	0.18	
1030.0	-0.07	
1029.0	0.39	
1027.0	0.37	
1021.0	0.15	
1011.0	0.29	
1009.0	0.22	
1004.0	0.29	
1001.0	0.35	
991.0	0.2	
992.0	0.32	
989.0	0.19	
981.0	0.28	
981.0	0.45	
971.0	0.34	
970.0	0.42	
968.0	0.33	
961.0	0.24	
958.0	0.52	
952.0	0.23	
947.0	0.14	
947.0	0.4	
942.0	0.24	
935.0	0.24	
932.0	0.19	
927.0	0.23	
924.0	0.25	
922.0	0.22	
912.0	0.25	
913.0	-0.24	
906.0	0.07	
902.0	0.17	
901.0	0.24	
892.0	0.28	
890.0	0.35	
885.0	0.35	
883.0	0.26	
878.0	0.47	
873.0	0.35	
867.0	0.16	
865.0	0.1	
863.0	0.28	
855.0	-0.1	
853.0	0.12	
844.0	0.33	
843.0	0.18	
844.0	-0.09	
833.0	0.35	
833.0	0.25	
823.0	0.19	
824.0	0.15	
820.0	0.19	
821.0	0.13	
816.0	0.25	
812.0	0.17	
810.0	-0.04	
808.0	-0.11	
804.0	-0.05	
803.0	0.08	
800.0	0.27	
798.0	0.36	
796.0	0.15	
792.0	-0.01	
788.0	-0.15	
787.0	0.47	
785.0	-0.04	
782.0	0.37	
781.0	0.22	
777.0	0.24	
776.0	0.45	
773.0	-0.1	
769.0	0.18	
765.0	0.15	
764.0	0.38	
761.0	0.09	
757.0	-0.03	
753.0	0.01	
753.0	0.01	
749.0	0.05	
746.0	0.25	
743.0	0.1	
740.0	0.03	
741.0	-0.06	
738.0	0.18	
735.0	-0.05	
733.0	-0.05	
730.0	-0.13	
730.0	0.08	
728.0	-0.01	
725.0	-0.06	
722.0	-0.13	
720.0	0.01	
720.0	0.45	
717.0	-0.11	
715.0	-0.11	
712.0	-0.09	
713.0	-0.09	
710.0	-0.03	
707.0	-0.07	
704.0	-0.04	
703.0	-0.02	
702.0	-0.04	
699.0	0.0	
699.0	-0.13	
696.0	0.04	
694.0	-0.05	
692.0	-0.11	
689.0	-0.06	
687.0	-0.13	
684.0	-0.02	
681.0	-0.03	
679.0	0.1	
679.0	0.18	
680.0	0.14	
676.0	0.01	
674.0	0.03	
671.0	-0.05	
669.0	-0.05	
669.0	-0.03	
666.0	-0.05	
664.0	-0.23	
663.0	-0.09	
663.0	0.0	
661.0	-0.06	
658.0	0.0	
656.0	0.16	
654.0	0.01	
653.0	0.07	
651.0	-0.02	
648.0	0.0	
645.0	-0.06	
646.0	0.1	
644.0	0.06	
643.0	-0.06	
640.0	-0.05	
638.0	0.01	
635.0	0.1	
634.0	0.01	
633.0	0.1	
630.0	0.03	
628.0	0.0	
629.0	0.13	
625.0	-0.05	
624.0	-0.03	
622.0	-0.04	
620.0	-0.01	
617.0	-0.01	
615.0	0.02	
614.0	-0.02	
612.0	0.09	
612.0	-0.05	
610.0	0.13	
607.0	0.08	
604.0	0.13	
604.0	0.12	
602.0	0.09	
599.0	0.13	
597.0	0.17	
594.0	0.03	
594.0	0.05	
595.0	0.26	
592.0	0.07	
589.0	0.03	
587.0	0.0	
585.0	-0.01	
584.0	0.22	
583.0	0.04	
581.0	0.05	
579.0	-0.03	
577.0	0.01	
578.0	-0.11	
575.0	-0.01	
574.0	-0.05	
573.0	0.08	
571.0	0.06	
569.0	0.02	
567.0	0.1	
565.0	0.04	
564.0	0.0	
563.0	0.13	
561.0	0.08	
561.0	-0.37	
559.0	0.07	
557.0	-0.01	
555.0	0.02	
554.0	0.01	
554.0	-0.14	
552.0	-0.02	
550.0	-0.02	
548.0	0.01	
546.0	-0.01	
544.0	0.09	
544.0	-0.1	
542.0	-0.03	
540.0	0.0	
538.0	0.03	
536.0	-0.01	
534.0	0.03	
534.0	-0.3	
532.0	-0.02	
530.0	-0.05	
528.0	-0.06	
528.0	0.12	
526.0	0.0	
524.0	-0.21	
524.0	0.04	
523.0	-0.06	
520.0	-0.05	
517.0	0.0	
514.0	0.01	
514.0	-0.25	
512.0	0.0	
511.0	-0.1	
509.0	-0.03	
506.0	0.05	
504.0	-0.38	
503.0	0.07	
501.0	0.11	
498.0	-0.02	
495.0	-0.05	
495.0	-0.19	
494.0	-0.39	
492.0	0.03	
490.0	-0.05	
487.0	-0.09	
484.0	-0.06	
481.0	-0.04	
479.0	-0.09	
476.0	-0.08	
477.0	-0.45	
473.0	-0.1	
470.0	-0.11	
470.0	-0.52	
468.0	-0.14	
465.0	-0.17	
462.0	-0.07	
463.0	-0.35	
459.0	-0.01	
457.0	-0.02	
456.0	-0.33	
454.0	-0.04	
451.0	-0.07	
448.0	-0.07	
448.0	-0.32	
446.0	-0.09	
443.0	-0.05	
440.0	-0.05	
441.0	-0.17	
438.0	-0.36	
438.0	-0.05	
435.0	-0.07	
434.0	-0.28	
432.0	-0.05	
429.0	-0.06	
427.0	-0.06	
427.0	-0.26	
424.0	-0.03	
421.0	-0.05	
419.0	-0.19	
420.0	-0.17	
418.0	-0.05	
416.0	-0.06	
414.0	-0.05	
413.0	-0.03	
410.0	-0.04	
409.0	-0.3	
407.0	-0.01	
405.0	-0.01	
402.0	0.01	
400.0	0.01	
399.0	0.07	
399.0	-0.32	
397.0	0.06	
388.0	-0.33	
382.0	-0.32	
378.0	-0.32	
367.0	-0.29	
363.0	0.15	
357.0	-0.25	
346.0	-0.27	
344.0	-0.11	
336.0	-0.26	
325.0	-0.02	
325.0	-0.3	
306.0	-0.11	
290.0	-0.24	
288.0	0.02	
283.0	-0.22	
275.0	-0.07	
269.0	0.16	
268.0	-0.21	
261.0	-0.22	
253.0	-0.21	
250.0	0.05	
246.0	-0.24	
239.0	-0.11	
231.0	0.18	
231.0	-0.17	
224.0	-0.05	
216.0	0.02	
212.0	-0.04	
209.0	-0.07	
202.0	-0.07	
194.0	0.19	
194.0	-0.22	
187.0	-0.24	
180.0	-0.09	
175.0	-0.18	
172.0	-0.1	
165.0	-0.18	
156.0	0.25	
157.0	-0.09	
150.0	-0.15	
142.0	-0.14	
137.0	0.35	
135.0	-0.26	
127.0	-0.41	
120.0	-0.23	
118.0	0.04	
