# Mangini.Spannagel_Cave_.2005
#-----------------------------------------------------------------------            
#                World Data Service for Paleoclimatology, Boulder            
#                                  and            
#                     NOAA Paleoclimatology Program            
#             National Centers for Environmental Information (NCEI)            
#-----------------------------------------------------------------------            
# Template Version 3.0            
# Encoding: UTF-8            
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.             
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Eur-SpannagelCave.Mangini.2005.txt
#     Online_Resource_Description:  This file.  NOAA WDS Paleo formatted metadata and data for version 2.0.0 of this dataset.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Eur-SpannagelCave.Mangini.2005.lpd
#     Online_Resource_Description:  Linked Paleo Data (LiPD) formatted file containing the same metadata and data as this file, for version 2.0.0 of this dataset.
#
# Original_Source_URL: http://www.ncdc.noaa.gov/paleo/study/5433
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: speleothem
# Parameter_Keywords: 
# Dataset_DOI: 
#
#------------------
# Contribution_Date
#     Date: 
#------------------
# File_Last_Modified_Date
#     Modified_Date: 2017-05-19
#------------------
# Title
#     Study_Name: Mangini.Spannagel_Cave_.2005
#------------------
# Investigators
#     Investigators: Mangini, A.;Spötl, C.;Verdes, P.
#------------------
# Description_Notes_and_Keywords
#     Description: The uppermost point marks the present-day conditions in Spannagel at +1.8C and y18O= 7.8x. The average temperature in the Alps during the coldest period between 1688 and 1698 coincided with the Maunder Minimum. As derived from Luterbacher's data the average temperature in this period was 1.0 (F0.5) 8C about 1.8 8C lower than in the period between 1995 and 1998.
#------------------
# Publication
#     Authors: Mangini, A.;Spötl, C.;Verdes, P.
#     Published_Date_or_Year: 2005
#     Published_Title: Reconstruction of temperature in the Central Alps during the past 2000 yr from a δ18O stalagmite record
#     Journal_Name: Earth and Planetary Science Letters
#     Volume: 235
#     Edition: 
#     Issue: 
#     Pages: 741-751
#     Report: 
#     DOI: 10.1016/j.epsl.2005.05.010
#     Online_Resource: doi.org
#     Full_Citation: 
#     Abstract: 
#------------------
# Funding_Agency
#     Funding_Agency_Name: 
#     Grant: 
#------------------
# Site_Information
#     Site_Name: Spannagel Cave,
#     Location: 
#     Country: 
#     Northernmost_Latitude: 47.1
#     Southernmost_Latitude: 47.1
#     Easternmost_Longitude: 11.6
#     Westernmost_Longitude: 11.6
#     Elevation: 2347
#------------------
# Data_Collection
#     Collection_Name: 
#     Earliest_Year: -90.0
#     Most_Recent_Year: 1935.0
#     Time_Unit: AD
#     Core_Length: 
#     Notes: 
#------------------
# Species
#     Species_Name: 
#     Species_Code: 
#     Common_Name: 
#------------------
# Chronology:        

#------------------
# Variables        
#
# Data variables follow that are preceded by "##" in columns one and two.        
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components ( 10 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data, additional_information)
#
##year	Year AD, ,,AD, , speleothem, ,,N,   
##d18O	,,,permil, winter, speleothem, ,,, ; climateInterpretation_seasonality changed - was originally Annual/winter;  
#
#------------------
# Data:        
# Data lines follow (have no #)        
# Data line format - tab-delimited text, variable short name as header)        
# Missing_Values: nan
#
year           d18O	
1935.0	-7.49	
1932.0	-7.41	
1930.0	-7.36	
1929.0	-7.15	
1929.0	-7.28	
1928.0	-6.99	
1928.0	-6.96	
1927.0	-7.27	
1927.0	-7.58	
1926.0	-7.6	
1926.0	-7.62	
1925.0	-7.74	
1924.0	-7.71	
1924.0	-7.66	
1923.0	-7.39	
1923.0	-7.28	
1922.0	-7.23	
1922.0	-7.24	
1921.0	-7.81	
1921.0	-7.92	
1920.0	-7.51	
1919.0	-7.54	
1918.0	-7.59	
1917.0	-7.95	
1916.0	-7.78	
1914.0	-7.57	
1913.0	-7.19	
1912.0	-7.64	
1911.0	-7.36	
1910.0	-7.46	
1908.0	-7.4	
1907.0	-7.29	
1905.0	-7.01	
1903.0	-7.16	
1902.0	-7.6	
1900.0	-7.5	
1898.0	-7.64	
1896.0	-7.51	
1894.0	-7.84	
1892.0	-7.72	
1890.0	-7.47	
1888.0	-7.45	
1885.0	-7.24	
1883.0	-7.32	
1880.0	-7.12	
1878.0	-7.02	
1876.0	-7.08	
1874.0	-7.27	
1872.0	-7.14	
1870.0	-7.2	
1868.0	-7.05	
1865.0	-7.26	
1863.0	-7.27	
1860.0	-7.25	
1858.0	-7.37	
1855.0	-7.39	
1853.0	-7.41	
1850.0	-7.47	
1848.0	-7.52	
1845.0	-7.39	
1843.0	-7.35	
1840.0	-7.28	
1838.0	-7.26	
1835.0	-7.34	
1833.0	-7.6	
1830.0	-7.54	
1828.0	-7.7	
1825.0	-7.69	
1823.0	-7.63	
1820.0	-7.72	
1818.0	-7.55	
1815.0	-7.38	
1813.0	-7.26	
1810.0	-7.19	
1807.0	-7.32	
1803.0	-7.33	
1800.0	-7.22	
1798.0	-7.14	
1795.0	-7.08	
1793.0	-6.95	
1790.0	-7.15	
1787.0	-7.31	
1783.0	-7.16	
1780.0	-7.07	
1778.0	-7.07	
1775.0	-7.09	
1773.0	-7.34	
1770.0	-7.34	
1768.0	-7.23	
1765.0	-7.18	
1763.0	-7.26	
1760.0	-7.5	
1758.0	-7.3	
1755.0	-7.5	
1753.0	-7.28	
1750.0	-7.6	
1748.0	-7.33	
1746.0	-7.21	
1744.0	-7.25	
1742.0	-7.42	
1740.0	-7.73	
1738.0	-7.65	
1735.0	-7.33	
1733.0	-7.23	
1730.0	-7.29	
1728.0	-7.12	
1725.0	-7.16	
1723.0	-7.22	
1720.0	-7.21	
1718.0	-7.08	
1716.0	-6.89	
1714.0	-6.89	
1712.0	-7.0	
1710.0	-7.34	
1708.0	-7.33	
1706.0	-7.11	
1704.0	-7.19	
1702.0	-7.16	
1700.0	-7.1	
1698.0	-7.06	
1695.0	-6.88	
1693.0	-7.14	
1690.0	-7.39	
1688.0	-7.19	
1686.0	-6.8	
1684.0	-6.89	
1682.0	-7.06	
1680.0	-7.02	
1678.0	-6.82	
1676.0	-6.92	
1674.0	-7.05	
1672.0	-7.35	
1670.0	-7.41	
1668.0	-7.25	
1666.0	-7.39	
1664.0	-7.51	
1662.0	-7.53	
1660.0	-7.37	
1658.0	-7.36	
1657.0	-7.5	
1656.0	-7.78	
1653.0	-7.23	
1652.0	-7.17	
1650.0	-7.44	
1648.0	-7.35	
1646.0	-7.02	
1644.0	-7.24	
1642.0	-7.22	
1640.0	-7.62	
1638.0	-7.67	
1637.0	-7.51	
1636.0	-7.63	
1633.0	-7.13	
1632.0	-7.12	
1630.0	-7.32	
