# Jacoby.Twisted_Tree_Heartrot_Hill.1989
#-----------------------------------------------------------------------            
#                World Data Service for Paleoclimatology, Boulder            
#                                  and            
#                     NOAA Paleoclimatology Program            
#             National Centers for Environmental Information (NCEI)            
#-----------------------------------------------------------------------            
# Template Version 3.0            
# Encoding: UTF-8            
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.             
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/NAm-TwistedTreeHeartrotHill.Jacoby.1989-2.txt
#     Online_Resource_Description:  This file.  NOAA WDS Paleo formatted metadata and data for version 2.0.0 of this dataset.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/NAm-TwistedTreeHeartrotHill.Jacoby.1989.lpd
#     Online_Resource_Description:  Linked Paleo Data (LiPD) formatted file containing the same metadata and data as this file, for version 2.0.0 of this dataset.
#
# Original_Source_URL: https://www.ncdc.noaa.gov/paleo/study/3615
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: tree
# Parameter_Keywords: 
# Dataset_DOI: 
#
#------------------
# Contribution_Date
#     Date: 
#------------------
# File_Last_Modified_Date
#     Modified_Date: 2017-05-19
#------------------
# Title
#     Study_Name: Jacoby.Twisted_Tree_Heartrot_Hill.1989
#------------------
# Investigators
#     Investigators: Jacoby, Gordon C.;DArrigo, Rosanne
#------------------
# Description_Notes_and_Keywords
#     Description: 
#------------------
# Publication
#     Authors: Jacoby, Gordon C.;DArrigo, Rosanne
#     Published_Date_or_Year: 1989
#     Published_Title: Reconstructed Northern Hemisphere annual temperature since 1671 based on high-latitude tree-ring data from North America
#     Journal_Name: Climatic Change
#     Volume: 14
#     Edition: 
#     Issue: 1
#     Pages: 39-59
#     Report: 
#     DOI: 10.1007/BF00140174
#     Online_Resource: doi.org
#     Full_Citation: 
#     Abstract: 
#------------------
# Funding_Agency
#     Funding_Agency_Name: 
#     Grant: 
#------------------
# Site_Information
#     Site_Name: Twisted Tree Heartrot Hill
#     Location: 
#     Country: 
#     Northernmost_Latitude: 65
#     Southernmost_Latitude: 65
#     Easternmost_Longitude: -138.3
#     Westernmost_Longitude: -138.3
#     Elevation: 915
#------------------
# Data_Collection
#     Collection_Name: 
#     Earliest_Year: 1550.0
#     Most_Recent_Year: 1975.0
#     Time_Unit: AD
#     Core_Length: 
#     Notes: 
#------------------
# Species
#     Species_Name: 
#     Species_Code: PCGL
#     Common_Name: 
#------------------
# Chronology:        

#------------------
# Variables        
#
# Data variables follow that are preceded by "##" in columns one and two.        
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components ( 10 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data, additional_information)
#
##year	Year AD, ,,AD, , tree, ,,N,   
##trsgi	,,,NA, summer, tree, ,,,  
#
#------------------
# Data:        
# Data lines follow (have no #)        
# Data line format - tab-delimited text, variable short name as header)        
# Missing_Values: nan
#
year           trsgi	
1550.0	0.816	
1551.0	0.991	
1552.0	1.051	
1553.0	0.954	
1554.0	1.003	
1555.0	0.914	
1556.0	0.906	
1557.0	0.922	
1558.0	1.078	
1559.0	1.202	
1560.0	1.121	
1561.0	0.81	
1562.0	1.081	
1563.0	1.046	
1564.0	1.311	
1565.0	1.001	
1566.0	0.978	
1567.0	0.717	
1568.0	0.978	
1569.0	0.875	
1570.0	0.807	
1571.0	0.82	
1572.0	0.978	
1573.0	0.875	
1574.0	1.012	
1575.0	1.233	
1576.0	1.005	
1577.0	0.742	
1578.0	1.052	
1579.0	1.044	
1580.0	1.126	
1581.0	0.849	
1582.0	1.175	
1583.0	0.897	
1584.0	0.933	
1585.0	0.787	
1586.0	0.749	
1587.0	0.717	
1588.0	0.772	
1589.0	0.738	
1590.0	0.794	
1591.0	0.639	
1592.0	0.749	
1593.0	0.669	
1594.0	0.836	
1595.0	1.078	
1596.0	1.015	
1597.0	1.331	
1598.0	0.905	
1599.0	1.282	
1600.0	1.102	
1601.0	1.29	
1602.0	0.998	
1603.0	0.804	
1604.0	0.754	
1605.0	0.685	
1606.0	0.876	
1607.0	0.743	
1608.0	0.776	
1609.0	0.955	
1610.0	0.791	
1611.0	0.736	
1612.0	0.896	
1613.0	1.021	
1614.0	0.965	
1615.0	1.026	
1616.0	0.924	
1617.0	1.078	
1618.0	0.933	
1619.0	0.739	
1620.0	0.745	
1621.0	0.575	
1622.0	0.531	
1623.0	0.49	
1624.0	0.449	
1625.0	0.467	
1626.0	0.437	
1627.0	0.678	
1628.0	0.566	
1629.0	0.631	
1630.0	0.73	
1631.0	0.51	
1632.0	0.607	
1633.0	0.63	
1634.0	0.777	
1635.0	0.583	
1636.0	0.797	
1637.0	0.852	
1638.0	0.745	
1639.0	0.895	
1640.0	1.04	
1641.0	1.035	
1642.0	0.95	
1643.0	0.828	
1644.0	0.94	
1645.0	0.768	
1646.0	0.808	
1647.0	0.793	
1648.0	0.782	
1649.0	0.922	
1650.0	0.956	
1651.0	0.851	
1652.0	0.763	
1653.0	0.682	
1654.0	0.937	
1655.0	0.914	
1656.0	0.888	
1657.0	0.951	
1658.0	1.122	
1659.0	1.142	
1660.0	1.141	
1661.0	1.196	
1662.0	1.412	
1663.0	1.176	
1664.0	1.086	
1665.0	1.05	
1666.0	1.132	
1667.0	0.901	
1668.0	0.967	
1669.0	1.032	
1670.0	0.779	
1671.0	1.035	
1672.0	1.011	
1673.0	0.969	
1674.0	0.57	
1675.0	0.778	
1676.0	0.899	
1677.0	0.823	
1678.0	0.946	
1679.0	0.816	
1680.0	0.819	
1681.0	1.039	
1682.0	1.163	
1683.0	0.976	
1684.0	0.928	
1685.0	0.765	
1686.0	0.768	
1687.0	0.557	
1688.0	0.669	
1689.0	0.636	
1690.0	0.843	
1691.0	0.87	
1692.0	0.856	
1693.0	0.819	
1694.0	0.901	
1695.0	0.64	
1696.0	0.788	
1697.0	0.746	
1698.0	0.673	
1699.0	0.447	
1700.0	0.306	
1701.0	0.235	
1702.0	0.523	
1703.0	0.534	
1704.0	0.368	
1705.0	0.258	
1706.0	0.366	
