# Kim.Cape_Ghir__NW_Africa.2007
#-----------------------------------------------------------------------            
#                World Data Service for Paleoclimatology, Boulder            
#                                  and            
#                     NOAA Paleoclimatology Program            
#             National Centers for Environmental Information (NCEI)            
#-----------------------------------------------------------------------            
# Template Version 3.0            
# Encoding: UTF-8            
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.             
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Ocn-CapeGhir.Doose-Rolinski.2007-2.txt
#     Online_Resource_Description:  This file.  NOAA WDS Paleo formatted metadata and data for version 2.0.0 of this dataset.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Ocn-CapeGhir.Doose-Rolinski.2007.lpd
#     Online_Resource_Description:  Linked Paleo Data (LiPD) formatted file containing the same metadata and data as this file, for version 2.0.0 of this dataset.
#
# Original_Source_URL: http://doi.pangaea.de/10.1594/PANGAEA.737217
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: marine sediment
# Parameter_Keywords: 
# Dataset_DOI: 
#
#------------------
# Contribution_Date
#     Date: 
#------------------
# File_Last_Modified_Date
#     Modified_Date: 2017-05-19
#------------------
# Title
#     Study_Name: Kim.Cape_Ghir__NW_Africa.2007
#------------------
# Investigators
#     Investigators: Kim, Jung-Hyun;Meggers, Helge;Rimbu, Norel;Lohmann, Gerrit;Freudenthal, Tim;Müller, Peter J.;Schneider, Ralph R.
#------------------
# Description_Notes_and_Keywords
#     Description: HVM, BM, 20/4/2016 Atlantic1578Kim2007_GeoB6007-2 Revised age model for GeoB6007-2 from Morley et al., (2011) was applied to GeoB6007-2 alkenone data from Kim et al., (2007).;These are the original, not quality controlled data. O2kLR recommends only using the Quality controlled data.Dataset does not contain updated age constraints and does not combine data from nearby cores (age model is combined into one composite)
#------------------
# Publication
#     Authors: Kim, Jung-Hyun;Meggers, Helge;Rimbu, Norel;Lohmann, Gerrit;Freudenthal, Tim;Müller, Peter J.;Schneider, Ralph R.
#     Published_Date_or_Year: 2007
#     Published_Title: Impacts of the North Atlantic gyre circulation on Holocene climate off northwest Africa
#     Journal_Name: Geology
#     Volume: 35
#     Edition: 
#     Issue: 5
#     Pages: 387-390
#     Report: 
#     DOI: 10.1130/G23251A.1
#     Online_Resource: doi.org
#     Full_Citation: 
#     Abstract: 
#------------------
# Publication
#     Authors: McGregor, Helen V.;Evans, Michael N.;Goosse, Hugues;Leduc, Guillaume;Martrat, Belen;Addison, Jason A.;Mortyn, P. Graham;Oppo, Delia W.;Seidenkrantz, Marit-Solveig;Sicre, Marie-Alexandrine;Phipps, Steven J.;Selvaraj, Kandasamy;Thirumalai, Kaustubh;Filipsson, Helena L.;Ersek, Vasile
#     Published_Date_or_Year: 2015
#     Published_Title: Robust global ocean cooling trend for the pre-industrial Common Era
#     Journal_Name: Nature Geoscience
#     Volume: 8
#     Edition: 
#     Issue: 9
#     Pages: 671-677
#     Report: 
#     DOI: 10.1038/ngeo2510
#     Online_Resource: doi.org
#     Full_Citation: 
#     Abstract: 
#------------------
# Funding_Agency
#     Funding_Agency_Name: 
#     Grant: 
#------------------
# Site_Information
#     Site_Name: Cape Ghir, NW Africa
#     Location: 
#     Country: 
#     Northernmost_Latitude: 30.85
#     Southernmost_Latitude: 30.85
#     Easternmost_Longitude: -10.2685
#     Westernmost_Longitude: -10.2685
#     Elevation: -900
#------------------
# Data_Collection
#     Collection_Name: 
#     Earliest_Year: -8552.0
#     Most_Recent_Year: 1977.59
#     Time_Unit: AD
#     Core_Length: 
#     Notes: 
#------------------
# Species
#     Species_Name: 
#     Species_Code: 
#     Common_Name: 
#------------------
# Chronology:        

#------------------
# Variables        
#
# Data variables follow that are preceded by "##" in columns one and two.        
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components ( 10 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data, additional_information)
#
##year	Year AD, ,,AD, , marine sediment, ,,N,   
##temperature	inferred sea-surface temperature, alkenone SST, ,degC, 1 2 3 4 5 6 7 8 9 10 11 12, marine sediment, ,alkenone, N,  All O2K-LR records have been quality-controlled according to protocols published in Nature Geoscience supplement.; climateInterpretation_seasonality changed - was originally Annual; MUE1998: T(sediments) = (Uk’37-0.044)/0.033; [Müller et al.; 1998; global (60S-60N); 0-29ºC; annual at 0 m; n=370; R2=0.958];  
#
#------------------
# Data:        
# Data lines follow (have no #)        
# Data line format - tab-delimited text, variable short name as header)        
# Missing_Values: nan
#
year           temperature	
1977.59	18.5	
1950.0	18.9	
1913.21	19.0	
1876.42	18.9	
1839.62	18.8	
1802.83	19.0	
1766.04	19.0	
1729.25	19.1	
1692.45	19.2	
1655.66	19.3	
1618.87	19.2	
1582.08	18.9	
1545.28	18.9	
1508.49	18.9	
1471.7	18.7	
1434.91	19.1	
1398.11	19.0	
1361.32	19.0	
1324.53	18.9	
1287.74	19.1	
1250.94	19.0	
1214.15	19.3	
1177.36	19.3	
1140.57	19.4	
1103.77	19.4	
1066.98	19.6	
1030.19	19.6	
993.4	19.5	
964.0	19.5	
942.0	19.5	
920.0	19.5	
898.0	19.4	
876.0	19.4	
854.0	19.4	
832.0	19.5	
811.38	19.4	
792.13	19.5	
772.88	19.5	
753.63	19.4	
724.86	19.5	
686.57	19.4	
648.29	19.3	
610.0	19.4	
571.71	19.3	
533.43	19.3	
495.14	19.3	
456.86	19.3	
418.57	19.3	
380.29	19.2	
342.0	19.4	
303.71	19.4	
265.43	19.2	
227.14	19.2	
188.86	19.2	
150.57	19.1	
112.29	19.1	
74.0	19.2	
35.71	19.2	
-2.57	19.1	
-40.86	19.0	
-79.14	19.1	
-117.43	19.2	
-155.71	19.1	
-194.0	19.1	
-232.29	19.1	
-270.57	19.1	
-308.86	19.1	
-347.14	19.1	
-385.43	19.1	
-423.71	19.1	
-462.0	19.1	
-500.29	19.1	
-538.57	19.1	
-576.86	19.2	
-720.0	19.1	
-739.0	19.2	
-759.0	19.1	
-778.0	19.2	
-798.0	19.4	
-817.0	19.2	
-837.0	19.3	
-856.0	19.1	
-876.0	19.2	
-895.0	19.3	
-914.0	19.4	
-934.0	19.5	
-953.0	19.4	
-973.0	19.4	
-992.0	19.4	
-1012.0	19.4	
-1031.0	19.4	
-1051.0	19.4	
-1070.0	19.4	
-1090.0	19.2	
-1109.0	19.2	
-1129.0	19.2	
-1148.0	19.3	
-1168.0	19.3	
-1187.0	19.3	
-1207.0	19.2	
-1226.0	19.2	
-1246.0	19.2	
-1265.0	19.3	
-1284.0	19.4	
-1304.0	19.3	
-1323.0	19.4	
-1343.0	19.5	
-1362.0	19.2	
-1382.0	19.5	
-1401.0	19.5	
-1421.0	19.3	
-1440.0	19.3	
-1460.0	19.4	
-1479.0	19.4	
-1499.0	19.6	
-1518.0	19.6	
-1538.0	19.6	
-1557.0	19.6	
-1577.0	19.6	
-1596.0	19.8	
-1616.0	19.7	
-1635.0	19.8	
-1654.0	19.7	
-1674.0	19.9	
-1713.0	19.7	
-1752.0	19.8	
-1791.0	19.9	
-1830.0	19.9	
-1869.0	19.8	
-1908.0	19.8	
-1947.0	19.8	
-1986.0	19.9	
-2025.0	19.6	
-2064.0	19.4	
-2103.0	19.6	
-2142.0	19.6	
-2181.0	19.6	
-2220.0	19.5	
-2259.0	19.5	
-2298.0	19.6	
-2337.0	19.6	
-2376.0	19.5	
-2415.0	19.5	
-2454.0	19.6	
-2493.0	19.5	
-2532.0	19.5	
-2571.0	19.5	
-2610.0	19.6	
-2649.0	19.7	
-2688.0	19.6	
-2727.0	19.6	
-2766.0	19.5	
-2805.0	19.8	
-2844.0	19.8	
-2889.0	19.7	
-2938.0	19.6	
-2987.0	19.5	
-3037.0	19.6	
-3086.0	19.7	
-3135.0	19.8	
-3184.0	19.7	
-3234.0	19.7	
-3283.0	19.8	
-3332.0	20.0	
-3373.0	19.9	
-3404.0	19.9	
-3435.0	19.9	
-3466.0	20.0	
-3497.0	19.6	
-3528.0	19.9	
-3559.0	19.8	
-3590.0	19.9	
-3621.0	19.8	
-3652.0	19.7	
-3683.0	19.8	
-3714.0	19.8	
-3745.0	19.9	
-3776.0	19.9	
-3807.0	19.9	
-3838.0	19.9	
-3869.0	19.8	
-3900.0	19.8	
-3931.0	19.8	
-3962.0	20.0	
-3993.0	20.1	
-4024.0	20.1	
-4055.0	20.1	
-4086.0	20.1	
-4117.0	20.1	
-4148.0	20.2	
-4179.0	20.3	
-4210.0	20.4	
-4241.0	20.3	
-4272.0	20.2	
-4303.0	20.1	
-4334.0	20.0	
-4365.0	20.2	
-4396.0	20.2	
-4427.0	20.5	
-4458.0	20.5	
-4489.0	20.4	
-4520.0	20.4	
-4551.0	20.5	
-4582.0	20.5	
-4613.0	20.5	
-4642.0	20.4	
-4671.0	20.2	
-4700.0	20.4	
-4729.0	20.4	
-4758.0	20.4	
-4787.0	20.5	
-4816.0	20.5	
-4845.0	20.6	
-4874.0	20.3	
-4903.0	20.2	
-4932.0	20.3	
-4961.0	20.2	
-4990.0	20.6	
-5019.0	20.7	
-5049.0	20.6	
-5078.0	20.6	
-5107.0	20.4	
-5136.0	20.5	
-5165.0	20.5	
-5194.0	20.6	
-5223.0	20.6	
-5252.0	20.5	
-5292.0	20.4	
-5332.0	20.5	
-5372.0	20.4	
-5411.0	20.4	
-5451.0	20.3	
-5491.0	20.2	
-5531.0	20.2	
-5571.0	20.2	
-5611.0	20.4	
-5651.0	20.3	
-5690.0	20.4	
-5730.0	20.3	
-5770.0	20.3	
-5810.0	20.2	
-5850.0	20.1	
-5890.0	20.2	
-5929.0	20.1	
-5969.0	20.1	
-6009.0	20.1	
-6049.0	20.4	
-6098.0	20.3	
-6148.0	20.3	
-6197.0	20.3	
-6246.0	20.4	
-6295.0	20.2	
-6345.0	20.2	
-6394.0	19.7	
-6443.0	19.6	
-6493.0	19.6	
-6542.0	19.7	
-6591.0	19.7	
-6640.0	19.7	
-6675.0	19.9	
-6696.0	20.0	
-6717.0	20.4	
-6737.0	20.3	
-6758.0	20.2	
-6779.0	20.3	
-6799.0	20.5	
-6820.0	20.3	
-6841.0	20.4	
-6861.0	20.5	
-6882.0	20.5	
-6902.0	20.3	
-6923.0	20.3	
-6944.0	20.4	
-6964.0	20.4	
-6985.0	20.4	
-7006.0	20.4	
-7026.0	20.5	
-7047.0	20.4	
-7068.0	20.5	
-7086.0	20.5	
-7102.0	20.4	
-7119.0	20.4	
-7135.0	20.4	
-7151.0	20.7	
-7167.0	20.5	
-7184.0	20.6	
-7200.0	20.7	
-7216.0	20.9	
-7232.0	20.7	
-7249.0	20.6	
-7265.0	20.6	
-7281.0	20.5	
-7297.0	20.5	
-7313.0	20.6	
-7330.0	20.5	
-7346.0	20.4	
-7362.0	20.6	
-7378.0	20.5	
-7395.0	20.4	
-7411.0	20.2	
-7427.0	20.2	
-7443.0	20.3	
-7460.0	20.9	
-7476.0	20.8	
-7487.0	20.8	
-7493.0	20.7	
-7498.0	20.7	
-7504.0	20.7	
-7510.0	20.7	
-7516.0	20.6	
-7521.0	20.7	
-7527.0	20.6	
-7533.0	20.5	
-7538.0	20.5	
-7544.0	20.5	
-7550.0	20.5	
-7556.0	20.4	
-7561.0	20.8	
-7567.0	20.7	
-7573.0	20.8	
-7579.0	20.7	
-7584.0	20.6	
-7590.0	20.8	
-7596.0	20.8	
