# Clipperton Atoll monthly Sr/Ca, 1874-1994
#-----------------------------------------------------------------------            
#                World Data Service for Paleoclimatology, Boulder            
#                                  and            
#                     NOAA Paleoclimatology Program            
#             National Centers for Environmental Information (NCEI)            
#-----------------------------------------------------------------------            
# Template Version 3.0            
# Encoding: UTF-8            
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.             
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Ocn-Clipperton4b.Wu.2014.txt
#     Online_Resource_Description:  This file.  NOAA WDS Paleo formatted metadata and data for version 2.0.0 of this dataset.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Ocn-Clipperton4b.Wu.2014.lpd
#     Online_Resource_Description:  Linked Paleo Data (LiPD) formatted file containing the same metadata and data as this file, for version 2.0.0 of this dataset.
#
# Original_Source_URL: https://www.ncdc.noaa.gov/paleo/study/17380
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: coral
# Parameter_Keywords: 
# Dataset_DOI: 
#
#------------------
# Contribution_Date
#     Date: 
#------------------
# File_Last_Modified_Date
#     Modified_Date: 2017-05-19
#------------------
# Title
#     Study_Name: Clipperton Atoll monthly Sr/Ca, 1874-1994
#------------------
# Investigators
#     Investigators: Wu
#------------------
# Description_Notes_and_Keywords
#     Description: 
#------------------
# Publication
#     Authors: Wu, Henry C.;Moreau, Mélanie;Linsley, Braddock K.;Schrag, Daniel P.;Corrège, Thierry
#     Published_Date_or_Year: 2014
#     Published_Title: Investigation of sea surface temperature changes from replicated coral Sr/Ca variations in the eastern equatorial Pacific (Clipperton Atoll) since 1874
#     Journal_Name: Palaeogeography, Palaeoclimatology, Palaeoecology
#     Volume: 412
#     Edition: 
#     Issue: 
#     Pages: 208-222
#     Report: 
#     DOI: 10.1016/j.palaeo.2014.07.039
#     Online_Resource: doi.org
#     Full_Citation: 
#     Abstract: 
#------------------
# Funding_Agency
#     Funding_Agency_Name: 
#     Grant: 
#------------------
# Site_Information
#     Site_Name: Clipperton
#     Location: 
#     Country: 
#     Northernmost_Latitude: 10.2773
#     Southernmost_Latitude: 10.2773
#     Easternmost_Longitude: -109.2131
#     Westernmost_Longitude: -109.2131
#     Elevation: -13
#------------------
# Data_Collection
#     Collection_Name: 
#     Earliest_Year: 1894.04167
#     Most_Recent_Year: 1993.95833267
#     Time_Unit: AD
#     Core_Length: 
#     Notes: 
#------------------
# Species
#     Species_Name: Porites,Porites lobata
#     Species_Code: 
#     Common_Name: 
#------------------
# Chronology:        

#------------------
# Variables        
#
# Data variables follow that are preceded by "##" in columns one and two.        
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components ( 10 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data, additional_information)
#
##year	Year AD, ,,AD, , coral, ,,N,   
##Sr_Ca	,,,mmol/mol, N/A (subannually resolved), coral, ,,, ; paleoData_variableName changed - was originally Sr_Ca; climateInterpretation_seasonality changed - was originally monthly; paleoData_variableName changed - was originally Sr_Ca;  
#
#------------------
# Data:        
# Data lines follow (have no #)        
# Data line format - tab-delimited text, variable short name as header)        
# Missing_Values: nan
#
year           Sr_Ca	
1993.95833267	9.32615813	
1993.87499934	9.25179023	
1993.79166601	9.17526308	
1993.70833268	9.21	
1993.62499935	9.21	
1993.54166602	9.18747363	
1993.45833269	9.14242057	
1993.37499936	9.08000046	
1993.29166603	9.16008069	
1993.2083327	9.16004019	
1993.12499937	9.13018063	
1993.04166604	9.20987483	
1992.95833271	9.17864045	
1992.87499938	9.16	
1992.79166605	9.16	
1992.70833272	9.15498746	
1992.62499939	9.14370292	
1992.54166606	9.11246854	
1992.45833273	9.09249366	
1992.3749994	9.08000076	
1992.29166607	9.16003025	
1992.20833274	9.14018082	
1992.12499941	9.2	
1992.04166608	9.20987985	
1991.95833275	9.17989484	
1991.87499942	9.14998497	
1991.79166609	9.14498747	
1991.70833276	9.14002006	
1991.62499943	9.15001506	
1991.5416661	9.15995472	
1991.45833277	9.11497721	
1991.37499944	9.07	
1991.29166611	9.09666738	
1991.20833278	9.18333378	
1991.12499945	9.20999977	
1991.04166612	9.17444421	
1990.95833279	9.17777784	
1990.87499946	9.20000017	
1990.79166613	9.18777755	
1990.7083328	9.1566665	
1990.62499947	9.15000017	
1990.54166614	9.15888861	
1990.45833281	9.11888883	
1990.37499948	9.11000042	
1990.29166615	9.16333342	
1990.20833282	9.20333374	
1990.12499949	9.30999951	
1990.04166616	9.2299996	
1989.95833283	9.18999994	
1989.8749995	9.15999988	
1989.79166617	9.1400006	
1989.70833284	9.19999994	
1989.62499951	9.16999994	
1989.54166618	9.1600001	
1989.45833285	9.16999993	
1989.37499952	9.13000108	
1989.29166619	9.22	
1989.20833286	9.20333303	
1989.12499953	9.24	
1989.0416662	9.24	
1988.95833287	9.23888886	
1988.87499954	9.2333333	
1988.79166621	9.22555549	
1988.70833288	9.21444438	
1988.62499955	9.19666655	
1988.54166622	9.17444433	
1988.45833289	9.12999973	
1988.37499956	9.08000032	
1988.29166623	9.14000074	
1988.2083329	9.21999999	
1988.12499957	9.21	
1988.04166624	9.21	
1987.95833291	9.20333327	
1987.87499958	9.18999993	
1987.79166625	9.1766666	
1987.70833292	9.15666653	
1987.62499959	9.13000016	
1987.54166626	9.1633335	
1987.45833293	9.17333327	
1987.3749996	9.16	
1987.29166627	9.17504526	
1987.20833294	9.2101204	
1987.12499961	9.27018046	
1987.04166628	9.30996498	
1986.95833295	9.30121938	
1986.87499962	9.28494739	
1986.79166629	9.26118421	
1986.70833296	9.20484223	
1986.62499963	9.16376313	
1986.5416663	9.17250876	
1986.45833297	9.17874556	
1986.37499964	9.17000017	
1986.29166631	9.17000033	
1986.20833298	9.19000001	
1986.12499965	9.25999986	
1986.04166632	9.22875556	
1985.95833299	9.21751116	
1985.87499966	9.21	
1985.79166633	9.21497756	
1985.708333	9.22	
1985.62499967	9.21253372	
1985.54166634	9.26226403	
1985.45833301	9.2401348	
1985.37499968	9.23988003	
1985.29166635	9.29988011	
1985.20833302	9.27001994	
1985.12499969	9.30999992	
1985.04166636	9.2877777	
1984.95833303	9.26666661	
1984.8749997	9.24999994	
1984.79166637	9.23555552	
1984.70833304	9.22444441	
1984.62499971	9.18666647	
1984.54166638	9.13111092	
1984.45833305	9.11111107	
1984.37499972	9.10000006	
1984.29166639	9.14758788	
1984.20833306	9.15992982	
1984.12499973	9.13255261	
1984.0416664	9.22	
1983.95833307	9.22	
1983.87499974	9.21992496	
1983.79166641	9.19493745	
