# Clipperton Atoll monthly Sr/Ca, 1874-1994
#-----------------------------------------------------------------------            
#                World Data Service for Paleoclimatology, Boulder            
#                                  and            
#                     NOAA Paleoclimatology Program            
#             National Centers for Environmental Information (NCEI)            
#-----------------------------------------------------------------------            
# Template Version 3.0            
# Encoding: UTF-8            
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.             
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Ocn-Clipperton6a.Wu.2014.txt
#     Online_Resource_Description:  This file.  NOAA WDS Paleo formatted metadata and data for version 2.0.0 of this dataset.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Ocn-Clipperton6a.Wu.2014.lpd
#     Online_Resource_Description:  Linked Paleo Data (LiPD) formatted file containing the same metadata and data as this file, for version 2.0.0 of this dataset.
#
# Original_Source_URL: https://www.ncdc.noaa.gov/paleo/study/17380
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: coral
# Parameter_Keywords: 
# Dataset_DOI: 
#
#------------------
# Contribution_Date
#     Date: 
#------------------
# File_Last_Modified_Date
#     Modified_Date: 2017-05-19
#------------------
# Title
#     Study_Name: Clipperton Atoll monthly Sr/Ca, 1874-1994
#------------------
# Investigators
#     Investigators: Wu
#------------------
# Description_Notes_and_Keywords
#     Description: 
#------------------
# Publication
#     Authors: Wu, Henry C.;Moreau, Mélanie;Linsley, Braddock K.;Schrag, Daniel P.;Corrège, Thierry
#     Published_Date_or_Year: 2014
#     Published_Title: Investigation of sea surface temperature changes from replicated coral Sr/Ca variations in the eastern equatorial Pacific (Clipperton Atoll) since 1874
#     Journal_Name: Palaeogeography, Palaeoclimatology, Palaeoecology
#     Volume: 412
#     Edition: 
#     Issue: 
#     Pages: 208-222
#     Report: 
#     DOI: 10.1016/j.palaeo.2014.07.039
#     Online_Resource: doi.org
#     Full_Citation: 
#     Abstract: 
#------------------
# Funding_Agency
#     Funding_Agency_Name: 
#     Grant: 
#------------------
# Site_Information
#     Site_Name: Clipperton
#     Location: 
#     Country: 
#     Northernmost_Latitude: 10.2773
#     Southernmost_Latitude: 10.2773
#     Easternmost_Longitude: -109.2131
#     Westernmost_Longitude: -109.2131
#     Elevation: -13
#------------------
# Data_Collection
#     Collection_Name: 
#     Earliest_Year: 1941.95833475
#     Most_Recent_Year: 1993.95833267
#     Time_Unit: AD
#     Core_Length: 
#     Notes: 
#------------------
# Species
#     Species_Name: Porites,Porites lobata
#     Species_Code: 
#     Common_Name: 
#------------------
# Chronology:        

#------------------
# Variables        
#
# Data variables follow that are preceded by "##" in columns one and two.        
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components ( 10 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data, additional_information)
#
##year	Year AD, ,,AD, , coral, ,,N,   
##Sr_Ca	,,,mmol/mol, N/A (subannually resolved), coral, ,,, ; paleoData_variableName changed - was originally Sr_Ca; climateInterpretation_seasonality changed - was originally monthly; paleoData_variableName changed - was originally Sr_Ca;  
#
#------------------
# Data:        
# Data lines follow (have no #)        
# Data line format - tab-delimited text, variable short name as header)        
# Missing_Values: nan
#
year           Sr_Ca	
1993.95833267	9.21206667	
1993.87499934	9.16379224	
1993.79166601	9.12023017	
1993.70833268	9.13862212	
1993.62499935	9.18321868	
1993.54166602	9.1570095	
1993.45833269	9.10137846	
1993.37499936	9.08229857	
1993.29166603	9.10933427	
1993.2083327	9.17200194	
1993.12499937	9.20566692	
1993.04166604	9.18583204	
1992.95833271	9.15199946	
1992.87499938	9.14316694	
1992.79166605	9.17333594	
1992.70833272	9.23799852	
1992.62499939	9.16599884	
1992.54166606	9.11099879	
1992.45833273	9.12800042	
1992.3749994	9.09733245	
1992.29166607	9.12333434	
1992.20833274	9.1349998	
1992.12499941	9.1400006	
1992.04166608	9.16166687	
1991.95833275	9.17	
1991.87499942	9.17	
1991.79166609	9.1499994	
1991.70833276	9.10999881	
1991.62499943	9.10000119	
1991.5416661	9.12333135	
1991.45833277	9.0399998	
1991.37499944	9.03166647	
1991.29166611	9.0813349	
1991.20833278	9.15200187	
1991.12499945	9.18566691	
1991.04166612	9.18033283	
1990.95833279	9.16199948	
1990.87499946	9.16900161	
1990.79166613	9.20533283	
1990.7083328	9.18849982	
1990.62499947	9.18	
1990.54166614	9.18	
1990.45833281	9.13499899	
1990.37499948	9.07283185	
1990.29166615	9.13333553	
1990.20833282	9.16	
1990.12499949	9.20533523	
1990.04166616	9.2158321	
1989.95833283	9.17799923	
1989.8749995	9.16316693	
1989.79166617	9.17933432	
1989.70833284	9.20549949	
1989.62499951	9.17666576	
1989.54166618	9.13083239	
1989.45833285	9.09399921	
1989.37499952	9.06549938	
1989.29166619	9.13200212	
1989.20833286	9.18350018	
1989.12499953	9.19	
1989.0416662	9.19	
1988.95833287	9.17799959	
1988.87499954	9.14199855	
1988.79166621	9.09800104	
1988.70833288	9.15800109	
1988.62499955	9.17600014	
1988.54166622	9.1659994	
1988.45833289	9.13399905	
1988.37499956	9.08899901	
1988.29166623	9.18406585	
1988.2083329	9.13603648	
1988.12499957	9.143661	
1988.04166624	9.25215304	
1987.95833291	9.19571038	
1987.87499958	9.11575036	
1987.79166625	9.08796069	
1987.70833292	9.07296819	
1987.62499959	9.07	
1987.54166626	9.07	
1987.45833293	9.04998446	
1987.3749996	9.02499696	
1987.29166627	9.07133478	
1987.20833294	9.09650022	
1987.12499961	9.11700067	
1987.04166628	9.13483357	
1986.95833295	9.16000121	
1986.87499962	9.18366617	
1986.79166629	9.17466713	
1986.70833296	9.17949889	
1986.62499963	9.11933317	
1986.5416663	9.11016649	
1986.45833297	9.15500092	
1986.37499964	9.1191657	
1986.29166631	9.11005138	
1986.20833298	9.16	
1986.12499965	9.1801412	
1986.04166632	9.24528687	
1985.95833299	9.23589149	
1985.87499966	9.21647661	
1985.79166633	9.21713772	
1985.708333	9.26961133	
1985.62499967	9.23791507	
1985.54166634	9.19245803	
1985.45833301	9.15799064	
1985.37499968	9.14299818	
1985.29166635	9.19003081	
1985.20833302	9.20990887	
1985.12499969	9.22028235	
1985.04166636	9.34302587	
1984.95833303	9.2574937	
1984.8749997	9.19844539	
1984.79166637	9.19	
1984.70833304	9.2161484	
1984.62499971	9.24381604	
1984.54166638	9.13696096	
1984.45833305	9.10197819	
1984.37499972	9.05049365	
1984.29166639	9.09600109	
1984.20833306	9.184001	
1984.12499973	9.20133181	
1984.0416664	9.13699925	
1983.95833307	9.13200053	
1983.87499974	9.17833458	
1983.79166641	9.19933351	
