# Los Roques, Venezuela 1918-2004 Monthly Coral d18O Data
#-----------------------------------------------------------------------            
#                World Data Service for Paleoclimatology, Boulder            
#                                  and            
#                     NOAA Paleoclimatology Program            
#             National Centers for Environmental Information (NCEI)            
#-----------------------------------------------------------------------            
# Template Version 3.0            
# Encoding: UTF-8            
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.             
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Ocn-LosRoques.Hetzinger.2008.txt
#     Online_Resource_Description:  This file.  NOAA WDS Paleo formatted metadata and data for version 2.0.0 of this dataset.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Ocn-LosRoques.Hetzinger.2008.lpd
#     Online_Resource_Description:  Linked Paleo Data (LiPD) formatted file containing the same metadata and data as this file, for version 2.0.0 of this dataset.
#
# Original_Source_URL: https://www.ncdc.noaa.gov/paleo/study/12891
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: coral
# Parameter_Keywords: 
# Dataset_DOI: 
#
#------------------
# Contribution_Date
#     Date: 
#------------------
# File_Last_Modified_Date
#     Modified_Date: 2017-05-19
#------------------
# Title
#     Study_Name: Los Roques, Venezuela 1918-2004 Monthly Coral d18O Data
#------------------
# Investigators
#     Investigators: Hetzinger, Stephan
#------------------
# Description_Notes_and_Keywords
#     Description: 
#------------------
# Publication
#     Authors: Hetzinger, Steffen;Pfeiffer, Miriam;Dullo, Wolf-Christian;Keenlyside, Noel;Latif, Mojib;Zinke, Jens
#     Published_Date_or_Year: 2008
#     Published_Title: Caribbean coral tracks Atlantic Multidecadal Oscillation and past hurricane activity
#     Journal_Name: Geology
#     Volume: 36
#     Edition: 
#     Issue: 1
#     Pages: 11-14
#     Report: 
#     DOI: 10.1130/G24321A.1
#     Online_Resource: doi.org
#     Full_Citation: 
#     Abstract: 
#------------------
# Funding_Agency
#     Funding_Agency_Name: 
#     Grant: 
#------------------
# Site_Information
#     Site_Name: Los Roques, Venezuela
#     Location: 
#     Country: 
#     Northernmost_Latitude: 11.77
#     Southernmost_Latitude: 11.77
#     Easternmost_Longitude: -66.75
#     Westernmost_Longitude: -66.75
#     Elevation: -2
#------------------
# Data_Collection
#     Collection_Name: 
#     Earliest_Year: 1917.79
#     Most_Recent_Year: 2004.79
#     Time_Unit: AD
#     Core_Length: 
#     Notes: 
#------------------
# Species
#     Species_Name: Diploria,Diploria strigosa
#     Species_Code: 
#     Common_Name: 
#------------------
# Chronology:        

#------------------
# Variables        
#
# Data variables follow that are preceded by "##" in columns one and two.        
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components ( 10 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data, additional_information)
#
##year	Year AD, ,,AD, , coral, ,,N,   
##d18O	,,,permil, N/A (subannually resolved), coral, ,,, ; climateInterpretation_seasonality changed - was originally monthly;  
#
#------------------
# Data:        
# Data lines follow (have no #)        
# Data line format - tab-delimited text, variable short name as header)        
# Missing_Values: nan
#
year           d18O	
1917.79	-3.8123	
1917.87	-3.73082	
1917.96	-3.74912	
1918.04	-3.6656	
1918.12	-3.69957	
1918.21	-3.54623	
1918.29	-3.69425	
1918.37	-3.72524	
1918.46	-3.75389	
1918.54	-3.80037	
1918.62	-3.79628	
1918.71	-3.90944	
1918.79	-3.8462	
1918.87	-3.7255	
1918.96	-3.55541	
1919.04	-3.50192	
1919.12	-3.65708	
1919.21	-3.69148	
1919.29	-3.77717	
1919.37	-3.95403	
1919.46	-4.00207	
1919.54	-4.01119	
1919.62	-3.97113	
1919.71	-3.97105	
1919.79	-4.0024	
1919.87	-3.96231	
1919.96	-3.722	
1920.04	-3.70129	
1920.12	-3.578	
1920.21	-3.53806	
1920.29	-3.51626	
1920.37	-3.52671	
1920.46	-3.58061	
1920.54	-3.64128	
1920.62	-3.67199	
1920.71	-3.72136	
1920.79	-3.7854	
1920.87	-3.62498	
1920.96	-3.70021	
1921.04	-3.62224	
1921.12	-3.60321	
1921.21	-3.62169	
1921.29	-3.62921	
1921.37	-3.76582	
1921.46	-3.69477	
1921.54	-3.91812	
1921.62	-4.0121	
1921.71	-4.1039	
1921.79	-4.3894	
1921.87	-4.24227	
1921.96	-3.99015	
1922.04	-3.8893	
1922.12	-3.77559	
1922.21	-3.73529	
1922.29	-3.74665	
1922.37	-3.84986	
1922.46	-3.91893	
1922.54	-3.98337	
1922.62	-4.07645	
1922.71	-4.19339	
1922.79	-4.3291	
1922.87	-4.37915	
1922.96	-4.10616	
1923.04	-3.8303	
1923.12	-3.53759	
1923.21	-3.61746	
1923.29	-3.76449	
1923.37	-3.89524	
1923.46	-3.86895	
1923.54	-4.0079	
1923.62	-4.10321	
1923.71	-4.09338	
1923.79	-3.9205	
1923.87	-3.89856	
1923.96	-3.91434	
1924.04	-3.7739	
1924.12	-3.82666	
1924.21	-3.79812	
1924.29	-3.87438	
1924.37	-3.98166	
1924.46	-3.98901	
1924.54	-4.17054	
1924.62	-4.24369	
1924.71	-4.26905	
1924.79	-4.3311	
1924.87	-4.18817	
1924.96	-3.90653	
1925.04	-3.58805	
1925.12	-3.76237	
1925.21	-3.74172	
1925.29	-3.76358	
1925.37	-3.86101	
1925.46	-4.01664	
1925.54	-4.16455	
1925.62	-4.14913	
1925.71	-4.13372	
1925.79	-4.1183	
1925.87	-4.11747	
1925.96	-4.04701	
1926.04	-3.90011	
1926.12	-3.69717	
1926.21	-3.63204	
1926.29	-3.7798	
1926.37	-3.80967	
1926.46	-3.95172	
1926.54	-4.09347	
1926.62	-4.18784	
1926.71	-4.28793	
1926.79	-4.2442	
1926.87	-4.2999	
1926.96	-3.99197	
1927.04	-3.85101	
1927.12	-3.87291	
1927.21	-3.80575	
1927.29	-3.85149	
1927.37	-3.97466	
1927.46	-4.04872	
1927.54	-4.1106	
1927.62	-4.20695	
1927.71	-4.17742	
1927.79	-4.3689	
1927.87	-4.19742	
1927.96	-4.02835	
1928.04	-3.891	
1928.12	-3.82991	
1928.21	-3.77769	
1928.29	-3.6618	
1928.37	-3.65189	
1928.46	-3.80213	
1928.54	-3.9831	
1928.62	-4.1406	
1928.71	-4.09838	
1928.79	-4.066	
1928.87	-3.93748	
1928.96	-3.88896	
