# Mayotte bimonthly d18O, Sr/Ca, d18Osw composition, 1881-1994
#-----------------------------------------------------------------------            
#                World Data Service for Paleoclimatology, Boulder            
#                                  and            
#                     NOAA Paleoclimatology Program            
#             National Centers for Environmental Information (NCEI)            
#-----------------------------------------------------------------------            
# Template Version 3.0            
# Encoding: UTF-8            
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.             
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Ocn-Mayotte.Zinke.2008-2.txt
#     Online_Resource_Description:  This file.  NOAA WDS Paleo formatted metadata and data for version 2.0.0 of this dataset.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Ocn-Mayotte.Zinke.2008.lpd
#     Online_Resource_Description:  Linked Paleo Data (LiPD) formatted file containing the same metadata and data as this file, for version 2.0.0 of this dataset.
#
# Original_Source_URL: https://www.ncdc.noaa.gov/paleo/study/8606
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: coral
# Parameter_Keywords: 
# Dataset_DOI: 
#
#------------------
# Contribution_Date
#     Date: 
#------------------
# File_Last_Modified_Date
#     Modified_Date: 2017-05-19
#------------------
# Title
#     Study_Name: Mayotte bimonthly d18O, Sr/Ca, d18Osw composition, 1881-1994
#------------------
# Investigators
#     Investigators: Zinke; Zinke; Ocean2k
#------------------
# Description_Notes_and_Keywords
#     Description: d13C: not SST sensitive
#------------------
# Publication
#     Authors: Zinke, J.;Pfeiffer, M.;Timm, O.;Dullo, W.-C.;Kroon, D.;Thomassin, B. A.
#     Published_Date_or_Year: 2008
#     Published_Title: Mayotte coral reveals hydrological changes in the western Indian Ocean between 1881 and 1994
#     Journal_Name: Geophysical Research Letters
#     Volume: 35
#     Edition: 
#     Issue: 23
#     Pages: L23707
#     Report: 
#     DOI: 10.1029/2008GL035634
#     Online_Resource: doi.org
#     Full_Citation: 
#     Abstract: 
#------------------
# Publication
#     Authors: Tierney, Jessica E.;Abram, Nerilie J.;Anchukaitis, Kevin J.;Evans, Michael N.;Giry, Cyril;Kilbourne, K. Halimeda;Saenger, Casey P.;Wu, Henry C.;Zinke, Jens
#     Published_Date_or_Year: 2015
#     Published_Title: Tropical sea surface temperatures for the past four centuries reconstructed from coral archives
#     Journal_Name: Paleoceanography
#     Volume: 30
#     Edition: 
#     Issue: 3
#     Pages: 226-252
#     Report: 
#     DOI: 10.1002/2014PA002717
#     Online_Resource: doi.org
#     Full_Citation: 
#     Abstract: 
#------------------
# Funding_Agency
#     Funding_Agency_Name: 
#     Grant: 
#------------------
# Site_Information
#     Site_Name: Mayotte
#     Location: 
#     Country: 
#     Northernmost_Latitude: -12.65
#     Southernmost_Latitude: -12.65
#     Easternmost_Longitude: 45.1
#     Westernmost_Longitude: 45.1
#     Elevation: -3
#------------------
# Data_Collection
#     Collection_Name: 
#     Earliest_Year: 1881.62
#     Most_Recent_Year: 1994.29
#     Time_Unit: AD
#     Core_Length: 
#     Notes: 
#------------------
# Species
#     Species_Name: Porites,Porites lutea
#     Species_Code: 
#     Common_Name: 
#------------------
# Chronology:        

#------------------
# Variables        
#
# Data variables follow that are preceded by "##" in columns one and two.        
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components ( 10 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data, additional_information)
#
##year	Year AD, ,,AD, , coral, ,,N,   
##Sr_Ca	,,,mmol/mol, N/A (subannually resolved), coral, ,,, ; paleoData_variableName changed - was originally Sr_Ca; climateInterpretation_seasonality changed - was originally bimonthly; paleoData_variableName changed - was originally Sr_Ca;  
#
#------------------
# Data:        
# Data lines follow (have no #)        
# Data line format - tab-delimited text, variable short name as header)        
# Missing_Values: nan
#
year           Sr_Ca	
1994.29	8.6	
1994.12	8.701	
1993.96	8.802	
1993.79	8.84	
1993.62	8.877	
1993.46	8.804	
1993.29	8.588	
1993.12	8.714	
1992.96	8.797	
1992.79	8.926	
1992.62	8.963	
1992.46	8.832	
1992.29	8.727	
1992.12	8.701	
1991.96	8.761	
1991.79	8.819	
1991.62	8.906	
1991.46	8.735	
1991.29	8.539	
1991.12	8.703	
1990.96	8.74	
1990.79	8.761	
1990.62	8.879	
1990.46	8.711	
1990.29	8.648	
1990.12	8.715	
1989.96	8.782	
1989.79	8.847	
1989.62	8.908	
1989.46	8.773	
1989.29	8.664	
1989.12	8.689	
1988.96	8.789	
1988.79	8.866	
1988.62	8.919	
1988.46	8.762	
1988.29	8.604	
1988.12	8.715	
1987.96	8.87	
1987.79	8.876	
1987.62	8.895	
1987.46	8.771	
1987.29	8.698	
1987.12	8.781	
1986.96	8.876	
1986.79	8.95	
1986.62	8.973	
1986.46	8.817	
1986.29	8.765	
1986.12	8.761	
1985.96	8.767	
1985.79	8.85	
1985.62	8.935	
1985.46	8.867	
1985.29	8.646	
1985.12	8.761	
1984.96	8.773	
1984.79	8.854	
1984.62	8.893	
1984.46	8.792	
1984.29	8.65	
1984.12	8.789	
1983.96	8.792	
1983.79	8.858	
1983.62	8.876	
1983.46	8.777	
1983.29	8.654	
1983.12	8.712	
1982.96	8.715	
1982.79	8.818	
1982.62	8.863	
1982.46	8.741	
1982.29	8.643	
1982.12	8.704	
1981.96	8.821	
1981.79	8.864	
1981.62	8.92	
1981.46	8.761	
1981.29	8.692	
1981.12	8.713	
1980.96	8.79	
1980.79	8.855	
1980.62	8.888	
1980.46	8.728	
1980.29	8.683	
1980.12	8.704	
1979.96	8.726	
1979.79	8.854	
1979.62	8.885	
1979.46	8.716	
1979.29	8.686	
1979.12	8.686	
1978.96	8.761	
1978.79	8.837	
1978.62	8.838	
1978.46	8.683	
1978.29	8.657	
1978.12	8.65	
1977.96	8.693	
1977.79	8.767	
1977.62	8.863	
1977.46	8.787	
1977.29	8.617	
1977.12	8.66	
1976.96	8.751	
1976.79	8.832	
1976.62	8.963	
1976.46	8.72	
1976.29	8.715	
1976.12	8.781	
1975.96	8.702	
1975.79	8.94	
1975.62	9.002	
1975.46	8.814	
1975.29	8.826	
1975.12	8.853	
1974.96	8.919	
1974.79	8.948	
1974.62	8.883	
1974.46	8.833	
1974.29	8.706	
1974.12	8.715	
1973.96	8.87	
1973.79	8.925	
1973.62	8.958	
1973.46	8.789	
1973.29	8.766	
1973.12	8.799	
1972.96	8.885	
1972.79	8.906	
1972.62	8.99	
1972.46	8.96	
1972.29	8.822	
1972.12	8.808	
1971.96	8.801	
1971.79	8.923	
1971.62	9.026	
1971.46	8.898	
1971.29	8.799	
1971.12	8.823	
1970.96	8.837	
1970.79	8.907	
1970.62	9.001	
1970.46	8.954	
1970.29	8.801	
1970.12	8.776	
1969.96	8.79	
1969.79	8.839	
1969.62	8.976	
1969.46	8.927	
1969.29	8.743	
1969.12	8.806	
1968.96	8.914	
1968.79	9.008	
1968.62	9.044	
1968.46	8.954	
1968.29	8.801	
1968.12	8.848	
1967.96	8.942	
1967.79	8.95	
1967.62	9.0	
1967.46	8.9	
1967.29	8.822	
1967.12	8.722	
1966.96	8.769	
1966.79	8.81	
1966.62	8.831	
1966.46	8.777	
1966.29	8.699	
1966.12	8.595	
1965.96	8.68	
1965.79	8.778	
1965.62	8.91	
1965.46	8.792	
1965.29	8.658	
1965.12	8.684	
1964.96	8.738	
1964.79	8.826	
1964.62	8.952	
1964.46	8.777	
1964.29	8.687	
1964.12	8.695	
1963.96	8.778	
1963.79	8.864	
1963.62	8.904	
1963.46	8.794	
1963.29	8.669	
1963.12	8.696	
1962.96	8.689	
1962.79	8.796	
1962.62	8.916	
1962.46	8.84	
1962.29	8.764	
1962.12	8.689	
1961.96	8.762	
1961.79	8.84	
1961.62	8.852	
