# Mayotte bimonthly d18O, Sr/Ca, d18Osw composition, 1881-1994
#-----------------------------------------------------------------------            
#                World Data Service for Paleoclimatology, Boulder            
#                                  and            
#                     NOAA Paleoclimatology Program            
#             National Centers for Environmental Information (NCEI)            
#-----------------------------------------------------------------------            
# Template Version 3.0            
# Encoding: UTF-8            
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.             
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Ocn-Mayotte.Zinke.2008-3.txt
#     Online_Resource_Description:  This file.  NOAA WDS Paleo formatted metadata and data for version 2.0.0 of this dataset.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Ocn-Mayotte.Zinke.2008.lpd
#     Online_Resource_Description:  Linked Paleo Data (LiPD) formatted file containing the same metadata and data as this file, for version 2.0.0 of this dataset.
#
# Original_Source_URL: https://www.ncdc.noaa.gov/paleo/study/8606
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: coral
# Parameter_Keywords: 
# Dataset_DOI: 
#
#------------------
# Contribution_Date
#     Date: 
#------------------
# File_Last_Modified_Date
#     Modified_Date: 2017-05-19
#------------------
# Title
#     Study_Name: Mayotte bimonthly d18O, Sr/Ca, d18Osw composition, 1881-1994
#------------------
# Investigators
#     Investigators: Zinke; Zinke; Ocean2k
#------------------
# Description_Notes_and_Keywords
#     Description: d13C: not SST sensitive
#------------------
# Publication
#     Authors: Zinke, J.;Pfeiffer, M.;Timm, O.;Dullo, W.-C.;Kroon, D.;Thomassin, B. A.
#     Published_Date_or_Year: 2008
#     Published_Title: Mayotte coral reveals hydrological changes in the western Indian Ocean between 1881 and 1994
#     Journal_Name: Geophysical Research Letters
#     Volume: 35
#     Edition: 
#     Issue: 23
#     Pages: L23707
#     Report: 
#     DOI: 10.1029/2008GL035634
#     Online_Resource: doi.org
#     Full_Citation: 
#     Abstract: 
#------------------
# Publication
#     Authors: Tierney, Jessica E.;Abram, Nerilie J.;Anchukaitis, Kevin J.;Evans, Michael N.;Giry, Cyril;Kilbourne, K. Halimeda;Saenger, Casey P.;Wu, Henry C.;Zinke, Jens
#     Published_Date_or_Year: 2015
#     Published_Title: Tropical sea surface temperatures for the past four centuries reconstructed from coral archives
#     Journal_Name: Paleoceanography
#     Volume: 30
#     Edition: 
#     Issue: 3
#     Pages: 226-252
#     Report: 
#     DOI: 10.1002/2014PA002717
#     Online_Resource: doi.org
#     Full_Citation: 
#     Abstract: 
#------------------
# Funding_Agency
#     Funding_Agency_Name: 
#     Grant: 
#------------------
# Site_Information
#     Site_Name: Mayotte
#     Location: 
#     Country: 
#     Northernmost_Latitude: -12.65
#     Southernmost_Latitude: -12.65
#     Easternmost_Longitude: 45.1
#     Westernmost_Longitude: 45.1
#     Elevation: -3
#------------------
# Data_Collection
#     Collection_Name: 
#     Earliest_Year: 1881.62
#     Most_Recent_Year: 1993.62
#     Time_Unit: AD
#     Core_Length: 
#     Notes: 
#------------------
# Species
#     Species_Name: Porites,Porites lutea
#     Species_Code: 
#     Common_Name: 
#------------------
# Chronology:        

#------------------
# Variables        
#
# Data variables follow that are preceded by "##" in columns one and two.        
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components ( 10 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data, additional_information)
#
##year	Year AD, ,,AD, , coral, ,,N,   
##d18O	,,,permil, N/A (subannually resolved), coral, ,,, ; paleoData_variableName changed - was originally d18Osw;  
#
#------------------
# Data:        
# Data lines follow (have no #)        
# Data line format - tab-delimited text, variable short name as header)        
# Missing_Values: nan
#
year           d18O	
1993.62	0.534	
1993.46	0.535	
1993.29	0.721	
1993.12	0.614	
1992.96	0.458	
1992.79	0.033	
1992.62	0.392	
1992.46	0.258	
1992.29	0.4	
1992.12	0.642	
1991.96	0.433	
1991.79	0.574	
1991.62	0.382	
1991.46	0.735	
1991.29	0.837	
1991.12	0.668	
1990.96	0.564	
1990.79	0.466	
1990.62	0.607	
1990.46	0.902	
1990.29	0.67	
1990.12	0.583	
1989.96	0.475	
1989.79	0.398	
1989.62	0.405	
1989.46	0.353	
1989.29	0.63	
1989.12	0.675	
1988.96	0.442	
1988.79	0.375	
1988.62	0.349	
1988.46	0.549	
1988.29	1.06	
1988.12	0.778	
1987.96	0.515	
1987.79	0.438	
1987.62	0.488	
1987.46	0.461	
1987.29	0.572	
1987.12	0.406	
1986.96	0.343	
1986.79	0.334	
1986.62	0.419	
1986.46	0.465	
1986.29	0.539	
1986.12	0.681	
1985.96	0.604	
1985.79	0.7	
1985.62	0.529	
1985.46	0.676	
1985.29	0.788	
1985.12	0.491	
1984.96	0.594	
1984.79	0.362	
1984.62	0.704	
1984.46	0.405	
1984.29	0.784	
1984.12	0.387	
1983.96	0.514	
1983.79	0.384	
1983.62	0.448	
1983.46	0.52	
1983.29	0.742	
1983.12	0.687	
1982.96	0.764	
1982.79	0.493	
1982.62	0.577	
1982.46	0.717	
1982.29	0.778	
1982.12	0.753	
1981.96	0.351	
1981.79	0.405	
1981.62	0.349	
1981.46	0.683	
1981.29	0.592	
1981.12	0.796	
1980.96	0.582	
1980.79	0.36	
1980.62	0.379	
1980.46	0.686	
1980.29	0.83	
1980.12	0.794	
1979.96	0.773	
1979.79	0.429	
1979.62	0.629	
1979.46	0.916	
1979.29	0.659	
1979.12	0.766	
1978.96	0.653	
1978.79	0.417	
1978.62	0.647	
1978.46	1.044	
1978.29	0.793	
1978.12	0.855	
1977.96	0.859	
1977.79	0.634	
1977.62	0.468	
1977.46	0.441	
1977.29	0.83	
1977.12	0.837	
1976.96	0.643	
1976.79	0.615	
1976.62	0.28	
1976.46	0.684	
1976.29	0.789	
1976.12	0.475	
1975.96	0.789	
1975.79	0.148	
1975.62	0.237	
1975.46	0.625	
1975.29	0.44	
1975.12	0.302	
1974.96	0.104	
1974.79	0.167	
1974.62	0.525	
1974.46	0.541	
1974.29	0.838	
1974.12	0.538	
1973.96	0.061	
1973.79	0.138	
1973.62	0.137	
1973.46	0.643	
1973.29	0.456	
1973.12	0.273	
1972.96	0.184	
1972.79	0.188	
1972.62	0.117	
1972.46	-0.159	
1972.29	0.339	
1972.12	0.322	
1971.96	0.475	
1971.79	0.253	
1971.62	-0.04	
1971.46	0.184	
1971.29	0.379	
1971.12	0.417	
1970.96	0.391	
1970.79	0.284	
1970.62	0.03	
1970.46	-0.056	
1970.29	0.277	
1970.12	0.406	
1969.96	0.409	
1969.79	0.388	
1969.62	0.08	
1969.46	0.035	
1969.29	0.748	
1969.12	0.201	
1968.96	0.047	
1968.79	-0.111	
1968.62	0.093	
1968.46	0.274	
1968.29	0.486	
1968.12	0.257	
1967.96	-0.063	
1967.79	0.092	
1967.62	0.304	
1967.46	0.571	
1967.29	0.601	
1967.12	0.917	
1966.96	0.738	
1966.79	0.627	
1966.62	0.771	
1966.46	0.788	
1966.29	0.76	
1966.12	1.054	
1965.96	0.911	
1965.79	0.733	
1965.62	0.379	
1965.46	0.523	
1965.29	0.81	
1965.12	0.806	
1964.96	0.644	
1964.79	0.516	
1964.62	0.255	
1964.46	0.641	
1964.29	0.891	
1964.12	0.813	
1963.96	0.576	
1963.79	0.474	
1963.62	0.388	
1963.46	0.604	
1963.29	0.779	
1963.12	0.798	
1962.96	0.887	
1962.79	0.706	
1962.62	0.442	
1962.46	0.598	
1962.29	0.765	
1962.12	0.941	
1961.96	0.76	
