# Bermuda Coral d18O and Sr/Ca  1519-1604
#-----------------------------------------------------------------------            
#                World Data Service for Paleoclimatology, Boulder            
#                                  and            
#                     NOAA Paleoclimatology Program            
#             National Centers for Environmental Information (NCEI)            
#-----------------------------------------------------------------------            
# Template Version 3.0            
# Encoding: UTF-8            
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.             
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Ocn-NorthEastBreakersBermuda.Kuhnert.2002-1.txt
#     Online_Resource_Description:  This file.  NOAA WDS Paleo formatted metadata and data for version 2.0.0 of this dataset.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Ocn-NorthEastBreakersBermuda.Kuhnert.2002.lpd
#     Online_Resource_Description:  Linked Paleo Data (LiPD) formatted file containing the same metadata and data as this file, for version 2.0.0 of this dataset.
#
# Original_Source_URL: http://hurricane.ncdc.noaa.gov/pls/paleox/f?p=519:1:2924806122352392::::P1_STUDY_ID:1872,http://doi.pangaea.de/10.1594/PANGAEA.69271
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: coral
# Parameter_Keywords: 
# Dataset_DOI: 
#
#------------------
# Contribution_Date
#     Date: 
#------------------
# File_Last_Modified_Date
#     Modified_Date: 2017-05-19
#------------------
# Title
#     Study_Name: Bermuda Coral d18O and Sr/Ca  1519-1604
#------------------
# Investigators
#     Investigators: Henning Kuhnert
#------------------
# Description_Notes_and_Keywords
#     Description: Note: floating fossil coral sections have greater uncertainty in absolute temperature for palaeoclimate reconstructions (NJA);NM: Marked as false because it has <50 years of continuous data
#------------------
# Publication
#     Authors: Kuhnert, Henning;Pätzold, Jürgen;Schnetger, Bernhard;Wefer, Gerold
#     Published_Date_or_Year: 2002
#     Published_Title: Sea-surface temperature variability in the 16th century at Bermuda inferred from coral records
#     Journal_Name: Palaeogeography, Palaeoclimatology, Palaeoecology
#     Volume: 179
#     Edition: 
#     Issue: 
#     Pages: 159-171
#     Report: 
#     DOI: 10.1016/S0031-0182(01)00410-2
#     Online_Resource: doi.org
#     Full_Citation: 
#     Abstract: 
#------------------
# Funding_Agency
#     Funding_Agency_Name: 
#     Grant: 
#------------------
# Site_Information
#     Site_Name: North East Breakers, Bermuda
#     Location: 
#     Country: 
#     Northernmost_Latitude: 32.47
#     Southernmost_Latitude: 32.47
#     Easternmost_Longitude: -64.7
#     Westernmost_Longitude: -64.7
#     Elevation: -11
#------------------
# Data_Collection
#     Collection_Name: 
#     Earliest_Year: 1519.21
#     Most_Recent_Year: 1604.21
#     Time_Unit: AD
#     Core_Length: 
#     Notes: 
#------------------
# Species
#     Species_Name: Diploria,Diploria strigosa
#     Species_Code: 
#     Common_Name: 
#------------------
# Chronology:        

#------------------
# Variables        
#
# Data variables follow that are preceded by "##" in columns one and two.        
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components ( 10 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data, additional_information)
#
##year	Year AD, ,,AD, , coral, ,,N,   
##d18O	,,,permil, N/A (subannually resolved), coral, ,,, ; climateInterpretation_seasonality changed - was originally monthly;  
#
#------------------
# Data:        
# Data lines follow (have no #)        
# Data line format - tab-delimited text, variable short name as header)        
# Missing_Values: nan
#
year           d18O	
1604.21	-3.1	
1604.12	-3.2	
1604.04	-3.19	
1603.96	-3.43	
1603.87	-3.69	
1603.79	-3.9	
1603.71	-3.79	
1603.62	-3.66	
1603.54	-3.58	
1603.46	-3.36	
1603.37	-3.19	
1603.29	-3.14	
1603.21	-3.0	
1603.12	-3.17	
1603.04	-3.33	
1602.96	-3.54	
1602.87	-3.61	
1602.79	-3.79	
1602.71	-3.88	
1602.62	-3.79	
1602.54	-3.77	
1602.46	-3.62	
1602.37	-3.35	
1602.29	-3.07	
1602.21	-2.96	
1602.12	-3.04	
1602.04	-3.14	
1601.96	-3.32	
1601.87	-3.49	
1601.79	-3.63	
1601.71	-3.8	
1601.62	-3.75	
1601.54	-3.74	
1601.46	-3.59	
1601.37	-3.39	
1601.29	-3.14	
1601.21	-3.02	
1601.12	-3.09	
1601.04	-3.18	
1600.96	-3.38	
1600.87	-3.72	
1600.79	-3.79	
1600.71	-3.94	
1600.62	-3.81	
1600.54	-3.64	
1600.46	-3.47	
1600.37	-3.2	
1600.29	-3.14	
1600.21	-3.01	
1600.12	-3.34	
1600.04	-3.53	
1599.96	-3.7	
1599.87	-3.87	
1599.79	-4.05	
1599.71	-3.99	
1599.62	-3.92	
1599.54	-3.67	
1599.46	-3.35	
1599.37	-3.33	
1599.29	-3.18	
1599.21	-2.97	
1599.12	-3.15	
1599.04	-3.3	
1598.96	-3.53	
1598.87	-3.64	
1598.79	-3.82	
1598.71	-3.9	
1598.62	-3.67	
1598.54	-3.51	
1598.46	-3.28	
1598.37	-3.34	
1598.29	-3.19	
1598.21	-3.12	
1598.12	-3.24	
1598.04	-3.68	
1597.96	-3.87	
1597.87	-3.94	
1597.79	-4.06	
1597.71	-3.68	
1597.62	-3.59	
1597.54	-3.31	
1597.46	-3.22	
1597.37	-3.24	
1597.29	-3.05	
1597.21	-2.93	
1597.12	-3.3	
1597.04	-3.52	
1596.96	-3.61	
1596.87	-3.65	
1596.79	-3.7	
1596.71	-3.71	
1596.62	-3.71	
1596.54	-3.63	
1596.46	-3.44	
1596.37	-3.28	
1596.29	-3.2	
1596.21	-2.92	
1596.12	-3.17	
1596.04	-3.07	
1595.96	-3.32	
1595.87	-3.21	
1595.79	-3.1	
1595.71	-3.36	
1595.62	-3.72	
1595.54	-3.56	
1595.46	-3.24	
1595.37	-3.38	
1595.29	-3.26	
1595.21	-2.87	
1595.12	-2.89	
1595.04	-2.92	
1594.96	-3.06	
1594.87	-3.44	
1594.79	-3.54	
1594.71	-3.73	
1594.62	-3.89	
1594.54	-3.73	
1594.46	-3.57	
1594.37	-3.38	
1594.29	-3.29	
1594.21	-3.16	
1594.12	-3.38	
1594.04	-3.5	
1593.96	-3.68	
1593.87	-4.04	
1593.79	-4.08	
1593.71	-4.06	
1593.62	-3.81	
1593.54	-3.65	
1593.46	-3.52	
1593.37	-3.25	
1593.29	-3.14	
1593.21	-3.07	
1593.12	-3.43	
1593.04	-3.6	
1592.96	-3.77	
1592.87	-4.13	
1592.79	-3.95	
1592.71	-3.87	
1592.62	-3.87	
1592.54	-3.84	
1592.46	-3.64	
1592.37	-3.49	
1592.29	-3.36	
1592.21	-3.25	
1592.12	-3.31	
1592.04	-3.41	
1591.96	-3.68	
1591.87	-3.91	
1591.79	-4.1	
1591.71	-4.06	
1591.62	-3.86	
1591.54	-3.91	
1591.46	-3.38	
1591.37	-3.28	
1591.29	-3.29	
1591.21	-3.08	
1591.12	-3.38	
1591.04	-3.4	
