# Bermuda Coral d18O and Sr/Ca  1519-1604
#-----------------------------------------------------------------------            
#                World Data Service for Paleoclimatology, Boulder            
#                                  and            
#                     NOAA Paleoclimatology Program            
#             National Centers for Environmental Information (NCEI)            
#-----------------------------------------------------------------------            
# Template Version 3.0            
# Encoding: UTF-8            
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.             
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Ocn-NorthEastBreakersBermuda.Kuhnert.2002-2.txt
#     Online_Resource_Description:  This file.  NOAA WDS Paleo formatted metadata and data for version 2.0.0 of this dataset.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Ocn-NorthEastBreakersBermuda.Kuhnert.2002.lpd
#     Online_Resource_Description:  Linked Paleo Data (LiPD) formatted file containing the same metadata and data as this file, for version 2.0.0 of this dataset.
#
# Original_Source_URL: http://hurricane.ncdc.noaa.gov/pls/paleox/f?p=519:1:2924806122352392::::P1_STUDY_ID:1872,http://doi.pangaea.de/10.1594/PANGAEA.69271
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: coral
# Parameter_Keywords: 
# Dataset_DOI: 
#
#------------------
# Contribution_Date
#     Date: 
#------------------
# File_Last_Modified_Date
#     Modified_Date: 2017-05-19
#------------------
# Title
#     Study_Name: Bermuda Coral d18O and Sr/Ca  1519-1604
#------------------
# Investigators
#     Investigators: Henning Kuhnert
#------------------
# Description_Notes_and_Keywords
#     Description: Note: floating fossil coral sections have greater uncertainty in absolute temperature for palaeoclimate reconstructions (NJA);NM: Marked as false because it has <50 years of continuous data
#------------------
# Publication
#     Authors: Kuhnert, Henning;Pätzold, Jürgen;Schnetger, Bernhard;Wefer, Gerold
#     Published_Date_or_Year: 2002
#     Published_Title: Sea-surface temperature variability in the 16th century at Bermuda inferred from coral records
#     Journal_Name: Palaeogeography, Palaeoclimatology, Palaeoecology
#     Volume: 179
#     Edition: 
#     Issue: 
#     Pages: 159-171
#     Report: 
#     DOI: 10.1016/S0031-0182(01)00410-2
#     Online_Resource: doi.org
#     Full_Citation: 
#     Abstract: 
#------------------
# Funding_Agency
#     Funding_Agency_Name: 
#     Grant: 
#------------------
# Site_Information
#     Site_Name: North East Breakers, Bermuda
#     Location: 
#     Country: 
#     Northernmost_Latitude: 32.47
#     Southernmost_Latitude: 32.47
#     Easternmost_Longitude: -64.7
#     Westernmost_Longitude: -64.7
#     Elevation: -11
#------------------
# Data_Collection
#     Collection_Name: 
#     Earliest_Year: 1528.71
#     Most_Recent_Year: 1603.79
#     Time_Unit: AD
#     Core_Length: 
#     Notes: 
#------------------
# Species
#     Species_Name: Diploria,Diploria strigosa
#     Species_Code: 
#     Common_Name: 
#------------------
# Chronology:        

#------------------
# Variables        
#
# Data variables follow that are preceded by "##" in columns one and two.        
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components ( 10 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data, additional_information)
#
##year	Year AD, ,,AD, , coral, ,,N,   
##Sr_Ca	,,,mmol/mol, not applicable (subannually resolved), coral, ,,, ; paleoData_variableName changed - was originally Sr_Ca; climateInterpretation_seasonality changed - was originally monthly; paleoData_variableName changed - was originally Sr_Ca; paleoData_variableName changed - was originally Sr_Ca;  
#
#------------------
# Data:        
# Data lines follow (have no #)        
# Data line format - tab-delimited text, variable short name as header)        
# Missing_Values: nan
#
year           Sr_Ca	
1603.79	9.0	
1603.71	9.03	
1603.62	9.02	
1603.54	9.09	
1603.46	9.15	
1603.37	9.17	
1603.29	9.32	
1603.21	9.26	
1603.12	9.35	
1603.04	9.25	
1602.96	9.19	
1602.87	9.1	
1602.79	9.03	
1602.71	8.97	
1602.62	9.05	
1602.54	9.16	
1602.46	9.03	
1602.37	9.19	
1602.29	9.19	
1602.21	9.27	
1602.12	9.29	
1602.04	9.27	
1601.96	9.13	
1601.87	9.12	
1601.79	9.09	
1601.71	9.03	
1601.62	9.03	
1601.54	9.03	
1601.46	9.07	
1601.37	9.1	
1601.29	9.24	
1601.21	9.12	
1601.12	9.26	
1601.04	9.25	
1600.96	9.23	
1600.87	9.05	
1600.79	9.0	
1600.71	9.02	
1600.62	8.96	
1600.54	9.08	
1600.46	9.14	
1600.37	9.25	
1600.29	9.2	
1600.21	9.26	
1600.12	9.28	
1600.04	9.17	
1599.96	9.09	
1599.87	9.04	
1599.79	8.95	
1599.71	8.94	
1599.62	9.01	
1599.54	8.94	
1599.46	9.18	
1599.37	9.2	
1599.29	9.22	
1599.21	9.22	
1599.12	9.21	
1599.04	9.19	
1598.96	9.15	
1598.87	9.13	
1598.79	9.08	
1598.71	9.03	
1598.62	9.07	
1598.54	9.13	
1598.46	9.26	
1598.37	9.25	
1598.29	9.29	
1598.21	9.31	
1598.12	9.28	
1598.04	9.16	
1597.96	9.09	
1597.87	9.06	
1597.79	8.98	
1597.71	9.0	
1597.62	9.1	
1597.54	9.12	
1597.46	nan	
1597.37	nan	
1597.29	nan	
1597.21	nan	
1597.12	nan	
1597.04	nan	
1596.96	nan	
1596.87	nan	
1596.79	nan	
1596.71	nan	
1596.62	nan	
1596.54	nan	
1596.46	nan	
1596.37	nan	
1596.29	nan	
1596.21	nan	
1596.12	nan	
1596.04	nan	
1595.96	nan	
1595.87	nan	
1595.79	nan	
1595.71	nan	
1595.62	nan	
1595.54	nan	
1595.46	nan	
1595.37	nan	
1595.29	nan	
1595.21	nan	
1595.12	nan	
1595.04	nan	
1594.96	nan	
1594.87	nan	
1594.79	nan	
1594.71	nan	
1594.62	nan	
1594.54	nan	
1594.46	nan	
1594.37	nan	
1594.29	nan	
1594.21	nan	
1594.12	nan	
1594.04	nan	
1593.96	nan	
1593.87	nan	
1593.79	nan	
1593.71	nan	
1593.62	nan	
1593.54	nan	
1593.46	nan	
1593.37	nan	
1593.29	nan	
1593.21	nan	
1593.12	nan	
1593.04	nan	
1592.96	nan	
1592.87	nan	
1592.79	nan	
1592.71	nan	
1592.62	nan	
1592.54	nan	
1592.46	nan	
1592.37	nan	
1592.29	nan	
1592.21	nan	
1592.12	nan	
1592.04	nan	
1591.96	nan	
1591.87	nan	
1591.79	nan	
1591.71	nan	
1591.62	nan	
1591.54	nan	
1591.46	nan	
1591.37	nan	
1591.29	nan	
1591.21	nan	
1591.12	nan	
1591.04	nan	
1590.96	nan	
1590.87	nan	
1590.79	nan	
1590.71	nan	
1590.62	nan	
1590.54	nan	
1590.46	nan	
1590.37	nan	
1590.29	nan	
1590.21	nan	
1590.12	nan	
1590.04	nan	
1589.96	nan	
1589.87	nan	
1589.79	nan	
1589.71	nan	
1589.62	nan	
1589.54	nan	
1589.46	nan	
1589.37	nan	
1589.29	nan	
1589.21	nan	
1589.12	nan	
1589.04	nan	
1588.96	nan	
1588.87	nan	
1588.79	nan	
1588.71	nan	
1588.62	nan	
1588.54	nan	
1588.46	nan	
1588.37	nan	
1588.29	nan	
1588.21	nan	
1588.12	nan	
1588.04	nan	
1587.96	nan	
1587.87	nan	
1587.79	nan	
1587.71	nan	
1587.62	nan	
