# Bermuda Coral d18O and Sr/Ca  1928-1982
#-----------------------------------------------------------------------            
#                World Data Service for Paleoclimatology, Boulder            
#                                  and            
#                     NOAA Paleoclimatology Program            
#             National Centers for Environmental Information (NCEI)            
#-----------------------------------------------------------------------            
# Template Version 3.0            
# Encoding: UTF-8            
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.             
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Ocn-NorthEastBreakersBermuda.Kuhnert.2005-2.txt
#     Online_Resource_Description:  This file.  NOAA WDS Paleo formatted metadata and data for version 2.0.0 of this dataset.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Ocn-NorthEastBreakersBermuda.Kuhnert.2005.lpd
#     Online_Resource_Description:  Linked Paleo Data (LiPD) formatted file containing the same metadata and data as this file, for version 2.0.0 of this dataset.
#
# Original_Source_URL: http://doi.pangaea.de/10.1594/PANGAEA.738188
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: coral
# Parameter_Keywords: 
# Dataset_DOI: 
#
#------------------
# Contribution_Date
#     Date: 
#------------------
# File_Last_Modified_Date
#     Modified_Date: 2017-05-19
#------------------
# Title
#     Study_Name: Bermuda Coral d18O and Sr/Ca  1928-1982
#------------------
# Investigators
#     Investigators: Henning Kuhnert; Ocean2k
#------------------
# Description_Notes_and_Keywords
#     Description: 
#------------------
# Publication
#     Authors: Kuhnert, Henning;Crüger, Traute;Pätzold, Jürgen
#     Published_Date_or_Year: 2005
#     Published_Title: NAO signature in a Bermuda coral Sr/Ca record
#     Journal_Name: Geochemistry, Geophysics, Geosystems
#     Volume: 6
#     Edition: 
#     Issue: 4
#     Pages: Q04004
#     Report: 
#     DOI: 10.1029/2004GC000786
#     Online_Resource: doi.org
#     Full_Citation: 
#     Abstract: 
#------------------
# Publication
#     Authors: Tierney, Jessica E.;Abram, Nerilie J.;Anchukaitis, Kevin J.;Evans, Michael N.;Giry, Cyril;Kilbourne, K. Halimeda;Saenger, Casey P.;Wu, Henry C.;Zinke, Jens
#     Published_Date_or_Year: 2015
#     Published_Title: Tropical sea surface temperatures for the past four centuries reconstructed from coral archives
#     Journal_Name: Paleoceanography
#     Volume: 30
#     Edition: 
#     Issue: 3
#     Pages: 226-252
#     Report: 
#     DOI: 10.1002/2014PA002717
#     Online_Resource: doi.org
#     Full_Citation: 
#     Abstract: 
#------------------
# Funding_Agency
#     Funding_Agency_Name: 
#     Grant: 
#------------------
# Site_Information
#     Site_Name: North East Breakers, Bermuda
#     Location: 
#     Country: 
#     Northernmost_Latitude: 32.467
#     Southernmost_Latitude: 32.467
#     Easternmost_Longitude: -64.7
#     Westernmost_Longitude: -64.7
#     Elevation: -12
#------------------
# Data_Collection
#     Collection_Name: 
#     Earliest_Year: 1867.21
#     Most_Recent_Year: 1983.21
#     Time_Unit: AD
#     Core_Length: 
#     Notes: 
#------------------
# Species
#     Species_Name: Diploria,Diploria strigosa
#     Species_Code: 
#     Common_Name: 
#------------------
# Chronology:        

#------------------
# Variables        
#
# Data variables follow that are preceded by "##" in columns one and two.        
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components ( 10 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data, additional_information)
#
##year	Year AD, ,,AD, , coral, ,,N,   
##Sr_Ca	,,,mmol/mol, N/A (subannually resolved), coral, ,,, ; paleoData_variableName changed - was originally Sr_Ca; climateInterpretation_seasonality changed - was originally monthly; paleoData_variableName changed - was originally Sr_Ca;  
#
#------------------
# Data:        
# Data lines follow (have no #)        
# Data line format - tab-delimited text, variable short name as header)        
# Missing_Values: nan
#
year           Sr_Ca	
1983.21	9.08	
1983.13	9.17	
1983.04	9.14	
1982.96	9.14	
1982.88	9.17	
1982.79	9.09	
1982.71	9.08	
1982.63	9.19	
1982.54	9.3	
1982.46	9.21	
1982.38	9.2	
1982.29	9.17	
1982.21	9.2	
1982.13	9.21	
1982.04	9.21	
1981.96	9.16	
1981.88	9.12	
1981.79	9.07	
1981.71	9.07	
1981.63	9.08	
1981.54	9.07	
1981.46	9.11	
1981.38	9.16	
1981.29	9.21	
1981.21	9.22	
1981.13	9.15	
1981.04	9.11	
1980.96	9.1	
1980.88	9.16	
1980.79	9.15	
1980.71	9.08	
1980.63	9.07	
1980.54	9.09	
1980.46	9.14	
1980.38	9.16	
1980.29	9.19	
1980.21	9.21	
1980.13	9.2	
1980.04	9.19	
1979.96	9.19	
1979.88	9.16	
1979.79	9.14	
1979.71	9.11	
1979.63	9.1	
1979.54	9.1	
1979.46	9.07	
1979.38	9.09	
1979.29	9.15	
1979.21	9.24	
1979.13	9.26	
1979.04	9.22	
1978.96	9.16	
1978.88	9.15	
1978.79	9.13	
1978.71	9.08	
1978.63	9.06	
1978.54	9.1	
1978.46	9.14	
1978.38	9.17	
1978.29	9.18	
1978.21	9.18	
1978.13	9.27	
1978.04	9.34	
1977.96	9.24	
1977.88	9.18	
1977.79	9.14	
1977.71	9.13	
1977.63	9.15	
1977.54	9.14	
1977.46	9.13	
1977.38	9.16	
1977.29	9.19	
1977.21	9.2	
1977.13	9.22	
1977.04	9.21	
1976.96	9.17	
1976.88	9.13	
1976.79	9.12	
1976.71	9.16	
1976.63	9.24	
1976.54	9.28	
1976.46	9.23	
1976.38	9.25	
1976.29	9.27	
1976.21	9.22	
1976.13	9.2	
1976.04	9.22	
1975.96	9.18	
1975.88	9.12	
1975.79	9.1	
1975.71	9.12	
1975.63	9.11	
1975.54	9.12	
1975.46	9.13	
1975.38	9.15	
1975.29	9.2	
1975.21	9.25	
1975.13	9.2	
1975.04	9.17	
1974.96	9.18	
1974.88	9.15	
1974.79	9.12	
1974.71	9.08	
1974.63	9.08	
1974.54	9.11	
1974.46	9.16	
1974.38	9.16	
1974.29	9.18	
1974.21	9.22	
1974.13	9.19	
1974.04	9.2	
1973.96	9.2	
1973.88	9.18	
1973.79	9.13	
1973.71	9.14	
1973.63	9.09	
1973.54	9.12	
1973.46	9.14	
1973.38	9.15	
1973.29	9.19	
1973.21	9.26	
1973.13	9.24	
1973.04	9.22	
1972.96	9.19	
1972.88	9.17	
1972.79	9.16	
1972.71	9.18	
1972.63	9.08	
1972.54	9.09	
1972.46	9.12	
1972.38	9.15	
1972.29	9.18	
1972.21	9.24	
1972.13	9.25	
1972.04	9.24	
1971.96	9.2	
1971.88	9.17	
1971.79	9.17	
1971.71	9.1	
1971.63	9.12	
1971.54	9.06	
1971.46	9.09	
1971.38	9.09	
1971.29	9.18	
1971.21	9.19	
1971.13	9.24	
1971.04	9.26	
1970.96	9.16	
1970.88	9.12	
1970.79	9.22	
1970.71	9.12	
1970.63	9.1	
1970.54	9.11	
1970.46	9.15	
1970.38	9.21	
1970.29	9.25	
1970.21	9.29	
1970.13	9.26	
1970.04	9.27	
1969.96	9.23	
1969.88	9.14	
1969.79	9.15	
1969.71	9.16	
1969.63	9.11	
1969.54	9.1	
1969.46	9.19	
1969.38	9.24	
1969.29	9.24	
1969.21	9.25	
1969.13	9.18	
1969.04	9.22	
1968.96	9.21	
1968.88	9.22	
1968.79	9.18	
1968.71	9.13	
1968.63	9.1	
1968.54	9.12	
1968.46	9.22	
1968.38	9.13	
1968.29	9.19	
1968.21	9.2	
1968.13	9.21	
1968.04	9.15	
1967.96	9.12	
1967.88	9.13	
1967.79	9.15	
1967.71	9.12	
1967.63	8.95	
1967.54	8.93	
1967.46	8.94	
1967.38	8.96	
1967.29	9.02	
1967.21	9.08	
1967.13	9.23	
