# Pedro Bank, Jamaica sclerosponge SrCa
#-----------------------------------------------------------------------            
#                World Data Service for Paleoclimatology, Boulder            
#                                  and            
#                     NOAA Paleoclimatology Program            
#             National Centers for Environmental Information (NCEI)            
#-----------------------------------------------------------------------            
# Template Version 3.0            
# Encoding: UTF-8            
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.             
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Ocn-PedroBankJamaica.Haase-Schramm.2003-1.txt
#     Online_Resource_Description:  This file.  NOAA WDS Paleo formatted metadata and data for version 2.0.0 of this dataset.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Ocn-PedroBankJamaica.Haase-Schramm.2003.lpd
#     Online_Resource_Description:  Linked Paleo Data (LiPD) formatted file containing the same metadata and data as this file, for version 2.0.0 of this dataset.
#
# Original_Source_URL: https://www.ncdc.noaa.gov/paleo/study/1878
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: sclerosponge
# Parameter_Keywords: 
# Dataset_DOI: 
#
#------------------
# Contribution_Date
#     Date: 
#------------------
# File_Last_Modified_Date
#     Modified_Date: 2017-05-19
#------------------
# Title
#     Study_Name: Pedro Bank, Jamaica sclerosponge SrCa
#------------------
# Investigators
#     Investigators: Haase-Schramm
#------------------
# Description_Notes_and_Keywords
#     Description: 
#------------------
# Publication
#     Authors: Haase-Schramm, Alexandra;Böhm, Florian;Eisenhauer, Anton;Dullo, Wolf-Christian;Joachimski, Michael M.;Hansen, Bent;Reitner, Joachim
#     Published_Date_or_Year: 2003
#     Published_Title: Sr/Ca ratios and oxygen isotopes from sclerosponges: Temperature history of the Caribbean mixed layer and thermocline during the Little Ice Age
#     Journal_Name: Paleoceanography
#     Volume: 18
#     Edition: 
#     Issue: 3
#     Pages: n/a-n/a
#     Report: 
#     DOI: 10.1029/2002PA000830
#     Online_Resource: doi.org
#     Full_Citation: 
#     Abstract: 
#------------------
# Funding_Agency
#     Funding_Agency_Name: 
#     Grant: 
#------------------
# Site_Information
#     Site_Name: Pedro Bank Jamaica
#     Location: 
#     Country: 
#     Northernmost_Latitude: 17.5333
#     Southernmost_Latitude: 17.5333
#     Easternmost_Longitude: -78.95
#     Westernmost_Longitude: -78.95
#     Elevation: -125
#------------------
# Data_Collection
#     Collection_Name: 
#     Earliest_Year: 1389.0
#     Most_Recent_Year: 1992.0
#     Time_Unit: AD
#     Core_Length: 
#     Notes: 
#------------------
# Species
#     Species_Name: Ceratoporella,nicholsoni
#     Species_Code: 
#     Common_Name: 
#------------------
# Chronology:        
SampleID       AgeCorr_error  depthUTh       Th232          x230Th         d234U          age            Th230_Th232ratioU238	
Ce96-rim	1.0	0.0	nan	nan	nan	1996.0	nan	nan	
Ce96-25	9.0	34.1	3.64	0.18	147.0	1862.0	19646.0	7.79	
Ce96-45	13.0	63.8	4.32	0.33	150.0	1750.0	10787.0	7.71	
Ce96-51	22.0	72.4	2.12	0.33	155.0	1740.0	6121.0	7.37	
Ce96-186	20.0	111.3	2.54	0.42	160.0	1673.0	5784.0	7.44	
Ce96-184	15.0	114.9	2.34	0.58	134.0	1576.0	3966.0	7.29	
Ce96-123	92.0	159.5	2.28	0.6	161.0	1539.0	3637.0	7.46	
Ce96-4′	22.0	170.0	2.0	0.77	157.0	1490.0	2544.0	7.44	
Ce96-151	29.0	192.3	2.17	0.76	162.0	1409.0	2795.0	7.41	
Ce96-170	28.0	215.3	2.16	0.79	155.0	1393.0	2677.0	7.53	
Ce96-172	22.0	218.0	2.81	0.83	145.0	1377.0	3484.0	7.84	
Pb19-rim	1.0	0.0	nan	nan	nan	1996.0	nan	nan	
Pb19-14C	5.0	5.9	nan	nan	nan	1964.0	nan	nan	
Pb19-64	10.0	51.6	2.7	0.33	159.0	1741.0	7956.0	7.24	
Pb19-110	25.0	99.5	4.48	0.67	149.0	1493.0	6523.0	7.69	

#------------------
# Variables        
#
# Data variables follow that are preceded by "##" in columns one and two.        
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components ( 10 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data, additional_information)
#
##year	Year AD, ,,AD, , sclerosponge, ,,N,   
##d18O	,,,permil, -12 -11 -10 -9 -8 1 2 3 4 5 6 7, sclerosponge, ,,, ; climateInterpretation_seasonality changed - was originally -12 -11 -10 -9 -8 1 2 3 4 5 6 7;  
#
#------------------
# Data:        
# Data lines follow (have no #)        
# Data line format - tab-delimited text, variable short name as header)        
# Missing_Values: nan
#
year           d18O	
1992.0	-0.43	
1987.0	-0.39	
1982.0	-0.42	
1979.0	-0.45	
1977.0	-0.42	
1974.0	nan	
1972.0	-0.45	
1971.0	nan	
1967.0	-0.37	
1963.0	-0.36	
1957.0	-0.43	
1952.0	-0.33	
1950.0	-0.35	
1948.0	nan	
1947.0	-0.42	
1945.0	nan	
1943.0	-0.41	
1939.0	-0.44	
1934.0	-0.37	
1930.0	-0.39	
1928.0	-0.36	
1927.0	nan	
1926.0	-0.36	
1921.0	-0.34	
1918.0	-0.23	
1913.0	-0.32	
1911.0	-0.48	
1909.0	-0.37	
1905.0	-0.35	
1899.0	-0.3	
1897.0	nan	
1895.0	-0.47	
1891.0	-0.49	
1890.0	nan	
1885.0	-0.42	
1881.0	-0.3	
1875.0	-0.29	
1870.0	-0.42	
1865.0	-0.32	
1859.0	-0.31	
1854.0	-0.33	
1849.0	-0.28	
1844.0	-0.38	
1843.0	nan	
1837.0	-0.41	
1833.0	-0.37	
1828.0	-0.4	
1823.0	-0.46	
1818.0	-0.54	
1813.0	-0.36	
1808.0	-0.44	
1802.0	-0.38	
1797.0	-0.4	
1791.0	-0.27	
1785.0	-0.36	
1780.0	-0.31	
1774.0	-0.4	
1769.0	-0.32	
1763.0	-0.4	
1758.0	-0.42	
1752.0	-0.37	
1747.0	-0.37	
1741.0	-0.43	
1736.0	-0.36	
1731.0	-0.49	
1727.0	-0.4	
1726.0	nan	
1721.0	-0.34	
1715.0	-0.29	
1709.0	-0.28	
1703.0	-0.26	
1698.0	-0.23	
1693.0	-0.41	
1687.0	-0.34	
1682.0	-0.28	
1676.0	-0.3	
1670.0	-0.37	
1665.0	-0.25	
1661.0	nan	
1660.0	-0.38	
1655.0	-0.43	
1650.0	-0.35	
1645.0	-0.3	
1640.0	-0.34	
1635.0	-0.32	
1629.0	-0.34	
1623.0	-0.31	
1617.0	-0.4	
1612.0	-0.33	
1607.0	-0.43	
1601.0	-0.36	
1596.0	-0.38	
1590.0	-0.24	
1585.0	-0.35	
1579.0	-0.28	
1574.0	-0.45	
1568.0	-0.31	
1564.0	-0.26	
1559.0	-0.36	
1554.0	-0.26	
1550.0	-0.23	
1545.0	-0.41	
1540.0	-0.4	
1534.0	-0.38	
1528.0	-0.27	
1522.0	-0.28	
1516.0	-0.39	
1509.0	-0.32	
1504.0	-0.42	
1498.0	-0.45	
1497.0	nan	
1493.0	-0.24	
1489.0	nan	
1487.0	-0.39	
1482.0	-0.36	
1476.0	-0.36	
1471.0	-0.33	
1466.0	-0.4	
1463.0	nan	
1460.0	-0.39	
1454.0	-0.33	
1448.0	-0.33	
1441.0	-0.33	
1435.0	-0.41	
1431.0	nan	
1427.0	-0.39	
1420.0	-0.36	
1419.0	nan	
1413.0	-0.4	
1405.0	-0.35	
1398.0	-0.41	
1393.0	-0.36	
1389.0	-0.33	
