# Zhao.Santa_Barbara_Basin_(California).2000
#-----------------------------------------------------------------------            
#                World Data Service for Paleoclimatology, Boulder            
#                                  and            
#                     NOAA Paleoclimatology Program            
#             National Centers for Environmental Information (NCEI)            
#-----------------------------------------------------------------------            
# Template Version 3.0            
# Encoding: UTF-8            
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.             
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Ocn-SantaBarbaraBasin.Zhao.2000-1.txt
#     Online_Resource_Description:  This file.  NOAA WDS Paleo formatted metadata and data for version 2.0.0 of this dataset.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Ocn-SantaBarbaraBasin.Zhao.2000.lpd
#     Online_Resource_Description:  Linked Paleo Data (LiPD) formatted file containing the same metadata and data as this file, for version 2.0.0 of this dataset.
#
# Original_Source_URL: http://www.ncdc.noaa.gov/paleo/study/17755
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: marine sediment
# Parameter_Keywords: 
# Dataset_DOI: 
#
#------------------
# Contribution_Date
#     Date: 
#------------------
# File_Last_Modified_Date
#     Modified_Date: 2017-05-19
#------------------
# Title
#     Study_Name: Zhao.Santa_Barbara_Basin_(California).2000
#------------------
# Investigators
#     Investigators: Zhao, Meixun;Eglinton, Geoffrey;Read, Gareth;Schimmelmann, Arndt
#------------------
# Description_Notes_and_Keywords
#     Description: HVM, BM, 20/4/2016 Pacific1582Zhao2000_Hendy2012_Schimmelmann2013_SABA87-2, SABA88-1 Zhao et al., (2000) alkenone record with the age model from Hendy et al., (2012) and Schimmelmann et al., (2013). Combination of two cores (SABA87-2 and SABA88-1) recovered from the same drill site. Data sorted based on age.;These are the original, not quality controlled data. O2kLR recommends only using the Quality controlled data.Dataset contains NaN values and datapoints whose chronology is not QC'd;These are the original, not quality controlled data. O2kLR recommends only using the Quality controlled data.
#------------------
# Publication
#     Authors: Zhao, Meixun;Eglinton, Geoffrey;Read, Gareth;Schimmelmann, Arndt
#     Published_Date_or_Year: 2000
#     Published_Title: An alkenone (U37K′) quasi-annual sea surface temperature record (A.D. 1440 to 1940) using varved sediments from the Santa Barbara Basin
#     Journal_Name: Organic Geochemistry
#     Volume: 31
#     Edition: 
#     Issue: 
#     Pages: 903-917
#     Report: 
#     DOI: 10.1016/S0146-6380(00)00034-6
#     Online_Resource: doi.org
#     Full_Citation: 
#     Abstract: 
#------------------
# Publication
#     Authors: McGregor, Helen V.;Evans, Michael N.;Goosse, Hugues;Leduc, Guillaume;Martrat, Belen;Addison, Jason A.;Mortyn, P. Graham;Oppo, Delia W.;Seidenkrantz, Marit-Solveig;Sicre, Marie-Alexandrine;Phipps, Steven J.;Selvaraj, Kandasamy;Thirumalai, Kaustubh;Filipsson, Helena L.;Ersek, Vasile
#     Published_Date_or_Year: 2015
#     Published_Title: Robust global ocean cooling trend for the pre-industrial Common Era
#     Journal_Name: Nature Geoscience
#     Volume: 8
#     Edition: 
#     Issue: 9
#     Pages: 671-677
#     Report: 
#     DOI: 10.1038/ngeo2510
#     Online_Resource: doi.org
#     Full_Citation: 
#     Abstract: 
#------------------
# Funding_Agency
#     Funding_Agency_Name: 
#     Grant: 
#------------------
# Site_Information
#     Site_Name: Santa Barbara Basin (California)
#     Location: 
#     Country: 
#     Northernmost_Latitude: 34.23
#     Southernmost_Latitude: 34.23
#     Easternmost_Longitude: -120.02
#     Westernmost_Longitude: -120.02
#     Elevation: -590
#------------------
# Data_Collection
#     Collection_Name: 
#     Earliest_Year: 1297.54
#     Most_Recent_Year: 1941.3
#     Time_Unit: AD
#     Core_Length: 
#     Notes: 
#------------------
# Species
#     Species_Name: 
#     Species_Code: 
#     Common_Name: 
#------------------
# Chronology:        

#------------------
# Variables        
#
# Data variables follow that are preceded by "##" in columns one and two.        
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components ( 10 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data, additional_information)
#
##year	Year AD, ,,AD, , marine sediment, ,,N,   
##temperature	inferred sea-surface temperature, alkenone, ,degC, 1 2 3 4 5 6 7 8 9 10 11 12, marine sediment, ,alkenone, N,  PRA1988: T(cultures) = (Uk37-0.039)/(0.034); (Prahl et al.; (1988); cultures E. huxleyi; 8-25ºC; n=22; R2=0.994); paleoData_units changed - was originally deg C; PRA1988: T(cultures) = (Uk37-0.039)/(0.034); (Prahl et al.; (1988); cultures E. huxleyi; 8-25�C; n=22; R2=0.994);  
#
#------------------
# Data:        
# Data lines follow (have no #)        
# Data line format - tab-delimited text, variable short name as header)        
# Missing_Values: nan
#
year           temperature	
1941.3	16.4	
1940.1	16.4	
1938.7	16.0	
1937.5	15.7	
1936.9	15.4	
1936.0	15.5	
1934.7	15.2	
1934.0	15.1	
1933.4	15.3	
1932.7	14.9	
1931.7	15.4	
1930.9	15.1	
1930.3	15.5	
1929.4	14.9	
1928.6	15.1	
1927.7	15.4	
1927.0	15.2	
1926.1	15.1	
1925.2	15.2	
1924.3	15.4	
1923.5	15.4	
1922.7	15.3	
1922.3	15.5	
1921.6	15.3	
1920.9	15.4	
1920.4	15.0	
1919.9	15.0	
1919.5	15.5	
1919.2	15.7	
1918.6	15.6	
1918.1	15.3	
1917.0	15.6	
1916.2	15.4	
1915.2	15.3	
1914.2	15.3	
1913.7	15.8	
1913.3	15.5	
1912.8	14.9	
1912.6	15.1	
1912.1	14.7	
1911.6	14.9	
1911.1	15.1	
1910.8	15.5	
1910.6	15.0	
1910.3	14.8	
1909.4	14.9	
1908.3	14.9	
1907.8	15.0	
1905.9	14.7	
1905.1	14.8	
1904.6	14.6	
1904.1	14.6	
1902.9	14.6	
1901.7	14.5	
1900.9	13.9	
1900.6	14.5	
1899.9	14.5	
1899.5	14.8	
1899.0	14.9	
1898.4	15.1	
1897.4	15.4	
1896.4	14.9	
1895.8	15.0	
1895.3	15.1	
1894.9	14.6	
1894.7	15.5	
1894.6	15.3	
1894.4	15.3	
1894.2	15.1	
1894.0	15.0	
1893.8	15.3	
1892.9	15.1	
1892.4	15.6	
1892.0	15.4	
1891.4	15.4	
1891.0	15.2	
1890.7	15.4	
1890.0	15.0	
1889.7	15.5	
1889.4	15.4	
1889.0	15.2	
1888.5	14.6	
1888.0	14.9	
1887.5	15.0	
1887.1	14.7	
1886.8	14.9	
1886.3	14.9	
1885.7	15.2	
1885.3	15.3	
1884.5	15.2	
1883.6	16.0	
1882.6	15.9	
1881.5	15.7	
1880.9	15.7	
1880.0	14.9	
1879.4	15.5	
1878.82	15.9	
1878.6	15.6	
1878.1	15.7	
1877.6	15.1	
1877.1	16.0	
1876.5	16.0	
1875.8	16.2	
1874.5	15.2	
1874.1	15.8	
1873.8	17.5	
1873.6	16.3	
1873.2	16.1	
1872.8	16.0	
1872.4	16.3	
1872.0	16.4	
1871.1	16.1	
1870.0	16.4	
1869.0	15.1	
1868.0	15.7	
1867.13	16.1	
1865.67	15.9	
1864.91	16.3	
1864.18	15.9	
1863.36	15.9	
1862.41	15.8	
1861.72	15.6	
1861.04	15.0	
1860.0	15.9	
1858.7	15.8	
1858.0	15.6	
1857.0	15.9	
1856.6	15.1	
1856.0	15.8	
1855.1	15.7	
1854.2	15.5	
1853.2	15.6	
1852.0	15.3	
1850.0	15.6	
1849.6	15.6	
1848.0	15.8	
1846.2	15.3	
1844.0	15.7	
1843.0	15.3	
1842.0	15.3	
1840.6	16.0	
1839.8	15.7	
1838.9	15.6	
1838.0	15.5	
1837.1	15.6	
1836.0	15.5	
1835.0	15.6	
1830.9	15.3	
1828.5	15.0	
1826.7	14.9	
1825.0	15.5	
1822.7	15.1	
1820.8	15.4	
1819.0	15.6	
1817.0	15.6	
1815.9	16.3	
1814.4	15.6	
1812.0	15.7	
1811.0	15.7	
1809.8	15.4	
1808.2	15.2	
1806.5	15.0	
1804.8	15.3	
1803.7	15.6	
1802.1	15.2	
1800.0	15.6	
1799.1	15.3	
1797.8	15.5	
1795.0	15.4	
1793.4	15.6	
1792.0	15.8	
1790.9	15.4	
1789.3	15.4	
1788.1	15.4	
1787.0	15.5	
1786.0	15.4	
1784.0	15.5	
1783.0	15.7	
1781.2	15.6	
1779.9	16.1	
1778.2	16.1	
1777.2	16.3	
1776.0	15.6	
1775.0	15.9	
1774.6	16.0	
1774.1	15.9	
1773.0	16.0	
1771.9	15.7	
1771.0	15.6	
1770.2	15.6	
1769.0	15.6	
1768.2	15.6	
1767.5	15.5	
1767.1	15.9	
1766.5	16.4	
1765.9	16.1	
1765.0	16.2	
1764.0	16.0	
1763.6	15.8	
1762.5	15.9	
1761.0	15.8	
1760.5	16.1	
1759.3	15.9	
1758.4	15.6	
1757.0	15.6	
1755.9	15.8	
1753.9	15.5	
1752.0	15.7	
1751.1	15.6	
1749.7	15.5	
1748.9	15.9	
1748.3	16.2	
1747.4	15.4	
1746.5	15.3	
1745.8	15.6	
1745.0	15.7	
1744.5	16.3	
1744.0	15.9	
1743.1	15.8	
1742.0	16.1	
1740.7	16.0	
1740.2	16.2	
1739.0	15.9	
1738.0	15.9	
1736.9	15.3	
1736.0	15.4	
1735.0	15.3	
1734.0	15.3	
1732.0	15.5	
1730.6	15.2	
1729.0	15.4	
1728.3	15.4	
1727.8	15.5	
1727.4	15.6	
1726.9	15.4	
1726.5	15.6	
1725.8	15.3	
1725.1	15.3	
1724.6	15.2	
1723.9	15.4	
1723.1	15.8	
1722.5	15.4	
1722.0	15.5	
