# Savusavu Bay, Fiji oxygen isotope record 1776-2001
#-----------------------------------------------------------------------            
#                World Data Service for Paleoclimatology, Boulder            
#                                  and            
#                     NOAA Paleoclimatology Program            
#             National Centers for Environmental Information (NCEI)            
#-----------------------------------------------------------------------            
# Template Version 3.0            
# Encoding: UTF-8            
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.             
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Ocn-SavusavuBayFiji.Bagnato.2005.txt
#     Online_Resource_Description:  This file.  NOAA WDS Paleo formatted metadata and data for version 2.0.0 of this dataset.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Ocn-SavusavuBayFiji.Bagnato.2005.lpd
#     Online_Resource_Description:  Linked Paleo Data (LiPD) formatted file containing the same metadata and data as this file, for version 2.0.0 of this dataset.
#
# Original_Source_URL: https://www.ncdc.noaa.gov/paleo/study/1916
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: coral
# Parameter_Keywords: 
# Dataset_DOI: 
#
#------------------
# Contribution_Date
#     Date: 
#------------------
# File_Last_Modified_Date
#     Modified_Date: 2017-05-19
#------------------
# Title
#     Study_Name: Savusavu Bay, Fiji oxygen isotope record 1776-2001
#------------------
# Investigators
#     Investigators: Linsley; Bagnato; Ocean2k
#------------------
# Description_Notes_and_Keywords
#     Description: 
#------------------
# Publication
#     Authors: Bagnato, Stefan;Linsley, Braddock K.;Howe, Stephen S.;Wellington, Gerard M.;Salinger, Jim
#     Published_Date_or_Year: 2005
#     Published_Title: Coral oxygen isotope records of interdecadal climate variations in the South Pacific Convergence Zone region
#     Journal_Name: Geochemistry, Geophysics, Geosystems
#     Volume: 6
#     Edition: 
#     Issue: 6
#     Pages: 226-252
#     Report: 
#     DOI: 10.1029/2004GC000879
#     Online_Resource: doi.org
#     Full_Citation: 
#     Abstract: 
#------------------
# Publication
#     Authors: Tierney, Jessica E.;Abram, Nerilie J.;Anchukaitis, Kevin J.;Evans, Michael N.;Giry, Cyril;Kilbourne, K. Halimeda;Saenger, Casey P.;Wu, Henry C.;Zinke, Jens
#     Published_Date_or_Year: 2015
#     Published_Title: Tropical sea surface temperatures for the past four centuries reconstructed from coral archives
#     Journal_Name: Paleoceanography
#     Volume: 30
#     Edition: 
#     Issue: 3
#     Pages: 226-252
#     Report: 
#     DOI: 10.1002/2014PA002717
#     Online_Resource: doi.org
#     Full_Citation: 
#     Abstract: 
#------------------
# Funding_Agency
#     Funding_Agency_Name: 
#     Grant: 
#------------------
# Site_Information
#     Site_Name: Savusavu Bay, Fiji
#     Location: 
#     Country: 
#     Northernmost_Latitude: -16.82
#     Southernmost_Latitude: -16.82
#     Easternmost_Longitude: 179.23
#     Westernmost_Longitude: 179.23
#     Elevation: -2
#------------------
# Data_Collection
#     Collection_Name: 
#     Earliest_Year: 1776.0
#     Most_Recent_Year: 2001.0
#     Time_Unit: AD
#     Core_Length: 
#     Notes: 
#------------------
# Species
#     Species_Name: Diploastrea,heliopora
#     Species_Code: 
#     Common_Name: 
#------------------
# Chronology:        

#------------------
# Variables        
#
# Data variables follow that are preceded by "##" in columns one and two.        
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components ( 10 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data, additional_information)
#
##year	Year AD, ,,AD, , coral, ,,N,   
##d18O	,,,permil, 1 2 3 4 5 6 7 8 9 10 11 12, coral, ,,, ; climateInterpretation_seasonality changed - was originally annual;  
#
#------------------
# Data:        
# Data lines follow (have no #)        
# Data line format - tab-delimited text, variable short name as header)        
# Missing_Values: nan
#
year           d18O	
2001.0	-0.046	
2000.0	-0.134	
1999.0	0.03	
1998.0	0.363	
1997.0	0.224	
1996.0	-0.14	
1995.0	0.053	
1994.0	0.149	
1993.0	0.12	
1992.0	0.058	
1991.0	-0.003	
1990.0	-0.127	
1989.0	-0.26	
1988.0	-0.085	
1987.0	0.292	
1986.0	0.116	
1985.0	-0.052	
1984.0	-0.017	
1983.0	0.208	
1982.0	0.027	
1981.0	0.013	
1980.0	0.09	
1979.0	-0.014	
1978.0	0.057	
1977.0	0.048	
1976.0	-0.147	
1975.0	-0.206	
1974.0	-0.155	
1973.0	0.006	
1972.0	-0.051	
1971.0	-0.098	
1970.0	0.119	
1969.0	0.16	
1968.0	-0.059	
1967.0	0.022	
1966.0	0.125	
1965.0	0.164	
1964.0	0.137	
1963.0	0.019	
1962.0	-0.032	
1961.0	-0.057	
1960.0	-0.076	
1959.0	0.069	
1958.0	0.264	
1957.0	0.006	
1956.0	-0.172	
1955.0	-0.164	
1954.0	0.023	
1953.0	0.131	
1952.0	0.027	
1951.0	-0.071	
1950.0	-0.125	
1949.0	-0.099	
1948.0	-0.083	
1947.0	-0.06	
1946.0	-0.013	
1945.0	-0.023	
1944.0	-0.199	
1943.0	-0.111	
1942.0	0.109	
1941.0	0.146	
1940.0	0.131	
1939.0	-0.013	
1938.0	0.16	
1937.0	0.114	
1936.0	0.189	
1935.0	0.432	
1934.0	0.356	
1933.0	0.346	
1932.0	0.412	
1931.0	0.62	
1930.0	0.47	
1929.0	0.357	
1928.0	0.14	
1927.0	0.46	
1926.0	0.488	
1925.0	0.254	
1924.0	0.268	
1923.0	0.291	
1922.0	0.029	
1921.0	0.036	
1920.0	0.206	
1919.0	0.264	
1918.0	0.023	
1917.0	-0.177	
1916.0	-0.115	
1915.0	0.16	
1914.0	0.172	
1913.0	0.102	
1912.0	0.125	
1911.0	-0.024	
1910.0	-0.056	
1909.0	-0.012	
1908.0	-0.109	
1907.0	-0.105	
1906.0	0.143	
1905.0	0.263	
1904.0	0.196	
1903.0	-0.04	
1902.0	0.042	
1901.0	0.201	
1900.0	0.207	
1899.0	0.008	
1898.0	-0.064	
1897.0	-0.237	
1896.0	0.203	
1895.0	0.128	
1894.0	-0.224	
1893.0	-0.229	
1892.0	-0.363	
1891.0	-0.132	
1890.0	-0.142	
1889.0	-0.067	
1888.0	0.076	
1887.0	-0.007	
1886.0	0.29	
1885.0	0.451	
1884.0	0.393	
1883.0	0.185	
1882.0	-0.117	
1881.0	-0.082	
1880.0	-0.094	
1879.0	0.104	
1878.0	0.378	
1877.0	0.292	
1876.0	0.25	
1875.0	0.011	
1874.0	0.147	
1873.0	0.008	
1872.0	-0.061	
1871.0	-0.191	
1870.0	0.041	
1869.0	0.224	
1868.0	0.12	
1867.0	0.184	
1866.0	0.298	
1865.0	0.185	
1864.0	0.162	
1863.0	0.041	
1862.0	0.062	
1861.0	-0.013	
1860.0	-0.01	
1859.0	0.119	
1858.0	0.218	
1857.0	-0.12	
1856.0	0.088	
1855.0	0.08	
1854.0	0.121	
1853.0	0.152	
1852.0	0.135	
1851.0	0.185	
1850.0	0.248	
1849.0	-0.016	
1848.0	-0.139	
1847.0	-0.09	
1846.0	0.06	
1845.0	0.123	
1844.0	0.086	
1843.0	-0.015	
1842.0	0.042	
1841.0	0.197	
1840.0	0.131	
1839.0	0.264	
1838.0	0.12	
1837.0	0.088	
1836.0	0.043	
1835.0	0.113	
1834.0	0.277	
1833.0	0.232	
1832.0	0.178	
1831.0	0.212	
1830.0	0.034	
1829.0	0.078	
1828.0	0.084	
1827.0	0.19	
1826.0	0.208	
1825.0	0.606	
1824.0	0.252	
1823.0	0.24	
1822.0	0.288	
1821.0	0.255	
1820.0	0.02	
1819.0	0.153	
1818.0	0.27	
1817.0	0.235	
1816.0	0.225	
1815.0	0.194	
