# Espiritu Santo, Vanuatu isotope records 186-1979
#-----------------------------------------------------------------------            
#                World Data Service for Paleoclimatology, Boulder            
#                                  and            
#                     NOAA Paleoclimatology Program            
#             National Centers for Environmental Information (NCEI)            
#-----------------------------------------------------------------------            
# Template Version 3.0            
# Encoding: UTF-8            
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.             
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Ocn-Vanuatu.Quinn.1996.txt
#     Online_Resource_Description:  This file.  NOAA WDS Paleo formatted metadata and data for version 2.0.0 of this dataset.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Ocn-Vanuatu.Quinn.1996.lpd
#     Online_Resource_Description:  Linked Paleo Data (LiPD) formatted file containing the same metadata and data as this file, for version 2.0.0 of this dataset.
#
# Original_Source_URL: https://www.ncdc.noaa.gov/paleo/study/1839
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: coral
# Parameter_Keywords: 
# Dataset_DOI: 
#
#------------------
# Contribution_Date
#     Date: 
#------------------
# File_Last_Modified_Date
#     Modified_Date: 2017-05-19
#------------------
# Title
#     Study_Name: Espiritu Santo, Vanuatu isotope records 186-1979
#------------------
# Investigators
#     Investigators: Quinn; Ocean2k
#------------------
# Description_Notes_and_Keywords
#     Description: 
#------------------
# Publication
#     Authors: Quinn, Terrence M.;Crowley, Thomas J.;Taylor, Frederick W.
#     Published_Date_or_Year: 1996
#     Published_Title: New stable isotope results from a 173-year coral from Espiritu Santo, Vanuatu
#     Journal_Name: Geophysical Researc Letters
#     Volume: 23
#     Edition: 
#     Issue: 
#     Pages: 3413-3416
#     Report: 
#     DOI: 10.1029/96GL03169
#     Online_Resource: doi.org
#     Full_Citation: 
#     Abstract: 
#------------------
# Publication
#     Authors: Tierney, Jessica E.;Abram, Nerilie J.;Anchukaitis, Kevin J.;Evans, Michael N.;Giry, Cyril;Kilbourne, K. Halimeda;Saenger, Casey P.;Wu, Henry C.;Zinke, Jens
#     Published_Date_or_Year: 2015
#     Published_Title: Tropical sea surface temperatures for the past four centuries reconstructed from coral archives
#     Journal_Name: Paleoceanography
#     Volume: 30
#     Edition: 
#     Issue: 3
#     Pages: 226-252
#     Report: 
#     DOI: 10.1002/2014PA002717
#     Online_Resource: doi.org
#     Full_Citation: 
#     Abstract: 
#------------------
# Funding_Agency
#     Funding_Agency_Name: 
#     Grant: 
#------------------
# Site_Information
#     Site_Name: Vanuatu
#     Location: 
#     Country: 
#     Northernmost_Latitude: -15
#     Southernmost_Latitude: -15
#     Easternmost_Longitude: 166.99
#     Westernmost_Longitude: 166.99
#     Elevation: -1
#------------------
# Data_Collection
#     Collection_Name: 
#     Earliest_Year: 1807.0
#     Most_Recent_Year: 1979.0
#     Time_Unit: AD
#     Core_Length: 
#     Notes: 
#------------------
# Species
#     Species_Name: Platygyra,lamellina
#     Species_Code: 
#     Common_Name: 
#------------------
# Chronology:        

#------------------
# Variables        
#
# Data variables follow that are preceded by "##" in columns one and two.        
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components ( 10 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data, additional_information)
#
##year	Year AD, ,,AD, , coral, ,,N,   
##d18O	,,,permil, 1 2 3 4 5 6 7 8 9 10 11 12, coral, ,,, ; climateInterpretation_seasonality changed - was originally annual;  
#
#------------------
# Data:        
# Data lines follow (have no #)        
# Data line format - tab-delimited text, variable short name as header)        
# Missing_Values: nan
#
year           d18O	
1979.0	-4.72	
1978.0	-4.78	
1977.0	-5.03	
1976.0	-5.13	
1975.0	-5.16	
1974.0	-5.24	
1973.0	-5.13	
1972.0	-4.87	
1971.0	-4.79	
1970.0	-4.93	
1969.0	-4.92	
1968.0	-4.93	
1967.0	-5.1	
1966.0	-4.97	
1965.0	-4.88	
1964.0	-4.82	
1963.0	-4.84	
1962.0	-5.15	
1961.0	-5.24	
1960.0	-5.27	
1959.0	-5.1	
1958.0	-5.13	
1957.0	-5.05	
1956.0	-4.91	
1955.0	-4.73	
1954.0	-5.23	
1953.0	-5.14	
1952.0	-5.1	
1951.0	-5.04	
1950.0	-5.1	
1949.0	-5.21	
1948.0	-5.21	
1947.0	-5.06	
1946.0	-5.08	
1945.0	-4.92	
1944.0	-5.06	
1943.0	-5.1	
1942.0	-5.04	
1941.0	-4.94	
1940.0	-5.09	
1939.0	-4.94	
1938.0	-5.1	
1937.0	-5.02	
1936.0	-5.08	
1935.0	-5.08	
1934.0	-5.21	
1933.0	-5.13	
1932.0	-5.13	
1931.0	-5.23	
1930.0	-5.15	
1929.0	-5.09	
1928.0	-4.89	
1927.0	-5.08	
1926.0	-5.17	
1925.0	-5.08	
1924.0	-5.12	
1923.0	-5.19	
1922.0	-5.13	
1921.0	-5.03	
1920.0	-5.17	
1919.0	-5.33	
1918.0	-5.07	
1917.0	-5.09	
1916.0	-5.22	
1915.0	-5.04	
1914.0	-5.14	
1913.0	-4.94	
1912.0	-5.01	
1911.0	-5.19	
1910.0	-5.15	
1909.0	-5.31	
1908.0	-5.34	
1907.0	-5.13	
1906.0	-5.08	
1905.0	-5.0	
1904.0	-5.23	
1903.0	-5.16	
1902.0	-4.93	
1901.0	-5.05	
1900.0	-5.01	
1899.0	-5.07	
1898.0	-5.18	
1897.0	-5.18	
1896.0	-4.97	
1895.0	-5.08	
1894.0	-5.04	
1893.0	-5.25	
1892.0	-5.27	
1891.0	-5.29	
1890.0	-5.2	
1889.0	-5.17	
1888.0	-5.2	
1887.0	-5.22	
1886.0	-5.1	
1885.0	-4.95	
1884.0	-4.93	
1883.0	-5.0	
1882.0	-5.16	
1881.0	-5.22	
1880.0	-5.15	
1879.0	-5.34	
1878.0	-4.9	
1877.0	-4.83	
1876.0	-4.82	
1875.0	-5.06	
1874.0	-4.97	
1873.0	-5.14	
1872.0	-4.96	
1871.0	-5.17	
1870.0	-5.34	
1869.0	-4.94	
1868.0	-5.14	
1867.0	-4.99	
1866.0	-4.88	
1865.0	-4.93	
1864.0	-5.01	
1863.0	-4.87	
1862.0	-4.9	
1861.0	-4.98	
1860.0	-4.8	
1859.0	-4.94	
1858.0	-4.9	
1857.0	-5.09	
1856.0	-4.83	
1855.0	-4.75	
1854.0	-4.8	
1853.0	-4.69	
1852.0	-4.66	
1851.0	-4.59	
1850.0	-4.6	
1849.0	-4.56	
1848.0	-4.87	
1847.0	-4.79	
1846.0	-4.53	
1845.0	-4.59	
1844.0	-4.66	
1843.0	-4.88	
1842.0	-4.87	
1841.0	-4.89	
1840.0	-4.64	
1839.0	-4.38	
1838.0	-4.63	
1837.0	-4.67	
1836.0	-4.84	
1835.0	-4.69	
1834.0	-4.64	
1833.0	-4.7	
1832.0	-4.87	
1831.0	-4.96	
1830.0	-5.06	
1829.0	-5.27	
1828.0	-4.94	
1827.0	-5.15	
1826.0	-5.0	
1825.0	-4.96	
1824.0	-4.81	
1823.0	-4.83	
1822.0	-4.8	
1821.0	-4.64	
1820.0	-4.71	
1819.0	-4.93	
1818.0	-4.81	
1817.0	-4.88	
1816.0	-4.88	
1815.0	-5.08	
1814.0	-5.13	
1813.0	-4.88	
1812.0	-5.06	
1811.0	-5.16	
1810.0	-5.0	
