paleoData_TSid,datasetName,archiveType,geo_meanLon,geo_meanLat,geo_siteName,pub1_dataUrl,resolution
Africa_001,,speleothem,29.18,-24,Cold Air Cave,doi.org,1.056213018
Africa_003,,lake sediment,28.53,-6.03,Lake Tanganyika,doi.org,20.87323944
Africa_004,,lake sediment,28.53,-6.03,Lake Tanganyika,doi.org,20.87323944
Africa_005,,lake sediment,28.53,-6.03,Lake Tanganyika,doi.org,20.87323944
Africa_006,,lake sediment,28.53,-6.03,Lake Tanganyika,doi.org,20.87323944
Ant_005,,glacier ice,-45.72,-79.57,Berkner Island (South),doi.org,1.002020202
Ant_006,,glacier ice,-3.43,-75.58,Site DML07,doi.org,1.009137056
Ant_007,,glacier ice,-0.01,-75,Site DML05,doi.org,1
Ant_008,,glacier ice,6.5,-75.17,Site DML17,doi.org,1.014242116
Ant_011,,glacier ice,112.807,-66.77,DSS,doi.org,1
Ant_012,,glacier ice,123.39,-75.1,Dome C,,13.78664388
Ant_013,,glacier ice,123.39,-75.1,Dome C,,13.78664388
Ant_014,,glacier ice,-86.9,-74.57,Ferrigno,doi.org,1
Ant_017,,glacier ice,11.54,-70.86,Coastal DML,doi.org,1
Ant_022,,glacier ice,-57.685,-64.2017,James Ross Island,doi.org,1
Ant_023,,glacier ice,43,-84,Plateau Remote,doi.org,1
Ant_024,,glacier ice,-84.25,-75.92,Siple Station,doi.org,1
Ant_025,,glacier ice,159.18,-72.82,TALDICE,doi.org,10.91504396
Ant_026,,glacier ice,159.06,-72.8,Talos Dome,doi.org,1
Ant_027,,glacier ice,162.5332,-77.3302,VLG,doi.org,1
Ant_028,,glacier ice,104.8005,-78.2785,Vostok,doi.org,1
Ant_029,,glacier ice,104.8005,-78.2785,Vostok,doi.org,1
Ant_030,,glacier ice,-112.09,-79.46,WDC05A,doi.org,1
Ant_031,,glacier ice,-112.09,-79.46,WDC06A,doi.org,0.050013379
Ant_031dD,,glacier ice,-112.09,-79.46,WDC06A,doi.org,0.050013379
Ant_033,,glacier ice,167.6765,-77.515,MES,doi.org,0.082075138
Ant_035,,glacier ice,158.72,-77.78,Taylor Dome,doi.org,1.86281343
Ant_037,,glacier ice,-111.24,-79.3838,US-ITASE-2000-1,doi.org,0.101099707
Ant_050,,glacier ice,-107.99,-86.5,US-ITASE-2002-4,doi.org,0.117583697
Arc_001,,lake sediment,-150.47,68.09,Blue Lake,doi.org,1
Arc_002,,tree,101,72,Avam-Taimyr,doi.org,1
Arc_004,,lake sediment,-69.53,81.35,Lower Murray Lake,doi.org,1.01010101
Arc_005,,glacier ice,-61.13,77.17,Camp Century,doi.org,1
Arc_007,,tree,-146.59,61.03,Gulf of Alaska,doi.org,1
Arc_008,,tree,-140.7,67.9,Yukon,doi.org,1
Arc_011,,glacier ice,-38.08,72.1,GISP2,doi.org,1
Arc_012,,tree,19.6,68.26,Tornetrask,doi.org,1
Arc_012mxd,,tree,19.6,68.26,Tornetrask,doi.org,1
Arc_016,,tree,147,69.5,Indigirka,doi.org,1
Arc_018,,glacier ice,24.02,79.83,Austfonna,doi.org,1.081374322
Arc_020,,lake sediment,-77.9,82.83,Lake C2,doi.org,1
Arc_021,,lake sediment,-19.8,64.6,Hvítárvatn,doi.org,1
Arc_023,,tree,125.87,70.67,Lena River,doi.org,1
Arc_024,,lake sediment,-61.35,66.73,Lake Donard Baffin Island,doi.org,1
Arc_026,,glacier ice,-37.63,73.94,NGT B16,doi.org,1
Arc_027,,glacier ice,-36.4,76.62,NGT B18,doi.org,1
Arc_028,,glacier ice,-41.14,80,NGT B21,doi.org,1
Arc_029,,lake sediment,-68.83,69.87,Big Round Lake,doi.org,1
Arc_031,,glacier ice,-42.32,75.1,NGRIP1,doi.org,1
Arc_032,,glacier ice,-73.1,80.7,Agassiz,doi.org,1
Arc_033,,glacier ice,-37.32,71.12,Crete,doi.org,1
Arc_034,,glacier ice,-43.83,65.18,Dye,doi.org,1
Arc_035,,glacier ice,-37.64,72.58,GRIP,doi.org,1
Arc_036,,documents,-18.37,64.77,Iceland,Manually Entered,33
Arc_037,,marine sediment,7.64,66.97,Vøring Plateau,doi.org,20.30602007
Arc_039,,lake sediment,-143.6,61.35,Moose Lake,doi.org,43.24435484
Arc_040,,lake sediment,-145.66,61.9,Hudson Lake,doi.org,67.47857143
Arc_041,,lake sediment,-145.4,66.07,Screaming Lynx Lake,doi.org,41.85
Arc_042,,lake sediment,-50.7,67,Braya Sø,doi.org,34.05710227
Arc_043,,glacier ice,-82.5,75.33,Devon Ice Cap,doi.org,5
Arc_044,,glacier ice,-66.75,67.25,Penny Ice Cap P96,doi.org,25
Arc_045,,marine sediment,-17.7,66.55,MD992275,doi.org,18.51030928
Arc_048,,lake sediment,25.42,60.28,Lake Hampträsk,doi.org,13.78695652
Arc_049,,lake sediment,30.12,64.28,Lake Pieni-Kauro,doi.org,43.32857143
Arc_051,,glacier ice,-65.75,67.25,Penny Ice Cap P96,doi.org,25
Arc_052,,lake sediment,-83.79,65.1,Lake 4,doi.org,50.4962963
Arc_053,,marine sediment,5.26,63.76,Storegga Slide,doi.org,8.618189504
Arc_056,,glacier ice,-26.73,71.27,Renland,doi.org,5
Arc_057,,tree,15.5,65.2,Kittelfjall,doi.org,1
Arc_058,,tree,16.1,65.9,Armarnaes,doi.org,1
Arc_059,,tree,17.6,66.6,Tjeggelvas,doi.org,1
Arc_060,,tree,18.2,66.3,Arjeplog,doi.org,1
Arc_061,,tree,18.2,66.3,Arjeplog,doi.org,1
Arc_065,,glacier ice,17.425,78.8647,"Lomonosovfonna , Svalbard",doi.org,1
Arc_066,,glacier ice,17.425,78.8647,"Lomonosovfonna , Svalbard",doi.org,1
Arc_070,,lake sediment,-146.2,61.5,Hallet Lake,doi.org,10.91693738
Arc_071,,lake sediment,-146.2,61.5,Hallet Lake,doi.org,10.91693738
Arc_072,,lake sediment,-146.2,61.5,Hallet Lake,doi.org,10.91693738
Arc_073,,lake sediment,-146.2,61.5,Hallet Lake,doi.org,10.91693738
Arc_074,,lake sediment,-146.2,61.5,Hallet Lake,doi.org,10.91693738
Arc_075,,lake sediment,-69.883,62.917,"Soper Lake, Baffin Island, Canada",doi.org,1
Arc_076,,lake sediment,-69.883,62.917,"Soper Lake, Baffin Island, Canada",doi.org,1
Arc_077,,lake sediment,13.9311,78.0217,Kongressvatnet,doi.org,16.29357798
Arc_078,,lake sediment,13.9311,78.0217,Kongressvatnet,doi.org,16.29357798
Arc_088,,glacier ice,94.82,80.52,"Akademii Nauk Ice Cap, Severnaya Zemlya (Russian Arctic)",doi.org,1
Arc_089,,glacier ice,94.82,80.52,"Akademii Nauk Ice Cap, Severnaya Zemlya (Russian Arctic)",doi.org,1
Arc_090,,glacier ice,94.82,80.52,"Akademii Nauk Ice Cap, Severnaya Zemlya (Russian Arctic)",doi.org,1
Arc_091,,tree,-133.87,68.625,Mackenzie Delta,doi.org,1.085714286
Arc_093,,tree,-133.87,68.625,Mackenzie Delta,doi.org,1
Arc_094,,tree,-133.87,68.625,Mackenzie Delta,doi.org,1.1
Arc_096,,tree,-133.87,68.625,Mackenzie Delta,doi.org,1
Arc_099,,glacier ice,65.63,80.783,Windy Dome,doi.org,1
Arc_099d18O,,glacier ice,65.63,80.783,Windy Dome,doi.org,1
Arc_100,,tree,68,66.8,Yamalia,doi.org,1
Arc_101,,tree,68,66.8,Yamalia,doi.org,1
Arc_150,,tree,15.73,68.73,Forfjorddalen,doi.org,1
Arc_151,,glacier ice,-80.4,78.4,"Prince-of-Wales, Ellesmere Isl.",doi.org,1
Arc_152,,tree,13.3375,63.2475,"Jamtland, Sweden",doi.org,1
Arc_162,,tree,65.6,66.9,Polar Urals,doi.org,1
Asia_001,,tree,87.77,50.08,"Altai Mt., Aktru Valley",doi.org,1
Asia_002,,tree,88.1,49.62,"Altai Mt., Djasator",doi.org,1
Asia_003,,tree,85.23,50.87,"Altai Mt., Jablonsky Pass.",Manually Entered,1
Asia_004,,tree,87.83,50.3,"Altai Mt., Kuraisky Ridge",doi.org,1
Asia_005,,tree,87.83,50.27,"Altai Mt., Kuraisky Steppe",doi.org,1
Asia_006,,tree,87.28,49.72,"Altai Mt., Samakha Steppe",doi.org,1
Asia_007,,tree,87.72,50.14,"Altai Mt., Korumdu Valley",doi.org,1
Asia_008,,tree,87.92,50.12,"Altai Mt., Tjute Valley",doi.org,1
Asia_009,,tree,87.67,50.48,"Altai Mt., Ust Ulagan Lake",doi.org,1
Asia_010,,tree,87.97,50.68,"Altai Mt., Ulagan Valley",doi.org,1
Asia_011,,tree,87.65,50.48,"Altai Mt., Ust Ulagan Lake",doi.org,1
Asia_012,,tree,87.65,50.48,"Altai Mt., Ust Ulagan Lake",doi.org,1
Asia_013,,tree,87.65,50.48,"Altai Mt., Ust Ulagan Lake",doi.org,1
Asia_014,,tree,87.65,50.48,"Altai Mt., Ust Ulagan Lake",doi.org,1
Asia_015,,tree,87.65,50.48,"Altai Mt., Ust Ulagan Lake",doi.org,1
Asia_016,,tree,87.65,50.48,"Altai Mt., Ust Ulagan Lake",doi.org,1
Asia_017,,tree,87.65,50.48,"Altai Mt., Ust Ulagan Lake",doi.org,1
Asia_018,,tree,85.37,50.15,"Altai Mt., Ust Koksa Hill",doi.org,1
Asia_019,,tree,85.37,50.15,"Altai Mt., Ust Koksa Hill",doi.org,1
Asia_020,,tree,85.37,50.15,"Altai Mt., Ust Koksa Hill",doi.org,1
Asia_021,,tree,85.37,50.15,"Altai Mt., Ust Koksa Hill",doi.org,1
Asia_022,,tree,85.37,50.15,"Altai Mt., Ust Koksa Hill",doi.org,1
Asia_023,,tree,85.37,50.15,"Altai Mt., Ust Koksa Hill",doi.org,1
Asia_024,,tree,85.37,50.15,"Altai Mt., Ust Koksa Hill",doi.org,1
Asia_025,,tree,90.65,27.58,BT001,doi.org,1
Asia_026,,tree,90.73,27.67,BT002,doi.org,1
Asia_027,,tree,90.77,27.7,BT003,doi.org,1
Asia_028,,tree,90.68,27.7,BT004,doi.org,1
Asia_029,,tree,90.72,27.67,BHUTTD,Manually Entered,1
Asia_030,,tree,90.13,27.63,BT006,doi.org,1
Asia_031,,tree,90.65,27.58,BT008,doi.org,1
Asia_032,,tree,90.97,27.42,BT009,doi.org,1
Asia_033,,tree,89.38,27.25,BT010,doi.org,1
Asia_034,,tree,90,27.45,BHUTSP,Manually Entered,1
Asia_035,,tree,89.75,27.95,BT018,doi.org,1
Asia_036,,tree,90.15,27.45,BT011,doi.org,1
Asia_037,,tree,90.15,27.45,BT005,doi.org,1
Asia_038,,tree,100.27,30.23,CHIN020,doi.org,1
Asia_039,,tree,99.93,28.98,CHIN021,doi.org,1
Asia_040,,tree,100.08,29.28,CHIN018,doi.org,1
Asia_041,,tree,99.93,29.15,CHIN019,doi.org,1
Asia_042,,tree,99.3,27.33,CHIN027,doi.org,1
Asia_043,,tree,100.82,34.75,DEZQIN,Manually Entered,1
Asia_044,,tree,100.8,34.73,GOUQIN,Manually Entered,1
Asia_045,,tree,100.78,34.73,HEBQIN,Manually Entered,1
Asia_046,,tree,100.72,34.72,LAJQIN,Manually Entered,1
Asia_047,,tree,101.53,37.93,GHEGAN,Manually Entered,1
Asia_048,,tree,98.08,36.3,CHIN006,Manually Entered,1
Asia_049,,tree,98.08,37,CHIN005,Manually Entered,1
Asia_050,,tree,98.08,36.65,DUSHJP,Manually Entered,1
Asia_051,,tree,100.35,35.07,MQAXJP,Manually Entered,1
Asia_052,,tree,99.78,34.78,MQBXJP,Manually Entered,1
Asia_053,,tree,99.67,34.72,MQDXJP,Manually Entered,1
Asia_054,,tree,99.68,34.75,MQFXJP,Manually Entered,1
Asia_055,,tree,99.68,34.75,MQRXJP,Manually Entered,1
Asia_056,,tree,100.8,34.78,TDAXJP,Manually Entered,1
Asia_057,,tree,100.82,34.78,TDBXJP,Manually Entered,1
Asia_058,,tree,100.82,34.78,HBLXJP,Manually Entered,1
Asia_059,,tree,100.82,34.78,HBMXJP,Manually Entered,1
Asia_060,,tree,100.82,34.78,HBHXJP,Manually Entered,1
Asia_061,,tree,107.8,33.75,BARELC,Manually Entered,1
Asia_062,,tree,110.08,34.48,CHIN004,Manually Entered,1
Asia_063,,tree,107.8,33.65,SANGTS,Manually Entered,1
Asia_064,,tree,93.3,43.85,CHIN029,doi.org,1
Asia_065,,tree,119.43,30.33,TIANMU,Manually Entered,1
Asia_066,,tree,98.68,37.03,WULANJ,Manually Entered,1
